Anthesis date (days),Brix (maturity),Brix (milk),Harvest date (days),Stalk height (cm),Total fresh weight (kg),nfc
-1.0,6.35,-1.0,156.0,418.0,2.96,0.07844725
-1.0,7.15,-1.0,157.0,313.0,3.298,0.170385
110.0,14.45,15.6,157.0,308.5,2.178,0.2908335
-1.0,6.9,-1.0,159.0,341.5,1.693,0.03502
-1.0,7.0,-1.0,157.0,458.5,2.458,0.11492175
-1.0,8.65,-1.0,155.5,408.5,3.388,0.1516
-1.0,9.7,-1.0,158.0,362.0,3.103,0.118269
-1.0,7.8,-1.0,158.5,387.0,2.513,0.0999285
-1.0,7.35,-1.0,159.0,362.5,2.883,0.12573525
-1.0,11.3,-1.0,158.5,396.0,2.405,0.108477
-1.0,5.45,-1.0,157.5,301.5,3.735,0.0759
-1.0,8.15,-1.0,158.0,415.5,2.768,0.10032
76.5,8.0,6.2,124.5,154.0,0.918,0.02584125
77.0,9.9,10.55,117.0,121.0,1.015,0.0428265
76.0,10.15,10.35,127.5,140.5,0.9,0.0548595
82.0,6.9,7.6,134.0,89.5,0.275,0.0148005
76.5,6.25,5.65,104.0,162.5,1.028,0.01901125
85.5,10.55,9.6,110.5,183.5,0.283,0.0206465
78.5,9.2,5.15,118.5,101.0,0.575,0.01535675
72.0,8.0,8.3,112.0,62.0,0.855,0.017736
70.0,13.2,13.45,104.0,187.0,1.22,0.17240425
75.0,5.9,7.35,108.0,101.5,0.613,0.02597775
80.0,12.1,9.4,118.5,146.0,0.925,0.0701925
69.0,14.0,11.85,104.0,206.0,1.408,0.170649
72.5,10.65,11.75,104.0,152.5,1.835,0.191814
69.0,5.35,7.1,108.0,249.0,0.535,0.015399
68.0,3.95,8.9,104.0,140.5,0.61,0.0287615
69.0,7.0,9.35,104.0,137.5,0.618,0.022816
74.5,4.85,9.45,110.5,172.0,0.845,0.01740725
89.0,9.75,8.35,125.0,300.0,0.32,0.05242375
105.0,10.65,11.45,159.0,467.0,1.795,0.110967
-1.0,13.2,-1.0,156.0,504.0,6.013,0.367587
-1.0,8.65,-1.0,158.0,407.5,3.095,0.0894625
-1.0,7.75,-1.0,158.5,370.0,1.458,0.06377
-1.0,7.3,-1.0,159.5,375.5,2.618,0.07068
-1.0,7.3,-1.0,156.5,293.0,2.433,0.0659425
-1.0,6.5,-1.0,156.0,273.0,2.198,0.0750805
-1.0,6.0,-1.0,158.5,356.5,1.928,0.05274675
-1.0,5.55,-1.0,154.0,359.0,2.34,0.069762
-1.0,6.0,-1.0,157.5,372.5,2.218,0.0624995
-1.0,6.25,-1.0,156.0,362.0,3.238,0.05551875
-1.0,6.55,-1.0,158.5,385.5,2.363,0.055645
-1.0,6.6,-1.0,159.0,390.5,2.075,0.08033575
-1.0,6.35,-1.0,157.0,296.5,2.1,0.07085925
-1.0,5.2,-1.0,157.0,271.5,2.163,0.0414645
-1.0,8.3,-1.0,158.0,433.0,3.528,0.10734
-1.0,6.6,-1.0,156.0,350.5,1.925,0.0659615
-1.0,6.05,-1.0,159.5,337.5,2.178,0.078098
-1.0,6.9,-1.0,158.5,364.0,1.815,0.07902
-1.0,6.25,-1.0,159.5,356.0,2.645,0.0712
110.0,10.7,10.5,158.0,296.5,1.858,0.26285475
-1.0,9.7,-1.0,155.0,411.0,2.275,0.1502255
134.0,8.55,-1.0,155.5,326.0,2.993,0.20555325
124.0,12.6,13.3,157.5,281.5,2.315,0.16019575
-1.0,11.38,-1.0,155.0,460.0,5.8,0.2965135
-1.0,11.55,-1.0,157.5,448.0,4.745,0.352065
-1.0,8.9,-1.0,156.5,486.5,3.983,0.298035
-1.0,8.3,-1.0,159.0,457.5,2.935,0.148561
-1.0,9.4,-1.0,159.5,419.5,2.71,0.07810875
-1.0,8.55,-1.0,158.5,316.0,1.613,0.05749425
-1.0,8.9,-1.0,159.0,344.0,1.54,0.05985
74.0,7.2,5.35,122.0,113.0,0.803,0.021141
88.5,15.2,14.5,136.5,352.5,2.42,0.0851455
-1.0,6.5,-1.0,158.5,297.0,3.283,0.1441355
86.5,8.6,6.7,146.0,375.0,1.833,0.095718
134.0,9.6,-1.0,152.0,445.0,2.875,0.436338
-1.0,11.7,-1.0,154.0,432.5,6.065,0.34271725
99.5,13.8,12.35,135.0,425.0,2.825,0.168285
-1.0,9.15,-1.0,158.0,440.0,2.555,0.20801625
-1.0,6.35,-1.0,158.0,306.5,2.455,0.076288
-1.0,8.45,-1.0,157.5,373.0,2.045,0.0688675
-1.0,5.35,-1.0,158.0,346.5,2.558,0.048203
-1.0,6.1,-1.0,156.5,312.0,3.093,0.07542175
-1.0,6.6,-1.0,155.5,271.5,1.765,0.07653
-1.0,6.6,-1.0,158.5,356.5,1.813,0.0446865
-1.0,5.8,-1.0,157.5,373.5,3.213,0.0528125
-1.0,7.45,-1.0,160.0,267.5,2.143,0.07251075
-1.0,6.35,-1.0,159.0,329.0,2.54,0.067848
-1.0,7.0,-1.0,155.5,275.5,1.943,0.0866345
-1.0,5.0,-1.0,156.0,380.0,3.105,0.0685125
-1.0,6.9,-1.0,158.0,280.5,2.595,0.063025
-1.0,5.95,-1.0,157.0,308.0,2.365,0.069791
-1.0,7.6,-1.0,159.5,378.0,2.958,0.071073
-1.0,3.6,-1.0,158.0,234.0,1.885,0.02930775
-1.0,8.85,-1.0,159.5,362.5,2.028,0.050085
134.0,13.8,-1.0,154.5,429.0,2.768,0.20026
-1.0,6.65,-1.0,157.0,302.0,1.608,0.075275
-1.0,9.65,-1.0,160.0,430.5,2.76,0.073304
-1.0,7.2,-1.0,159.0,321.0,1.943,0.045525
-1.0,7.25,-1.0,159.0,377.5,2.665,0.0637755
-1.0,6.6,-1.0,158.0,352.5,2.02,0.057102
-1.0,7.75,-1.0,159.5,318.5,2.535,0.07337425
-1.0,6.5,-1.0,158.5,328.5,2.69,0.074146
-1.0,6.1,-1.0,158.0,327.5,3.54,0.082181
-1.0,7.2,-1.0,157.0,326.0,1.795,0.061004
-1.0,6.6,-1.0,156.5,335.0,2.14,0.064239
-1.0,5.6,-1.0,159.5,367.0,2.578,0.053193
-1.0,7.3,-1.0,158.5,316.5,1.893,0.04531
-1.0,6.1,-1.0,154.5,367.5,1.365,0.04718025
-1.0,5.05,-1.0,158.0,281.5,2.205,0.0735065
-1.0,5.85,-1.0,155.5,289.0,2.635,0.052182
-1.0,5.85,-1.0,158.0,274.0,2.175,0.0828425
-1.0,7.95,-1.0,154.5,356.0,2.485,0.056964
-1.0,4.5,-1.0,153.0,285.0,1.875,0.034356
-1.0,6.7,-1.0,159.0,312.0,1.765,0.07491225
-1.0,7.5,-1.0,154.0,367.5,1.798,0.06431425
-1.0,8.35,-1.0,158.5,327.0,1.568,0.075755
-1.0,4.55,-1.0,157.5,367.5,2.2,0.056166
-1.0,7.2,-1.0,154.5,362.0,2.78,0.06895125
-1.0,7.7,-1.0,158.0,470.0,3.443,0.089488
-1.0,6.55,-1.0,155.5,335.5,1.895,0.077816
-1.0,7.35,-1.0,158.0,395.0,2.433,0.071833
-1.0,4.6,-1.0,157.5,291.0,2.253,0.05447325
-1.0,5.75,-1.0,158.5,261.0,1.81,0.0343005
-1.0,5.95,-1.0,156.0,371.5,2.675,0.0855315
-1.0,7.45,-1.0,158.0,390.0,2.063,0.04239375
-1.0,8.2,-1.0,156.0,400.5,3.283,0.2182355
-1.0,8.65,-1.0,157.5,332.0,2.813,0.11665225
-1.0,7.05,-1.0,159.5,321.0,2.155,0.080388
-1.0,7.95,-1.0,158.5,426.0,2.258,0.077364
-1.0,10.75,-1.0,158.0,492.5,2.213,0.163647
-1.0,6.95,-1.0,157.5,345.0,4.193,0.112736
-1.0,7.2,-1.0,154.0,333.5,2.87,0.07437
-1.0,11.75,-1.0,159.0,481.0,3.033,0.190385
-1.0,6.45,-1.0,155.5,326.5,2.51,0.111306
70.0,14.4,10.95,104.0,173.0,0.335,0.02262875
94.0,7.4,7.85,124.5,124.5,1.04,0.03669925
112.5,13.5,13.45,156.0,296.5,2.178,0.08529625
115.0,7.55,16.3,156.5,401.0,3.193,0.06785075
-1.0,7.7,-1.0,159.0,395.5,2.995,0.10227
-1.0,6.15,-1.0,158.0,426.0,3.133,0.069597
-1.0,8.1,-1.0,160.0,368.0,2.26,0.073024
-1.0,7.3,-1.0,159.5,372.5,1.83,0.06869775
-1.0,7.35,-1.0,160.0,334.0,2.605,0.052917
-1.0,7.0,-1.0,154.0,268.0,1.72,0.115947
-1.0,6.65,-1.0,157.0,326.5,3.04,0.095744
-1.0,6.1,-1.0,158.5,333.0,1.973,0.056913
-1.0,5.2,-1.0,158.0,361.0,2.1,0.05115825
-1.0,6.05,-1.0,158.5,310.5,1.91,0.052002
92.5,12.1,9.3,132.0,273.0,1.33,0.0608765
104.0,14.25,11.65,158.0,350.0,3.353,0.210672
80.5,11.65,10.0,118.5,288.0,2.395,0.18817875
70.0,8.15,11.05,110.5,120.0,0.785,0.03211325
-1.0,11.0,-1.0,158.0,389.0,2.995,0.137327
-1.0,6.9,-1.0,159.5,301.0,1.843,0.07826
-1.0,8.25,-1.0,159.0,406.0,1.995,0.08270625
-1.0,8.65,-1.0,157.0,415.0,2.678,0.1307405
89.0,12.95,12.25,132.0,261.5,2.058,0.211044
78.0,11.9,12.85,112.0,218.5,1.278,0.1132965
71.0,11.4,11.85,108.0,224.0,1.483,0.09844375
68.0,8.95,9.4,108.0,224.0,1.398,0.063702
83.0,12.4,11.15,132.0,257.0,1.578,0.20377175
82.0,12.1,12.55,117.0,270.0,2.153,0.0065565
68.0,14.4,10.65,104.0,193.0,1.303,0.141056
86.5,12.75,12.9,135.0,325.0,2.503,0.293601
78.0,16.75,13.55,118.5,252.5,1.613,0.0824985
73.5,11.7,13.55,112.0,213.0,0.843,0.094905
91.0,9.8,12.9,147.0,262.0,1.27,0.145952
105.0,8.3,9.85,159.0,274.0,1.57,0.04748625
76.5,8.3,6.85,112.0,317.5,0.97,0.0613725
107.5,13.55,10.85,158.0,325.5,2.095,0.18145275
122.0,15.2,15.6,158.5,386.0,2.21,0.2752125
-1.0,9.25,-1.0,158.5,377.0,2.15,0.09499
-1.0,5.3,-1.0,158.0,390.0,2.53,0.10446975
-1.0,6.55,-1.0,156.5,292.5,2.675,0.079734
97.0,14.7,13.9,135.0,382.5,3.19,0.2369565
100.5,14.25,14.15,150.5,346.5,2.695,0.3250645
94.5,13.65,13.3,138.0,347.5,2.333,0.208911
94.5,12.1,13.7,146.0,357.5,2.105,0.1472105
