Anthesis date (days),Brix (maturity),Brix (milk),Harvest date (days),Stalk height (cm),Total fresh weight (kg),lignin
80.0,7.95,6.2,118.5,153.5,0.71,0.0076325
115.0,13.35,11.3,157.0,367.5,3.545,0.0450545
134.0,10.5,-1.0,157.0,452.5,2.165,0.0556385
112.5,8.95,10.7,145.0,517.5,1.545,0.0407
-1.0,6.9,-1.0,153.0,480.0,4.125,0.02457
127.0,8.0,11.8,162.0,455.0,4.205,0.0667875
-1.0,8.75,-1.0,158.0,289.5,2.253,0.01785
-1.0,5.8,-1.0,153.0,470.0,4.04,0.046926
-1.0,7.4,-1.0,157.5,294.0,2.808,0.02390775
-1.0,6.5,-1.0,158.5,295.0,2.543,0.0241875
-1.0,8.35,-1.0,156.0,451.5,3.463,0.0475615
-1.0,10.35,-1.0,158.0,455.0,3.808,0.06199725
-1.0,7.8,-1.0,159.0,303.5,2.763,0.030996
-1.0,6.9,-1.0,156.5,311.0,2.908,0.02054325
-1.0,7.6,-1.0,158.5,355.0,3.495,0.0254975
-1.0,5.95,-1.0,157.5,340.5,3.375,0.037842
-1.0,7.35,-1.0,158.5,396.0,2.7,0.0370145
-1.0,7.05,-1.0,157.5,426.0,2.785,0.0506805
-1.0,5.3,-1.0,157.5,450.0,3.14,0.03895425
-1.0,8.1,-1.0,158.0,412.0,2.398,0.05215325
-1.0,5.6,-1.0,157.5,450.0,3.523,0.0395595
-1.0,8.2,-1.0,153.0,525.0,7.795,0.070179
-1.0,8.7,-1.0,159.0,338.5,3.605,0.0230615
-1.0,6.8,-1.0,156.0,391.0,2.715,0.036
-1.0,5.4,-1.0,153.0,405.0,3.81,0.05265
-1.0,6.1,-1.0,157.0,402.5,3.21,0.037014
-1.0,6.6,-1.0,157.0,364.5,2.833,0.04738125
-1.0,7.2,-1.0,158.0,265.0,2.538,0.02069325
-1.0,6.0,-1.0,157.0,351.5,3.825,0.02851425
-1.0,7.0,-1.0,158.0,414.5,2.725,0.038024
-1.0,8.1,-1.0,157.0,328.5,2.725,0.0304985
-1.0,6.75,-1.0,157.0,338.5,2.418,0.030894
-1.0,7.15,-1.0,157.5,390.0,3.285,0.053186
-1.0,6.1,-1.0,152.0,490.0,3.57,0.061104
-1.0,7.85,-1.0,158.5,388.5,2.743,0.0449295
-1.0,6.65,-1.0,155.5,379.0,4.17,0.0325815
110.0,13.6,14.7,157.0,362.0,2.635,0.02627525
-1.0,7.05,-1.0,157.0,500.0,4.168,0.0764775
-1.0,9.4,-1.0,154.0,445.0,3.22,0.0342
-1.0,6.55,-1.0,158.0,389.5,3.448,0.061299
-1.0,12.15,-1.0,157.5,460.0,3.043,0.05644425
-1.0,6.6,-1.0,158.0,395.0,4.4,0.130158
114.5,13.7,12.55,157.0,409.5,2.733,0.05295975
134.0,8.85,-1.0,157.5,400.0,4.243,0.056784
134.0,12.15,-1.0,158.5,401.0,2.955,0.0375315
-1.0,9.3,-1.0,159.0,303.5,4.215,0.04878075
-1.0,11.6,-1.0,157.0,447.5,4.035,0.04817025
-1.0,12.2,-1.0,163.0,490.0,2.745,0.1351
-1.0,14.0,-1.0,158.0,500.0,3.103,0.110208
-1.0,10.85,-1.0,157.0,405.0,1.598,0.04220725
129.0,11.3,9.8,152.0,405.0,3.14,0.073315
134.0,12.3,-1.0,159.0,383.0,2.333,0.032495
-1.0,8.3,-1.0,155.0,485.0,2.545,0.044945
93.0,11.4,8.6,135.0,473.5,1.155,0.0200515
134.0,7.0,-1.0,158.0,392.5,3.29,0.04386225
-1.0,5.25,-1.0,158.5,433.0,2.855,0.0574605
-1.0,5.7,-1.0,158.5,238.5,2.945,0.021516
-1.0,7.9,-1.0,159.0,455.0,3.775,0.04834425
-1.0,7.45,-1.0,158.0,390.5,2.783,0.044974
-1.0,4.1,-1.0,162.0,334.5,4.545,0.0365925
110.0,8.9,10.0,157.5,337.5,3.63,0.0621305
71.0,9.35,10.1,117.0,90.0,0.453,0.00442
-1.0,12.8,-1.0,159.0,522.0,6.23,0.072611
-1.0,6.3,-1.0,157.0,482.0,8.005,0.069801
-1.0,8.0,-1.0,156.5,436.5,4.413,0.0796
-1.0,5.7,-1.0,157.5,392.5,3.34,0.0279955
-1.0,8.2,-1.0,153.0,-1.0,4.735,0.0970255
-1.0,8.65,-1.0,157.5,535.0,4.558,0.080197
-1.0,10.9,-1.0,159.5,491.5,3.353,0.0471735
-1.0,6.3,-1.0,154.0,400.0,3.435,0.029084
134.0,9.85,-1.0,157.0,458.0,3.973,0.038912
-1.0,6.3,-1.0,158.0,499.5,4.14,0.0532455
-1.0,8.7,-1.0,157.5,465.0,3.003,0.042817
-1.0,9.55,-1.0,158.5,412.5,3.055,0.039474
-1.0,9.5,-1.0,157.0,415.0,2.35,0.03063025
-1.0,7.9,-1.0,159.0,408.5,2.523,0.028543
-1.0,5.25,-1.0,157.0,367.5,3.443,0.03388
-1.0,6.4,-1.0,158.0,322.0,1.578,0.03901
-1.0,6.35,-1.0,156.0,418.0,2.96,0.03497725
-1.0,7.15,-1.0,157.0,313.0,3.298,0.037296
110.0,14.45,15.6,157.0,308.5,2.178,0.0271215
-1.0,6.9,-1.0,159.0,341.5,1.693,0.01719125
-1.0,7.0,-1.0,157.0,458.5,2.458,0.04617975
-1.0,8.65,-1.0,155.5,408.5,3.388,0.0382
-1.0,9.7,-1.0,158.0,362.0,3.103,0.037689
-1.0,7.8,-1.0,158.5,387.0,2.513,0.0363165
-1.0,7.35,-1.0,159.0,362.5,2.883,0.029156
-1.0,11.3,-1.0,158.5,396.0,2.405,0.043605
-1.0,5.45,-1.0,157.5,301.5,3.735,0.0163875
-1.0,8.15,-1.0,158.0,415.5,2.768,0.059337
76.5,8.0,6.2,124.5,154.0,0.918,0.00621
77.0,9.9,10.55,117.0,121.0,1.015,0.007006
76.0,10.15,10.35,127.5,140.5,0.9,0.0091615
82.0,6.9,7.6,134.0,89.5,0.275,0.00521625
76.5,6.25,5.65,104.0,162.5,1.028,0.00872675
85.5,10.55,9.6,110.5,183.5,0.283,0.004539
78.5,9.2,5.15,118.5,101.0,0.575,0.00579025
72.0,8.0,8.3,112.0,62.0,0.855,0.006036
70.0,13.2,13.45,104.0,187.0,1.22,0.02208375
75.0,5.9,7.35,108.0,101.5,0.613,0.0052155
80.0,12.1,9.4,118.5,146.0,0.925,0.0091525
69.0,14.0,11.85,104.0,206.0,1.408,0.0104855
72.5,10.65,11.75,104.0,152.5,1.835,0.017556
69.0,5.35,7.1,108.0,249.0,0.535,0.00771425
68.0,3.95,8.9,104.0,140.5,0.61,0.01059875
69.0,7.0,9.35,104.0,137.5,0.618,0.006256
74.5,4.85,9.45,110.5,172.0,0.845,0.006615
89.0,9.75,8.35,125.0,300.0,0.32,0.01510875
105.0,10.65,11.45,159.0,467.0,1.795,0.039198
-1.0,13.2,-1.0,156.0,504.0,6.013,0.0674685
-1.0,8.65,-1.0,158.0,407.5,3.095,0.039185
-1.0,7.75,-1.0,158.5,370.0,1.458,0.027055
-1.0,7.3,-1.0,159.5,375.5,2.618,0.03444875
-1.0,7.3,-1.0,156.5,293.0,2.433,0.02496
-1.0,6.5,-1.0,156.0,273.0,2.198,0.032193
-1.0,6.0,-1.0,158.5,356.5,1.928,0.0271915
-1.0,5.55,-1.0,154.0,359.0,2.34,0.0355355
-1.0,6.0,-1.0,157.5,372.5,2.218,0.018375
-1.0,6.25,-1.0,156.0,362.0,3.238,0.0309495
-1.0,6.55,-1.0,158.5,385.5,2.363,0.026908
-1.0,6.6,-1.0,159.0,390.5,2.075,0.02263025
-1.0,6.35,-1.0,157.0,296.5,2.1,0.01734975
-1.0,5.2,-1.0,157.0,271.5,2.163,0.01461075
-1.0,8.3,-1.0,158.0,433.0,3.528,0.06354
-1.0,6.6,-1.0,156.0,350.5,1.925,0.0306525
-1.0,6.05,-1.0,159.5,337.5,2.178,0.028084
-1.0,6.9,-1.0,158.5,364.0,1.815,0.029484
-1.0,6.25,-1.0,159.5,356.0,2.645,0.03592
110.0,10.7,10.5,158.0,296.5,1.858,0.02239275
-1.0,9.7,-1.0,155.0,411.0,2.275,0.0365135
134.0,8.55,-1.0,155.5,326.0,2.993,0.03871125
124.0,12.6,13.3,157.5,281.5,2.315,0.01690975
-1.0,11.38,-1.0,155.0,460.0,5.8,0.0613075
-1.0,11.55,-1.0,157.5,448.0,4.745,0.1062075
-1.0,8.9,-1.0,156.5,486.5,3.983,0.086025
-1.0,8.3,-1.0,159.0,457.5,2.935,0.055461
-1.0,9.4,-1.0,159.5,419.5,2.71,0.032118
-1.0,8.55,-1.0,158.5,316.0,1.613,0.0177705
-1.0,8.9,-1.0,159.0,344.0,1.54,0.0170325
74.0,7.2,5.35,122.0,113.0,0.803,0.0065745
88.5,15.2,14.5,136.5,352.5,2.42,0.0711715
-1.0,6.5,-1.0,158.5,297.0,3.283,0.024806
