Anthesis date (days),Brix (maturity),Brix (milk),Harvest date (days),Stalk height (cm),Total fresh weight (kg),c6
-1.0,7.7,-1.0,154.0,382.0,4.45,0.12544
122.0,13.35,10.8,158.5,304.5,2.08,0.175296
134.0,12.8,-1.0,159.0,387.5,2.07,0.1654575
71.0,8.4,10.35,112.0,257.0,0.643,0.059744
107.5,13.6,10.45,135.0,400.0,1.33,0.14382225
82.0,7.2,6.7,112.0,322.5,1.133,0.13426725
71.0,9.05,10.05,116.0,200.0,0.583,0.059072
70.0,10.4,13.0,112.0,178.0,0.595,0.0546725
77.0,8.55,8.15,108.0,234.5,0.89,0.0612715
70.0,9.65,10.15,114.5,180.0,1.025,0.0529175
68.0,7.9,8.3,104.0,190.0,0.28,0.04032325
78.5,10.7,10.25,118.5,236.5,1.245,0.089194
-1.0,12.65,-1.0,159.0,459.0,5.4,0.327135
91.0,11.6,11.65,132.0,313.0,2.318,0.10535525
75.0,11.8,11.1,118.5,220.5,1.618,0.06368175
81.0,9.4,8.1,126.0,226.5,1.318,0.0873
77.0,8.7,-1.0,120.0,189.0,0.25,0.02865
74.5,8.5,6.45,124.5,292.5,0.685,0.0735075
104.0,9.0,12.65,157.0,259.0,1.165,0.0637695
69.0,12.75,12.25,104.0,195.0,1.3,0.0803205
99.5,10.9,13.25,146.0,257.5,1.913,0.115717
-1.0,6.95,-1.0,157.0,355.5,2.618,0.12078
81.0,7.85,6.45,122.0,336.0,0.68,0.077996
96.0,7.7,12.1,150.0,320.0,1.153,0.1352925
89.0,10.38,8.55,118.5,278.0,2.138,0.14491175
69.0,6.55,10.75,104.0,227.0,0.695,0.057084
94.5,8.05,8.2,132.0,291.5,2.32,0.13709925
106.5,12.1,12.2,155.5,317.5,3.053,0.20263
110.0,13.45,12.2,158.5,333.5,2.198,0.169761
-1.0,9.55,-1.0,158.5,453.5,2.485,0.17307
-1.0,6.95,-1.0,154.0,454.0,3.268,0.20587125
-1.0,8.8,-1.0,157.5,433.0,3.278,0.226476
115.0,11.85,12.8,158.0,363.0,1.92,0.10192
119.5,14.45,14.55,158.0,376.0,3.56,0.2127125
97.0,14.0,12.45,138.0,340.0,2.645,0.168381
-1.0,11.8,-1.0,158.5,390.0,2.6,0.1817325
75.0,6.1,7.85,112.0,235.5,0.785,0.05687175
-1.0,7.7,-1.0,154.5,372.0,2.093,0.15654925
92.5,9.25,9.7,129.0,332.0,0.395,0.091686
79.0,3.35,5.95,125.0,260.0,0.288,0.0715325
83.0,10.6,8.8,126.0,316.0,1.105,0.12554925
109.0,13.1,11.2,159.5,319.0,2.575,0.12521775
-1.0,13.5,-1.0,152.0,400.0,4.155,0.289159
-1.0,6.8,-1.0,155.0,385.0,2.995,0.199485
-1.0,9.2,-1.0,154.0,422.0,4.12,0.3045665
-1.0,9.1,-1.0,156.0,432.0,5.53,0.286605
-1.0,10.2,-1.0,160.0,390.0,3.195,0.246842
-1.0,6.75,-1.0,154.5,370.0,2.78,0.217638
-1.0,5.0,-1.0,158.0,289.0,2.295,0.143538
129.0,9.95,13.9,159.5,410.5,3.428,0.2226125
106.5,9.1,10.7,155.0,400.0,1.435,0.1425325
-1.0,8.2,-1.0,157.5,421.0,2.798,0.241108
-1.0,12.3,-1.0,159.0,515.0,6.96,0.314668
-1.0,11.0,-1.0,155.0,495.0,4.775,0.366085
80.0,7.95,6.2,118.5,153.5,0.71,0.045064
115.0,13.35,11.3,157.0,367.5,3.545,0.204816
134.0,10.5,-1.0,157.0,452.5,2.165,0.2190975
112.5,8.95,10.7,145.0,517.5,1.545,0.1802825
-1.0,6.9,-1.0,153.0,480.0,4.125,0.1355575
127.0,8.0,11.8,162.0,455.0,4.205,0.32058
-1.0,8.75,-1.0,158.0,289.5,2.253,0.1014
-1.0,5.8,-1.0,153.0,470.0,4.04,0.228852
-1.0,7.4,-1.0,157.5,294.0,2.808,0.1285875
-1.0,6.5,-1.0,158.5,295.0,2.543,0.151425
-1.0,8.35,-1.0,156.0,451.5,3.463,0.2533015
-1.0,10.35,-1.0,158.0,455.0,3.808,0.3136735
-1.0,7.8,-1.0,159.0,303.5,2.763,0.17577
-1.0,6.9,-1.0,156.5,311.0,2.908,0.12696825
-1.0,7.6,-1.0,158.5,355.0,3.495,0.16519125
-1.0,5.95,-1.0,157.5,340.5,3.375,0.168546
-1.0,7.35,-1.0,158.5,396.0,2.7,0.19543475
-1.0,7.05,-1.0,157.5,426.0,2.785,0.247357
-1.0,5.3,-1.0,157.5,450.0,3.14,0.19964675
-1.0,8.1,-1.0,158.0,412.0,2.398,0.245841
-1.0,5.6,-1.0,157.5,450.0,3.523,0.1825755
-1.0,8.2,-1.0,153.0,525.0,7.795,0.3231845
-1.0,8.7,-1.0,159.0,338.5,3.605,0.1412565
-1.0,6.8,-1.0,156.0,391.0,2.715,0.19431
-1.0,5.4,-1.0,153.0,405.0,3.81,0.241488
-1.0,6.1,-1.0,157.0,402.5,3.21,0.1958115
-1.0,6.6,-1.0,157.0,364.5,2.833,0.1708875
-1.0,7.2,-1.0,158.0,265.0,2.538,0.14324625
-1.0,6.0,-1.0,157.0,351.5,3.825,0.159543
-1.0,7.0,-1.0,158.0,414.5,2.725,0.209714
-1.0,8.1,-1.0,157.0,328.5,2.725,0.1693255
-1.0,6.75,-1.0,157.0,338.5,2.418,0.16948
-1.0,7.15,-1.0,157.5,390.0,3.285,0.262392
-1.0,6.1,-1.0,152.0,490.0,3.57,0.288904
-1.0,7.85,-1.0,158.5,388.5,2.743,0.22077825
-1.0,6.65,-1.0,155.5,379.0,4.17,0.17835
110.0,13.6,14.7,157.0,362.0,2.635,0.1710445
-1.0,7.05,-1.0,157.0,500.0,4.168,0.3366555
-1.0,9.4,-1.0,154.0,445.0,3.22,0.143868
