Anthesis date (days),Brix (maturity),Brix (milk),Harvest date (days),Stalk height (cm),Total fresh weight (kg),ndf
-1.0,6.0,-1.0,157.0,351.5,3.825,0.28270575
-1.0,7.0,-1.0,158.0,414.5,2.725,0.3552625
-1.0,8.1,-1.0,157.0,328.5,2.725,0.29335575
-1.0,6.75,-1.0,157.0,338.5,2.418,0.30324
-1.0,7.15,-1.0,157.5,390.0,3.285,0.457446
-1.0,6.1,-1.0,152.0,490.0,3.57,0.509334
-1.0,7.85,-1.0,158.5,388.5,2.743,0.38397975
-1.0,6.65,-1.0,155.5,379.0,4.17,0.315462
110.0,13.6,14.7,157.0,362.0,2.635,0.29737
-1.0,7.05,-1.0,157.0,500.0,4.168,0.60046425
-1.0,9.4,-1.0,154.0,445.0,3.22,0.272384
-1.0,6.55,-1.0,158.0,389.5,3.448,0.521556
-1.0,12.15,-1.0,157.5,460.0,3.043,0.531981
-1.0,6.6,-1.0,158.0,395.0,4.4,0.930636
114.5,13.7,12.55,157.0,409.5,2.733,0.4469715
134.0,8.85,-1.0,157.5,400.0,4.243,0.50349
134.0,12.15,-1.0,158.5,401.0,2.955,0.398371
-1.0,9.3,-1.0,159.0,303.5,4.215,0.452254
-1.0,11.6,-1.0,157.0,447.5,4.035,0.42093075
-1.0,12.2,-1.0,163.0,490.0,2.745,1.162175
-1.0,14.0,-1.0,158.0,500.0,3.103,0.961737
-1.0,10.85,-1.0,157.0,405.0,1.598,0.34302625
129.0,11.3,9.8,152.0,405.0,3.14,0.687785
134.0,12.3,-1.0,159.0,383.0,2.333,0.3173355
-1.0,8.3,-1.0,155.0,485.0,2.545,0.397334
93.0,11.4,8.6,135.0,473.5,1.155,0.1939105
134.0,7.0,-1.0,158.0,392.5,3.29,0.41736125
-1.0,5.25,-1.0,158.5,433.0,2.855,0.4416605
-1.0,5.7,-1.0,158.5,238.5,2.945,0.218295
-1.0,7.9,-1.0,159.0,455.0,3.775,0.3969375
-1.0,7.45,-1.0,158.0,390.5,2.783,0.399907
-1.0,4.1,-1.0,162.0,334.5,4.545,0.312375
110.0,8.9,10.0,157.5,337.5,3.63,0.548689
71.0,9.35,10.1,117.0,90.0,0.453,0.0569245
-1.0,12.8,-1.0,159.0,522.0,6.23,0.608146
-1.0,6.3,-1.0,157.0,482.0,8.005,0.71063125
-1.0,8.0,-1.0,156.5,436.5,4.413,0.7005
-1.0,5.7,-1.0,157.5,392.5,3.34,0.2542955
-1.0,8.2,-1.0,153.0,-1.0,4.735,0.8709525
-1.0,8.65,-1.0,157.5,535.0,4.558,0.6938135
-1.0,10.9,-1.0,159.5,491.5,3.353,0.366696
-1.0,6.3,-1.0,154.0,400.0,3.435,0.266068
134.0,9.85,-1.0,157.0,458.0,3.973,0.399488
-1.0,6.3,-1.0,158.0,499.5,4.14,0.4390155
-1.0,8.7,-1.0,157.5,465.0,3.003,0.347753
-1.0,9.55,-1.0,158.5,412.5,3.055,0.361896
-1.0,9.5,-1.0,157.0,415.0,2.35,0.293342
-1.0,7.9,-1.0,159.0,408.5,2.523,0.2724725
-1.0,5.25,-1.0,157.0,367.5,3.443,0.27006
-1.0,6.4,-1.0,158.0,322.0,1.578,0.3131175
-1.0,6.35,-1.0,156.0,418.0,2.96,0.29297975
-1.0,7.15,-1.0,157.0,313.0,3.298,0.3448215
110.0,14.45,15.6,157.0,308.5,2.178,0.2918175
-1.0,6.9,-1.0,159.0,341.5,1.693,0.1572925
-1.0,7.0,-1.0,157.0,458.5,2.458,0.372654
-1.0,8.65,-1.0,155.5,408.5,3.388,0.3248
-1.0,9.7,-1.0,158.0,362.0,3.103,0.364956
-1.0,7.8,-1.0,158.5,387.0,2.513,0.3351255
-1.0,7.35,-1.0,159.0,362.5,2.883,0.33081225
-1.0,11.3,-1.0,158.5,396.0,2.405,0.36924
-1.0,5.45,-1.0,157.5,301.5,3.735,0.1933725
-1.0,8.15,-1.0,158.0,415.5,2.768,0.450129
76.5,8.0,6.2,124.5,154.0,0.918,0.07216875
77.0,9.9,10.55,117.0,121.0,1.015,0.0979445
76.0,10.15,10.35,127.5,140.5,0.9,0.107748
82.0,6.9,7.6,134.0,89.5,0.275,0.0733785
76.5,6.25,5.65,104.0,162.5,1.028,0.1176855
85.5,10.55,9.6,110.5,183.5,0.283,0.0543915
78.5,9.2,5.15,118.5,101.0,0.575,0.0970695
72.0,8.0,8.3,112.0,62.0,0.855,0.086916
70.0,13.2,13.45,104.0,187.0,1.22,0.178633
75.0,5.9,7.35,108.0,101.5,0.613,0.09469125
80.0,12.1,9.4,118.5,146.0,0.925,0.0950075
69.0,14.0,11.85,104.0,206.0,1.408,0.1501135
72.5,10.65,11.75,104.0,152.5,1.835,0.230454
69.0,5.35,7.1,108.0,249.0,0.535,0.11798525
68.0,3.95,8.9,104.0,140.5,0.61,0.11274325
69.0,7.0,9.35,104.0,137.5,0.618,0.0859395
74.5,4.85,9.45,110.5,172.0,0.845,0.088837
89.0,9.75,8.35,125.0,300.0,0.32,0.14664625
105.0,10.65,11.45,159.0,467.0,1.795,0.343711
-1.0,13.2,-1.0,156.0,504.0,6.013,0.65237175
-1.0,8.65,-1.0,158.0,407.5,3.095,0.31008
-1.0,7.75,-1.0,158.5,370.0,1.458,0.25998
-1.0,7.3,-1.0,159.5,375.5,2.618,0.28934625
-1.0,7.3,-1.0,156.5,293.0,2.433,0.2265575
-1.0,6.5,-1.0,156.0,273.0,2.198,0.261997
-1.0,6.0,-1.0,158.5,356.5,1.928,0.22059625
-1.0,5.55,-1.0,154.0,359.0,2.34,0.2700775
-1.0,6.0,-1.0,157.5,372.5,2.218,0.1613325
-1.0,6.25,-1.0,156.0,362.0,3.238,0.2734695
-1.0,6.55,-1.0,158.5,385.5,2.363,0.227323
-1.0,6.6,-1.0,159.0,390.5,2.075,0.22482875
-1.0,6.35,-1.0,157.0,296.5,2.1,0.1564695
-1.0,5.2,-1.0,157.0,271.5,2.163,0.13280575
-1.0,8.3,-1.0,158.0,433.0,3.528,0.46392
-1.0,6.6,-1.0,156.0,350.5,1.925,0.2482685
-1.0,6.05,-1.0,159.5,337.5,2.178,0.236674
-1.0,6.9,-1.0,158.5,364.0,1.815,0.257256
-1.0,6.25,-1.0,159.5,356.0,2.645,0.2882
110.0,10.7,10.5,158.0,296.5,1.858,0.27375
-1.0,9.7,-1.0,155.0,411.0,2.275,0.342372
134.0,8.55,-1.0,155.5,326.0,2.993,0.444726
124.0,12.6,13.3,157.5,281.5,2.315,0.179179
-1.0,11.38,-1.0,155.0,460.0,5.8,0.5725315
-1.0,11.55,-1.0,157.5,448.0,4.745,0.829325
-1.0,8.9,-1.0,156.5,486.5,3.983,0.783549
-1.0,8.3,-1.0,159.0,457.5,2.935,0.4801965
-1.0,9.4,-1.0,159.5,419.5,2.71,0.294627
-1.0,8.55,-1.0,158.5,316.0,1.613,0.17391825
-1.0,8.9,-1.0,159.0,344.0,1.54,0.153765
74.0,7.2,5.35,122.0,113.0,0.803,0.0981315
88.5,15.2,14.5,136.5,352.5,2.42,0.5631385
-1.0,6.5,-1.0,158.5,297.0,3.283,0.2160255
86.5,8.6,6.7,146.0,375.0,1.833,0.2605215
134.0,9.6,-1.0,152.0,445.0,2.875,0.77049
-1.0,11.7,-1.0,154.0,432.5,6.065,0.7256385
99.5,13.8,12.35,135.0,425.0,2.825,0.42445
-1.0,9.15,-1.0,158.0,440.0,2.555,0.39709875
-1.0,6.35,-1.0,158.0,306.5,2.455,0.222816
-1.0,8.45,-1.0,157.5,373.0,2.045,0.2350725
-1.0,5.35,-1.0,158.0,346.5,2.558,0.215763
-1.0,6.1,-1.0,156.5,312.0,3.093,0.166963
-1.0,6.6,-1.0,155.5,271.5,1.765,0.19446
-1.0,6.6,-1.0,158.5,356.5,1.813,0.17356125
-1.0,5.8,-1.0,157.5,373.5,3.213,0.24090625
-1.0,7.45,-1.0,160.0,267.5,2.143,0.1920555
-1.0,6.35,-1.0,159.0,329.0,2.54,0.234696
-1.0,7.0,-1.0,155.5,275.5,1.943,0.2975565
-1.0,5.0,-1.0,156.0,380.0,3.105,0.23689125
-1.0,6.9,-1.0,158.0,280.5,2.595,0.164025
-1.0,5.95,-1.0,157.0,308.0,2.365,0.16268575
-1.0,7.6,-1.0,159.5,378.0,2.958,0.2688705
-1.0,3.6,-1.0,158.0,234.0,1.885,0.12711525
-1.0,8.85,-1.0,159.5,362.5,2.028,0.1926225
134.0,13.8,-1.0,154.5,429.0,2.768,0.697205
-1.0,6.65,-1.0,157.0,302.0,1.608,0.154025
-1.0,9.65,-1.0,160.0,430.5,2.76,0.331716
-1.0,7.2,-1.0,159.0,321.0,1.943,0.184825
-1.0,7.25,-1.0,159.0,377.5,2.665,0.216733
-1.0,6.6,-1.0,158.0,352.5,2.02,0.235414
-1.0,7.75,-1.0,159.5,318.5,2.535,0.22606
-1.0,6.5,-1.0,158.5,328.5,2.69,0.22987225
-1.0,6.1,-1.0,158.0,327.5,3.54,0.208568
-1.0,7.2,-1.0,157.0,326.0,1.795,0.163519
-1.0,6.6,-1.0,156.5,335.0,2.14,0.257784
-1.0,5.6,-1.0,159.5,367.0,2.578,0.2874955
-1.0,7.3,-1.0,158.5,316.5,1.893,0.165853
-1.0,6.1,-1.0,154.5,367.5,1.365,0.21981375
-1.0,5.05,-1.0,158.0,281.5,2.205,0.1878625
-1.0,5.85,-1.0,155.5,289.0,2.635,0.18031
-1.0,5.85,-1.0,158.0,274.0,2.175,0.2127125
-1.0,7.95,-1.0,154.5,356.0,2.485,0.268041
-1.0,4.5,-1.0,153.0,285.0,1.875,0.159243
-1.0,6.7,-1.0,159.0,312.0,1.765,0.229691
-1.0,7.5,-1.0,154.0,367.5,1.798,0.27456
-1.0,8.35,-1.0,158.5,327.0,1.568,0.26024275
-1.0,4.55,-1.0,157.5,367.5,2.2,0.2079585
-1.0,7.2,-1.0,154.5,362.0,2.78,0.23932125
-1.0,7.7,-1.0,158.0,470.0,3.443,0.438032
-1.0,6.55,-1.0,155.5,335.5,1.895,0.2564165
-1.0,7.35,-1.0,158.0,395.0,2.433,0.19778
-1.0,4.6,-1.0,157.5,291.0,2.253,0.19671975
-1.0,5.75,-1.0,158.5,261.0,1.81,0.1410825
-1.0,5.95,-1.0,156.0,371.5,2.675,0.3020785
-1.0,7.45,-1.0,158.0,390.0,2.063,0.23326975
-1.0,8.2,-1.0,156.0,400.5,3.283,0.541765
-1.0,8.65,-1.0,157.5,332.0,2.813,0.280202
-1.0,7.05,-1.0,159.5,321.0,2.155,0.257796
-1.0,7.95,-1.0,158.5,426.0,2.258,0.321972
-1.0,10.75,-1.0,158.0,492.5,2.213,0.46125225
-1.0,6.95,-1.0,157.5,345.0,4.193,0.368732
-1.0,7.2,-1.0,154.0,333.5,2.87,0.275909
-1.0,11.75,-1.0,159.0,481.0,3.033,0.436735
-1.0,6.45,-1.0,155.5,326.5,2.51,0.245388
70.0,14.4,10.95,104.0,173.0,0.335,0.0760885
94.0,7.4,7.85,124.5,124.5,1.04,0.1123255
112.5,13.5,13.45,156.0,296.5,2.178,0.328334
115.0,7.55,16.3,156.5,401.0,3.193,0.205942
-1.0,7.7,-1.0,159.0,395.5,2.995,0.3957975
-1.0,6.15,-1.0,158.0,426.0,3.133,0.32938875
-1.0,8.1,-1.0,160.0,368.0,2.26,0.223456
-1.0,7.3,-1.0,159.5,372.5,1.83,0.21087275
-1.0,7.35,-1.0,160.0,334.0,2.605,0.232934
-1.0,7.0,-1.0,154.0,268.0,1.72,0.238212
-1.0,6.65,-1.0,157.0,326.5,3.04,0.224128
-1.0,6.1,-1.0,158.5,333.0,1.973,0.218868
-1.0,5.2,-1.0,158.0,361.0,2.1,0.21583575
-1.0,6.05,-1.0,158.5,310.5,1.91,0.192645
92.5,12.1,9.3,132.0,273.0,1.33,0.194129
104.0,14.25,11.65,158.0,350.0,3.353,0.270567
80.5,11.65,10.0,118.5,288.0,2.395,0.3215325
70.0,8.15,11.05,110.5,120.0,0.785,0.06050575
-1.0,11.0,-1.0,158.0,389.0,2.995,0.274832
-1.0,6.9,-1.0,159.5,301.0,1.843,0.22373
-1.0,8.25,-1.0,159.0,406.0,1.995,0.31345875
-1.0,8.65,-1.0,157.0,415.0,2.678,0.447337
89.0,12.95,12.25,132.0,261.5,2.058,0.197929
78.0,11.9,12.85,112.0,218.5,1.278,0.123063
71.0,11.4,11.85,108.0,224.0,1.483,0.11825125
68.0,8.95,9.4,108.0,224.0,1.398,0.107154
83.0,12.4,11.15,132.0,257.0,1.578,0.187928
82.0,12.1,12.55,117.0,270.0,2.153,0.405387
68.0,14.4,10.65,104.0,193.0,1.303,0.132907
86.5,12.75,12.9,135.0,325.0,2.503,0.2741055
78.0,16.75,13.55,118.5,252.5,1.613,0.301644
73.5,11.7,13.55,112.0,213.0,0.843,0.12556625
91.0,9.8,12.9,147.0,262.0,1.27,0.151968
105.0,8.3,9.85,159.0,274.0,1.57,0.14172975
76.5,8.3,6.85,112.0,317.5,0.97,0.1712795
107.5,13.55,10.85,158.0,325.5,2.095,0.29632425
122.0,15.2,15.6,158.5,386.0,2.21,0.306393
-1.0,9.25,-1.0,158.5,377.0,2.15,0.228235
-1.0,5.3,-1.0,158.0,390.0,2.53,0.3463425
-1.0,6.55,-1.0,156.5,292.5,2.675,0.24231875
97.0,14.7,13.9,135.0,382.5,3.19,0.229086
100.5,14.25,14.15,150.5,346.5,2.695,0.3093465
94.5,13.65,13.3,138.0,347.5,2.333,0.178616
94.5,12.1,13.7,146.0,357.5,2.105,0.24060525
105.0,14.5,11.7,155.5,382.0,3.15,0.63378225
93.0,17.55,15.4,154.5,341.5,2.703,0.2744745
69.0,7.5,6.6,112.0,173.0,0.84,0.147687
84.0,9.3,7.1,135.0,97.0,0.435,0.0602745
75.0,5.8,9.2,104.0,191.0,0.37,0.120398
86.5,12.05,9.9,124.5,269.5,1.86,0.1395745
69.0,13.75,11.35,118.5,159.5,1.068,0.1092375
88.5,7.05,7.0,118.5,113.5,0.823,0.08063675
73.0,3.3,12.1,108.0,198.5,0.948,0.15087725
71.0,9.8,13.35,117.0,176.0,0.873,0.110196
70.0,13.5,9.25,104.0,195.0,0.62,0.11968
94.5,12.05,14.65,146.5,332.5,1.895,0.274896
93.0,16.9,14.15,135.0,319.5,2.46,0.32381175
