Anthesis date (days),Brix (maturity),Brix (milk),Harvest date (days),Stalk height (cm),Total fresh weight (kg),adf
-1.0,6.55,-1.0,158.0,389.5,3.448,0.3503745
-1.0,12.15,-1.0,157.5,460.0,3.043,0.35207
-1.0,6.6,-1.0,158.0,395.0,4.4,0.660618
114.5,13.7,12.55,157.0,409.5,2.733,0.30171675
134.0,8.85,-1.0,157.5,400.0,4.243,0.330954
134.0,12.15,-1.0,158.5,401.0,2.955,0.2430705
-1.0,9.3,-1.0,159.0,303.5,4.215,0.342055
-1.0,11.6,-1.0,157.0,447.5,4.035,0.275336
-1.0,12.2,-1.0,163.0,490.0,2.745,0.822675
-1.0,14.0,-1.0,158.0,500.0,3.103,0.6679925
-1.0,10.85,-1.0,157.0,405.0,1.598,0.2331495
129.0,11.3,9.8,152.0,405.0,3.14,0.45967
134.0,12.3,-1.0,159.0,383.0,2.333,0.2115085
-1.0,8.3,-1.0,155.0,485.0,2.545,0.262903
93.0,11.4,8.6,135.0,473.5,1.155,0.13426175
134.0,7.0,-1.0,158.0,392.5,3.29,0.275872
-1.0,5.25,-1.0,158.5,433.0,2.855,0.297077
-1.0,5.7,-1.0,158.5,238.5,2.945,0.148302
-1.0,7.9,-1.0,159.0,455.0,3.775,0.277473
-1.0,7.45,-1.0,158.0,390.5,2.783,0.274703
-1.0,4.1,-1.0,162.0,334.5,4.545,0.22644
110.0,8.9,10.0,157.5,337.5,3.63,0.37051375
71.0,9.35,10.1,117.0,90.0,0.453,0.0382415
-1.0,12.8,-1.0,159.0,522.0,6.23,0.415646
-1.0,6.3,-1.0,157.0,482.0,8.005,0.46588875
-1.0,8.0,-1.0,156.5,436.5,4.413,0.4863
-1.0,5.7,-1.0,157.5,392.5,3.34,0.1801275
-1.0,8.2,-1.0,153.0,-1.0,4.735,0.568997
-1.0,8.65,-1.0,157.5,535.0,4.558,0.47163
-1.0,10.9,-1.0,159.5,491.5,3.353,0.258984
-1.0,6.3,-1.0,154.0,400.0,3.435,0.1837
134.0,9.85,-1.0,157.0,458.0,3.973,0.259776
-1.0,6.3,-1.0,158.0,499.5,4.14,0.302841
-1.0,8.7,-1.0,157.5,465.0,3.003,0.229924
-1.0,9.55,-1.0,158.5,412.5,3.055,0.235773
-1.0,9.5,-1.0,157.0,415.0,2.35,0.1992375
-1.0,7.9,-1.0,159.0,408.5,2.523,0.187756
-1.0,5.25,-1.0,157.0,367.5,3.443,0.19082
-1.0,6.4,-1.0,158.0,322.0,1.578,0.2148455
-1.0,6.35,-1.0,156.0,418.0,2.96,0.20112925
-1.0,7.15,-1.0,157.0,313.0,3.298,0.226107
110.0,14.45,15.6,157.0,308.5,2.178,0.185115
-1.0,6.9,-1.0,159.0,341.5,1.693,0.10829
-1.0,7.0,-1.0,157.0,458.5,2.458,0.25371225
-1.0,8.65,-1.0,155.5,408.5,3.388,0.21185
-1.0,9.7,-1.0,158.0,362.0,3.103,0.246024
-1.0,7.8,-1.0,158.5,387.0,2.513,0.2288265
-1.0,7.35,-1.0,159.0,362.5,2.883,0.22443225
-1.0,11.3,-1.0,158.5,396.0,2.405,0.25857
-1.0,5.45,-1.0,157.5,301.5,3.735,0.128915
-1.0,8.15,-1.0,158.0,415.5,2.768,0.302499
76.5,8.0,6.2,124.5,154.0,0.918,0.0544275
77.0,9.9,10.55,117.0,121.0,1.015,0.0624185
76.0,10.15,10.35,127.5,140.5,0.9,0.07013475
82.0,6.9,7.6,134.0,89.5,0.275,0.04014075
76.5,6.25,5.65,104.0,162.5,1.028,0.07669825
85.5,10.55,9.6,110.5,183.5,0.283,0.03264
78.5,9.2,5.15,118.5,101.0,0.575,0.05754475
72.0,8.0,8.3,112.0,62.0,0.855,0.054648
70.0,13.2,13.45,104.0,187.0,1.22,0.0616835
75.0,5.9,7.35,108.0,101.5,0.613,0.05447775
80.0,12.1,9.4,118.5,146.0,0.925,0.0519225
69.0,14.0,11.85,104.0,206.0,1.408,0.0737
72.5,10.65,11.75,104.0,152.5,1.835,0.06321
69.0,5.35,7.1,108.0,249.0,0.535,0.06913325
68.0,3.95,8.9,104.0,140.5,0.61,0.07074475
69.0,7.0,9.35,104.0,137.5,0.618,0.0476905
74.5,4.85,9.45,110.5,172.0,0.845,0.0561295
89.0,9.75,8.35,125.0,300.0,0.32,0.09483875
105.0,10.65,11.45,159.0,467.0,1.795,0.233778
-1.0,13.2,-1.0,156.0,504.0,6.013,0.41887575
-1.0,8.65,-1.0,158.0,407.5,3.095,0.2125
-1.0,7.75,-1.0,158.5,370.0,1.458,0.17255
-1.0,7.3,-1.0,159.5,375.5,2.618,0.202275
-1.0,7.3,-1.0,156.5,293.0,2.433,0.1570725
-1.0,6.5,-1.0,156.0,273.0,2.198,0.181113
-1.0,6.0,-1.0,158.5,356.5,1.928,0.15621725
-1.0,5.55,-1.0,154.0,359.0,2.34,0.191345
-1.0,6.0,-1.0,157.5,372.5,2.218,0.1127
-1.0,6.25,-1.0,156.0,362.0,3.238,0.18819975
-1.0,6.55,-1.0,158.5,385.5,2.363,0.157263
-1.0,6.6,-1.0,159.0,390.5,2.075,0.14996225
-1.0,6.35,-1.0,157.0,296.5,2.1,0.1069695
-1.0,5.2,-1.0,157.0,271.5,2.163,0.09238075
-1.0,8.3,-1.0,158.0,433.0,3.528,0.31884
-1.0,6.6,-1.0,156.0,350.5,1.925,0.1700125
-1.0,6.05,-1.0,159.5,337.5,2.178,0.162826
-1.0,6.9,-1.0,158.5,364.0,1.815,0.179028
-1.0,6.25,-1.0,159.5,356.0,2.645,0.2026
110.0,10.7,10.5,158.0,296.5,1.858,0.163374
-1.0,9.7,-1.0,155.0,411.0,2.275,0.233913
134.0,8.55,-1.0,155.5,326.0,2.993,0.285975
124.0,12.6,13.3,157.5,281.5,2.315,0.1201915
-1.0,11.38,-1.0,155.0,460.0,5.8,0.3808225
-1.0,11.55,-1.0,157.5,448.0,4.745,0.5675425
-1.0,8.9,-1.0,156.5,486.5,3.983,0.52947
-1.0,8.3,-1.0,159.0,457.5,2.935,0.3345615
-1.0,9.4,-1.0,159.5,419.5,2.71,0.2020095
-1.0,8.55,-1.0,158.5,316.0,1.613,0.11446875
-1.0,8.9,-1.0,159.0,344.0,1.54,0.1012725
74.0,7.2,5.35,122.0,113.0,0.803,0.0646245
88.5,15.2,14.5,136.5,352.5,2.42,0.38908
-1.0,6.5,-1.0,158.5,297.0,3.283,0.1414495
86.5,8.6,6.7,146.0,375.0,1.833,0.18320775
134.0,9.6,-1.0,152.0,445.0,2.875,0.514584
-1.0,11.7,-1.0,154.0,432.5,6.065,0.464968
99.5,13.8,12.35,135.0,425.0,2.825,0.2899
-1.0,9.15,-1.0,158.0,440.0,2.555,0.25735875
-1.0,6.35,-1.0,158.0,306.5,2.455,0.1576
-1.0,8.45,-1.0,157.5,373.0,2.045,0.159835
-1.0,5.35,-1.0,158.0,346.5,2.558,0.1563205
-1.0,6.1,-1.0,156.5,312.0,3.093,0.11013275
-1.0,6.6,-1.0,155.5,271.5,1.765,0.13116
-1.0,6.6,-1.0,158.5,356.5,1.813,0.1208535
-1.0,5.8,-1.0,157.5,373.5,3.213,0.16096875
-1.0,7.45,-1.0,160.0,267.5,2.143,0.133965
-1.0,6.35,-1.0,159.0,329.0,2.54,0.155199
-1.0,7.0,-1.0,155.5,275.5,1.943,0.19392925
-1.0,5.0,-1.0,156.0,380.0,3.105,0.16250625
-1.0,6.9,-1.0,158.0,280.5,2.595,0.110975
-1.0,5.95,-1.0,157.0,308.0,2.365,0.111605
-1.0,7.6,-1.0,159.5,378.0,2.958,0.18911825
-1.0,3.6,-1.0,158.0,234.0,1.885,0.0867675
-1.0,8.85,-1.0,159.5,362.5,2.028,0.12964875
134.0,13.8,-1.0,154.5,429.0,2.768,0.477945
-1.0,6.65,-1.0,157.0,302.0,1.608,0.09915
-1.0,9.65,-1.0,160.0,430.5,2.76,0.228888
-1.0,7.2,-1.0,159.0,321.0,1.943,0.122225
-1.0,7.25,-1.0,159.0,377.5,2.665,0.146217
-1.0,6.6,-1.0,158.0,352.5,2.02,0.160921
-1.0,7.75,-1.0,159.5,318.5,2.535,0.14995525
-1.0,6.5,-1.0,158.5,328.5,2.69,0.15677425
-1.0,6.1,-1.0,158.0,327.5,3.54,0.140926
-1.0,7.2,-1.0,157.0,326.0,1.795,0.1156955
-1.0,6.6,-1.0,156.5,335.0,2.14,0.1753635
-1.0,5.6,-1.0,159.5,367.0,2.578,0.20453975
-1.0,7.3,-1.0,158.5,316.5,1.893,0.112815
-1.0,6.1,-1.0,154.5,367.5,1.365,0.1505205
-1.0,5.05,-1.0,158.0,281.5,2.205,0.1317015
-1.0,5.85,-1.0,155.5,289.0,2.635,0.129142
-1.0,5.85,-1.0,158.0,274.0,2.175,0.14456
-1.0,7.95,-1.0,154.5,356.0,2.485,0.186261
-1.0,4.5,-1.0,153.0,285.0,1.875,0.108948
-1.0,6.7,-1.0,159.0,312.0,1.765,0.14919275
-1.0,7.5,-1.0,154.0,367.5,1.798,0.18958225
-1.0,8.35,-1.0,158.5,327.0,1.568,0.175557
-1.0,4.55,-1.0,157.5,367.5,2.2,0.14294025
-1.0,7.2,-1.0,154.5,362.0,2.78,0.16345125
-1.0,7.7,-1.0,158.0,470.0,3.443,0.301168
-1.0,6.55,-1.0,155.5,335.5,1.895,0.1693705
-1.0,7.35,-1.0,158.0,395.0,2.433,0.132936
-1.0,4.6,-1.0,157.5,291.0,2.253,0.13764
-1.0,5.75,-1.0,158.5,261.0,1.81,0.0981825
-1.0,5.95,-1.0,156.0,371.5,2.675,0.206504
-1.0,7.45,-1.0,158.0,390.0,2.063,0.1609475
-1.0,8.2,-1.0,156.0,400.5,3.283,0.3692535
-1.0,8.65,-1.0,157.5,332.0,2.813,0.18526625
-1.0,7.05,-1.0,159.5,321.0,2.155,0.173736
-1.0,7.95,-1.0,158.5,426.0,2.258,0.220416
-1.0,10.75,-1.0,158.0,492.5,2.213,0.3099375
-1.0,6.95,-1.0,157.5,345.0,4.193,0.252564
-1.0,7.2,-1.0,154.0,333.5,2.87,0.184149
-1.0,11.75,-1.0,159.0,481.0,3.033,0.30004
-1.0,6.45,-1.0,155.5,326.5,2.51,0.169728
70.0,14.4,10.95,104.0,173.0,0.335,0.0449135
94.0,7.4,7.85,124.5,124.5,1.04,0.066665
112.5,13.5,13.45,156.0,296.5,2.178,0.22294675
115.0,7.55,16.3,156.5,401.0,3.193,0.141449
-1.0,7.7,-1.0,159.0,395.5,2.995,0.2679075
-1.0,6.15,-1.0,158.0,426.0,3.133,0.22824225
-1.0,8.1,-1.0,160.0,368.0,2.26,0.154656
-1.0,7.3,-1.0,159.5,372.5,1.83,0.145442
-1.0,7.35,-1.0,160.0,334.0,2.605,0.160642
-1.0,7.0,-1.0,154.0,268.0,1.72,0.156546
-1.0,6.65,-1.0,157.0,326.5,3.04,0.147288
-1.0,6.1,-1.0,158.5,333.0,1.973,0.155367
-1.0,5.2,-1.0,158.0,361.0,2.1,0.15242175
-1.0,6.05,-1.0,158.5,310.5,1.91,0.135054
92.5,12.1,9.3,132.0,273.0,1.33,0.13033675
104.0,14.25,11.65,158.0,350.0,3.353,0.1769625
80.5,11.65,10.0,118.5,288.0,2.395,0.1991975
70.0,8.15,11.05,110.5,120.0,0.785,0.039565
-1.0,11.0,-1.0,158.0,389.0,2.995,0.1912165
-1.0,6.9,-1.0,159.5,301.0,1.843,0.150215
-1.0,8.25,-1.0,159.0,406.0,1.995,0.201465
-1.0,8.65,-1.0,157.0,415.0,2.678,0.2962685
89.0,12.95,12.25,132.0,261.5,2.058,0.140653
78.0,11.9,12.85,112.0,218.5,1.278,0.068391
71.0,11.4,11.85,108.0,224.0,1.483,0.07046625
68.0,8.95,9.4,108.0,224.0,1.398,0.069264
83.0,12.4,11.15,132.0,257.0,1.578,0.12180675
82.0,12.1,12.55,117.0,270.0,2.153,0.0011625
68.0,14.4,10.65,104.0,193.0,1.303,0.067686
86.5,12.75,12.9,135.0,325.0,2.503,0.2014125
78.0,16.75,13.55,118.5,252.5,1.613,0.1961415
73.5,11.7,13.55,112.0,213.0,0.843,0.04695375
91.0,9.8,12.9,147.0,262.0,1.27,0.10016
105.0,8.3,9.85,159.0,274.0,1.57,0.09426375
76.5,8.3,6.85,112.0,317.5,0.97,0.105056
107.5,13.55,10.85,158.0,325.5,2.095,0.1978845
122.0,15.2,15.6,158.5,386.0,2.21,0.208731
-1.0,9.25,-1.0,158.5,377.0,2.15,0.155155
-1.0,5.3,-1.0,158.0,390.0,2.53,0.22911525
-1.0,6.55,-1.0,156.5,292.5,2.675,0.164126
97.0,14.7,13.9,135.0,382.5,3.19,0.159093
100.5,14.25,14.15,150.5,346.5,2.695,0.216529
94.5,13.65,13.3,138.0,347.5,2.333,0.1277785
94.5,12.1,13.7,146.0,357.5,2.105,0.157815
105.0,14.5,11.7,155.5,382.0,3.15,0.452808
93.0,17.55,15.4,154.5,341.5,2.703,0.165312
69.0,7.5,6.6,112.0,173.0,0.84,0.090136
84.0,9.3,7.1,135.0,97.0,0.435,0.040287
75.0,5.8,9.2,104.0,191.0,0.37,0.07807
86.5,12.05,9.9,124.5,269.5,1.86,0.094503
69.0,13.75,11.35,118.5,159.5,1.068,0.0678
88.5,7.05,7.0,118.5,113.5,0.823,0.053628
73.0,3.3,12.1,108.0,198.5,0.948,0.09146975
71.0,9.8,13.35,117.0,176.0,0.873,0.074142
70.0,13.5,9.25,104.0,195.0,0.62,0.076041
94.5,12.05,14.65,146.5,332.5,1.895,0.1804005
93.0,16.9,14.15,135.0,319.5,2.46,0.17355525
