SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,gps_eastings_UTMzone17N,gps_northings_UTMzone17N,accession_photoperiod,accession_type,accession_origin,accession_race,SYNTHETIC_HGT,SYNTHETIC_PAN,Crude_protein
0.77,0.65,0.63,0.60312,0.035738,0.052494,0.093902,0.47673,-1.0,6.1457,25.3552,340657.762375,3832657.23,1.0,3.0,0.0,0.0,185.0,31.3333333333,4.81
0.82,0.77,0.73,0.64674,0.034666,0.07285,0.21464,0.2223,-1.0,28.8256,35.5108,340660.900375,3832665.6825,1.0,1.0,0.0,0.0,169.333333333,16.3333333333,6.83
2.27,2.17,1.91,0.68841,0.051743,0.066978,0.11741,0.40257,-1.0,47.5716,55.9628,340662.434625,3832670.01375,1.0,1.0,28.0,0.0,266.333333333,23.3333333333,5.75
0.84,0.62,0.57,0.50111,0.046226,0.069132,0.068229,0.28642,-1.0,37.3226,47.8291,340663.976625,3832674.3675,0.0,0.0,0.0,0.0,222.666666667,44.3333333333,4.28
0.73,0.62,0.6,0.64919,0.051326,0.071213,0.13172,0.23744,-1.0,25.1268,20.4903,340667.087125,3832683.15875,1.0,3.0,0.0,0.0,174.666666667,24.0,5.67
1.44,1.39,1.29,0.8344,0.030932,0.072141,0.239,0.27656,-1.0,40.0431,66.1361,340668.586375,3832687.39,1.0,3.0,0.0,0.0,280.0,20.6666666667,5.1
0.65,0.6,0.54,0.7255,0.038988,0.070845,0.33778,0.49948,-1.0,43.8282,55.8551,340673.13775,3832700.2425,1.0,3.0,35.0,0.0,200.0,16.0,7.38
0.52,0.44,0.4,0.17474,0.031989,0.039761,0.20033,0.39409,-1.0,36.2324,50.4997,340674.547,3832704.22,1.0,1.0,25.0,0.0,208.666666667,23.6666666667,5.71
1.27,1.22,1.15,0.86779,0.041555,0.073721,0.1075,0.31154,-1.0,54.3766,55.659,340676.096625,3832708.6,1.0,3.0,0.0,0.0,248.0,19.6666666667,4.0
0.69,0.64,0.58,0.99554,0.035159,0.070478,0.15244,0.25121,-1.0,35.4882,54.3778,340677.661,3832713.0175,1.0,3.0,8.0,0.0,241.666666667,21.6666666667,6.29
2.06,1.99,1.86,0.5345,0.11091,0.071832,0.29087,0.36212,-1.0,40.0831,26.5457,340679.204,3832717.37625,1.0,3.0,25.0,2.0,275.0,20.6666666667,7.66
1.06,0.92,0.9,0.39334,0.054127,0.059265,0.16265,0.40552,-1.0,27.8553,40.8237,340680.714375,3832721.6425,1.0,3.0,31.0,3.0,215.333333333,24.0,3.72
0.37,0.29,0.22,0.16982,0.040416,0.056135,0.21016,0.19436,-1.0,16.297,20.9951,340682.21675,3832725.88375,1.0,1.0,4.0,0.0,109.333333333,24.6666666667,9.64
0.33,0.27,0.23,0.58217,0.041258,0.051304,0.25958,0.33318,-1.0,39.1512,45.7622,340683.79,3832730.3275,1.0,1.0,19.0,0.0,221.333333333,23.6666666667,5.57
0.68,0.62,0.55,0.47049,0.059579,0.071761,0.19077,0.2909,-1.0,32.1591,41.0956,340686.884375,3832739.06875,1.0,2.0,0.0,0.0,198.666666667,19.3333333333,5.7
1.77,1.74,1.56,0.86737,0.047166,0.079687,0.18578,0.36702,-1.0,43.1993,66.3592,340688.39225,3832743.32375,1.0,3.0,0.0,0.0,281.666666667,13.3333333333,4.88
1.14,1.05,1.03,0.46809,0.064895,0.05793,0.2003,0.52249,-1.0,50.1306,30.1191,340689.941,3832747.7,1.0,3.0,8.0,12.0,228.333333333,20.3333333333,4.69
0.62,0.55,0.48,0.1412,0.030391,0.062472,0.24318,0.56304,-1.0,51.751,47.4452,340691.471625,3832752.02375,1.0,3.0,0.0,0.0,239.666666667,23.0,5.04
1.41,1.37,1.27,0.96949,0.035632,0.067071,0.20584,0.38235,-1.0,45.9913,50.3622,340692.984625,3832756.29625,1.0,3.0,0.0,0.0,305.333333333,19.3333333333,3.48
0.61,0.46,0.39,0.45467,0.090598,0.05056,0.18347,0.39427,-1.0,41.8499,33.7837,340694.519125,3832760.63,0.0,0.0,0.0,0.0,223.666666667,40.6666666667,3.37
0.75,0.74,0.72,0.88498,0.040487,0.083953,0.14699,0.32456,-1.0,49.5177,35.5236,340695.998,3832764.80625,1.0,3.0,0.0,0.0,213.666666667,21.0,5.26
0.98,0.93,0.87,0.42702,-1.0,0.060458,0.20722,0.50909,-1.0,43.3954,40.2109,340697.447375,3832769.16,1.0,3.0,15.0,0.0,208.666666667,9.33333333333,8.01
1.21,-1.0,1.07,0.058314,-1.0,0.081422,0.12734,0.47827,-1.0,54.2879,53.7337,340698.936375,3832773.35625,1.0,3.0,26.0,0.0,213.666666667,-1.0,4.47
0.84,0.74,0.68,-1.0,-1.0,0.060558,-1.0,-1.0,-1.0,59.5525,36.1614,340700.409625,3832777.5125,1.0,3.0,0.0,0.0,197.333333333,21.6666666667,3.2
0.87,-1.0,0.74,-1.0,-1.0,0.033785,-1.0,-1.0,-1.0,56.0422,44.3496,340701.927625,3832781.79375,1.0,3.0,21.0,12.0,203.0,-1.0,5.38
0.65,0.61,0.54,0.015795,0.072084,0.064667,0.13222,0.17583,-1.0,12.9474,36.3572,340651.95625,3832649.77375,1.0,3.0,0.0,11.0,168.0,17.0,5.85
0.51,0.5,0.42,0.38652,0.02969,0.063836,0.19031,0.3785,-1.0,15.541,5.2661,340653.442375,3832653.96875,1.0,3.0,26.0,6.0,233.333333333,18.0,5.78
0.87,0.86,0.82,0.99964,0.029945,0.049009,0.18023,0.29541,-1.0,11.2405,21.7888,340656.590875,3832662.60875,1.0,3.0,35.0,0.0,250.0,22.6666666667,6.21
0.65,0.56,0.5,0.5424,0.027277,0.062011,0.21019,0.273,-1.0,11.1299,14.4496,340658.10975,3832666.89625,1.0,3.0,0.0,0.0,186.0,22.6666666667,3.38
1.03,0.95,0.83,0.51593,0.061824,0.060006,0.20256,0.25606,-1.0,18.3233,22.3514,340661.17275,3832675.55125,1.0,3.0,0.0,0.0,188.666666667,17.6666666667,4.03
0.63,0.56,0.52,0.64914,0.09627,0.043152,0.18522,0.26421,-1.0,9.349,6.8432,340662.762625,3832680.04125,1.0,3.0,0.0,0.0,209.666666667,28.6666666667,6.77
0.52,0.44,0.4,0.06853,0.12239,0.068398,0.18758,0.22243,-1.0,1.5526,15.411,340664.273125,3832684.315,1.0,3.0,0.0,0.0,166.666666667,22.3333333333,3.11
