SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,NEL3x_ADF
116.0,119.0,131.0,0.49,0.42,0.38,23.0,20.0,19.0,0.61465,0.053799,0.050494,0.22313,0.64487,-1.0,6.8828,-1.0,74.09
229.0,233.0,221.0,1.35,1.27,1.04,25.0,24.0,23.0,0.98017,0.040373,0.046189,0.16014,0.20227,-1.0,59.6752,52.0167,67.19
140.0,146.0,136.0,0.38,0.34,0.3,18.0,18.0,15.0,0.57169,0.035593,0.06802,0.1795,0.27881,-1.0,3.2697,30.2334,69.56
183.0,190.0,182.0,0.77,0.65,0.63,33.0,30.0,31.0,0.60312,0.035738,0.052494,0.093902,0.47673,-1.0,6.1457,25.3552,67.53
185.0,165.0,158.0,0.82,0.77,0.73,18.0,15.0,16.0,0.64674,0.034666,0.07285,0.21464,0.2223,-1.0,28.8256,35.5108,75.22
261.0,261.0,277.0,2.27,2.17,1.91,26.0,21.0,23.0,0.68841,0.051743,0.066978,0.11741,0.40257,-1.0,47.5716,55.9628,68.77
234.0,194.0,240.0,0.84,0.62,0.57,48.0,46.0,39.0,0.50111,0.046226,0.069132,0.068229,0.28642,-1.0,37.3226,47.8291,69.72
183.0,184.0,157.0,0.73,0.62,0.6,23.0,24.0,25.0,0.64919,0.051326,0.071213,0.13172,0.23744,-1.0,25.1268,20.4903,70.12
280.0,277.0,283.0,1.44,1.39,1.29,22.0,21.0,19.0,0.8344,0.030932,0.072141,0.239,0.27656,-1.0,40.0431,66.1361,68.49
216.0,187.0,197.0,0.65,0.6,0.54,17.0,15.0,16.0,0.7255,0.038988,0.070845,0.33778,0.49948,-1.0,43.8282,55.8551,67.85
202.0,207.0,217.0,0.52,0.44,0.4,23.0,22.0,26.0,0.17474,0.031989,0.039761,0.20033,0.39409,-1.0,36.2324,50.4997,66.9
250.0,245.0,249.0,1.27,1.22,1.15,21.0,20.0,18.0,0.86779,0.041555,0.073721,0.1075,0.31154,-1.0,54.3766,55.659,70.77
239.0,253.0,233.0,0.69,0.64,0.58,23.0,23.0,19.0,0.99554,0.035159,0.070478,0.15244,0.25121,-1.0,35.4882,54.3778,64.12
277.0,282.0,266.0,2.06,1.99,1.86,21.0,24.0,17.0,0.5345,0.11091,0.071832,0.29087,0.36212,-1.0,40.0831,26.5457,65.13
210.0,217.0,219.0,1.06,0.92,0.9,21.0,24.0,27.0,0.39334,0.054127,0.059265,0.16265,0.40552,-1.0,27.8553,40.8237,70.66
102.0,105.0,121.0,0.37,0.29,0.22,25.0,27.0,22.0,0.16982,0.040416,0.056135,0.21016,0.19436,-1.0,16.297,20.9951,80.35
213.0,220.0,231.0,0.33,0.27,0.23,23.0,22.0,26.0,0.58217,0.041258,0.051304,0.25958,0.33318,-1.0,39.1512,45.7622,64.93
209.0,195.0,192.0,0.68,0.62,0.55,18.0,19.0,21.0,0.47049,0.059579,0.071761,0.19077,0.2909,-1.0,32.1591,41.0956,67.71
289.0,288.0,268.0,1.77,1.74,1.56,13.0,14.0,13.0,0.86737,0.047166,0.079687,0.18578,0.36702,-1.0,43.1993,66.3592,67.85
231.0,228.0,226.0,1.14,1.05,1.03,20.0,21.0,20.0,0.46809,0.064895,0.05793,0.2003,0.52249,-1.0,50.1306,30.1191,71.61
247.0,239.0,233.0,0.62,0.55,0.48,24.0,24.0,21.0,0.1412,0.030391,0.062472,0.24318,0.56304,-1.0,51.751,47.4452,67.19
316.0,295.0,305.0,1.41,1.37,1.27,19.0,17.0,22.0,0.96949,0.035632,0.067071,0.20584,0.38235,-1.0,45.9913,50.3622,67.4
230.0,225.0,216.0,0.61,0.46,0.39,40.0,42.0,40.0,0.45467,0.090598,0.05056,0.18347,0.39427,-1.0,41.8499,33.7837,68.89
218.0,209.0,214.0,0.75,0.74,0.72,21.0,21.0,21.0,0.88498,0.040487,0.083953,0.14699,0.32456,-1.0,49.5177,35.5236,70.19
212.0,204.0,210.0,0.98,0.93,0.87,9.0,10.0,9.0,0.42702,-1.0,0.060458,0.20722,0.50909,-1.0,43.3954,40.2109,69.83
217.0,206.0,218.0,1.21,-1.0,1.07,-1.0,-1.0,-1.0,0.058314,-1.0,0.081422,0.12734,0.47827,-1.0,54.2879,53.7337,70.88
198.0,194.0,200.0,0.84,0.74,0.68,22.0,22.0,21.0,-1.0,-1.0,0.060558,-1.0,-1.0,-1.0,59.5525,36.1614,66.48
196.0,199.0,214.0,0.87,-1.0,0.74,-1.0,-1.0,-1.0,-1.0,-1.0,0.033785,-1.0,-1.0,-1.0,56.0422,44.3496,65.81
165.0,174.0,165.0,0.65,0.61,0.54,13.0,20.0,18.0,0.015795,0.072084,0.064667,0.13222,0.17583,-1.0,12.9474,36.3572,66.6
230.0,245.0,225.0,0.51,0.5,0.42,20.0,19.0,15.0,0.38652,0.02969,0.063836,0.19031,0.3785,-1.0,15.541,5.2661,66.48
259.0,231.0,260.0,0.87,0.86,0.82,24.0,24.0,20.0,0.99964,0.029945,0.049009,0.18023,0.29541,-1.0,11.2405,21.7888,69.4
183.0,181.0,194.0,0.65,0.56,0.5,22.0,23.0,23.0,0.5424,0.027277,0.062011,0.21019,0.273,-1.0,11.1299,14.4496,70.23
187.0,182.0,197.0,1.03,0.95,0.83,16.0,18.0,19.0,0.51593,0.061824,0.060006,0.20256,0.25606,-1.0,18.3233,22.3514,68.83
200.0,208.0,221.0,0.63,0.56,0.52,28.0,28.0,30.0,0.64914,0.09627,0.043152,0.18522,0.26421,-1.0,9.349,6.8432,74.01
175.0,175.0,150.0,0.52,0.44,0.4,22.0,24.0,21.0,0.06853,0.12239,0.068398,0.18758,0.22243,-1.0,1.5526,15.411,72.93
292.0,300.0,310.0,0.83,0.82,0.76,24.0,24.0,22.0,0.6037,0.066069,0.047421,0.31357,0.27987,-1.0,16.3337,44.6299,61.18
218.0,219.0,219.0,1.98,1.95,1.79,13.0,16.0,16.0,0.85364,0.030011,0.062695,0.24983,0.39338,-1.0,30.9132,29.9074,72.46
211.0,223.0,206.0,0.68,0.68,0.54,5.0,5.0,7.0,0.9792,0.029628,0.064202,0.20873,0.24326,-1.0,15.8458,22.8955,63.38
201.0,200.0,197.0,0.68,0.61,0.58,19.0,19.0,19.0,0.002585,0.034389,0.066601,0.30143,0.23885,-1.0,24.7236,45.2653,66.84
310.0,350.0,323.0,0.77,0.72,0.66,45.0,55.0,50.0,0.67607,0.049005,0.057757,0.20599,0.28408,-1.0,15.2821,53.5884,62.01
155.0,153.0,151.0,0.63,0.6,0.47,17.0,18.0,13.0,0.59913,0.024808,0.063885,0.00042983,0.25902,-1.0,22.3531,46.0913,71.4
228.0,222.0,242.0,1.63,1.57,1.48,20.0,19.0,22.0,0.91882,0.037841,0.066236,0.1785,0.29693,-1.0,32.3444,39.6449,68.94
229.0,219.0,264.0,0.63,0.63,0.6,21.0,18.0,24.0,0.60044,0.050264,0.035336,0.16441,0.38388,-1.0,12.4931,6.0915,72.64
206.0,246.0,187.0,0.91,-1.0,0.8,-1.0,-1.0,-1.0,0.30556,0.038897,0.061262,0.27872,0.41736,-1.0,49.9016,40.9948,67.97
280.0,284.0,268.0,1.09,-1.0,0.94,-1.0,-1.0,-1.0,0.65076,0.027448,0.048591,0.21681,0.25033,-1.0,25.0167,58.008,66.12
324.0,308.0,317.0,2.01,1.95,1.78,20.0,20.0,17.0,0.52282,0.029522,0.084937,0.34307,0.41369,-1.0,51.7547,54.6046,67.19
248.0,249.0,254.0,1.09,1.0,0.99,17.0,19.0,20.0,0.82325,0.030157,0.053021,0.27229,0.51,-1.0,24.5924,44.2065,74.03
240.0,230.0,226.0,1.41,1.23,1.12,17.0,21.0,19.0,0.56683,0.040341,0.032291,0.16111,0.38354,-1.0,24.9438,28.4336,67.7
251.0,300.0,281.0,2.08,2.03,1.9,20.0,18.0,19.0,0.99565,0.030555,0.053547,0.27494,0.47288,-1.0,28.6152,34.3221,69.04
178.0,184.0,173.0,0.4,0.36,0.35,16.0,18.0,17.0,0.29704,0.037173,0.062797,0.22508,0.52966,-1.0,5.5557,41.9648,72.71
199.0,217.0,214.0,1.35,-1.0,1.15,-1.0,-1.0,-1.0,0.77803,0.043792,0.083234,0.32552,0.25421,-1.0,22.5654,52.1256,79.09
233.0,246.0,253.0,1.08,-1.0,0.9,-1.0,-1.0,-1.0,0.28461,0.0467,0.057663,0.27247,0.27739,-1.0,30.0901,26.8632,68.52
175.0,171.0,156.0,0.42,0.37,0.33,20.0,19.0,17.0,0.99757,0.029884,0.067749,0.2516,0.28421,-1.0,8.5379,37.425,68.99
320.0,308.0,322.0,1.95,1.92,1.75,18.0,17.0,19.0,0.48278,0.033069,0.048037,0.10295,0.48016,-1.0,18.4494,35.6091,68.31
199.0,196.0,197.0,0.46,0.39,0.33,16.0,15.0,12.0,0.99786,0.029251,0.032588,0.19991,0.53117,-1.0,21.815,-1.0,67.5
161.0,184.0,183.0,0.22,0.19,0.16,22.0,23.0,23.0,-1.0,0.047031,0.038722,0.2125,0.7109,16.7833,-1.0,17.8748,75.0
260.0,259.0,255.0,1.18,1.15,1.06,18.0,17.0,18.0,-1.0,0.025675,0.077824,0.29978,0.53387,14.6206,-1.0,57.029,71.46
152.0,142.0,141.0,0.35,0.3,0.29,20.0,19.0,14.0,-1.0,0.028505,0.075397,0.26124,0.44191,14.7447,-1.0,23.609,75.42
295.0,296.0,270.0,1.29,1.25,1.1,26.0,21.0,23.0,-1.0,0.027656,0.09946,0.26604,0.50022,23.5447,-1.0,70.8234,67.66
228.0,232.0,268.0,1.21,0.97,0.87,46.0,42.0,46.0,-1.0,0.025901,0.0677,0.25431,0.29919,12.5231,-1.0,39.0804,61.16
198.0,188.0,202.0,0.55,0.5,0.45,24.0,24.0,26.0,-1.0,0.025572,0.074379,0.19075,0.22108,4.0461,-1.0,42.837,71.5
241.0,238.0,246.0,0.5,0.43,0.38,28.0,32.0,29.0,-1.0,0.026104,0.065978,0.32957,0.50682,17.3366,-1.0,59.721,63.87
256.0,241.0,234.0,1.22,1.13,1.08,19.0,22.0,22.0,-1.0,0.025374,0.063464,0.40059,0.57801,19.2373,-1.0,52.0256,67.96
258.0,271.0,285.0,2.28,2.19,1.96,33.0,34.0,29.0,-1.0,0.027197,0.034441,0.10329,0.10388,1.5569,-1.0,14.7937,67.65
191.0,181.0,192.0,0.93,0.88,0.73,18.0,17.0,15.0,-1.0,0.087669,0.066156,0.3706,0.45608,21.0006,-1.0,62.4328,68.54
226.0,224.0,241.0,0.73,0.67,0.64,24.0,25.0,21.0,-1.0,0.029596,0.079138,0.32878,0.34945,15.1893,-1.0,42.877,71.47
296.0,281.0,276.0,1.7,1.66,1.5,16.0,18.0,16.0,-1.0,0.094259,0.073168,0.30438,0.72293,12.695,-1.0,70.9437,70.28
204.0,202.0,242.0,1.0,0.93,0.87,27.0,19.0,17.0,-1.0,0.022241,0.079645,0.25261,0.54129,14.9563,-1.0,55.5846,69.08
165.0,165.0,167.0,0.52,0.35,0.32,33.0,23.0,31.0,-1.0,0.034061,0.04885,0.22341,0.53882,19.8263,-1.0,36.0411,67.8
225.0,214.0,227.0,1.67,1.61,1.52,17.0,16.0,15.0,-1.0,0.022844,0.064525,0.30016,0.40188,15.7823,-1.0,57.4321,68.53
200.0,188.0,213.0,0.77,0.69,0.67,21.0,22.0,20.0,-1.0,0.026378,0.068911,0.26245,0.36509,9.6076,-1.0,22.4069,75.31
166.0,176.0,147.0,0.72,0.64,0.6,15.0,19.0,19.0,-1.0,0.024776,0.071669,0.044323,0.36669,12.3062,-1.0,53.8058,71.18
213.0,213.0,234.0,0.65,0.5,0.47,33.0,34.0,38.0,-1.0,0.026419,0.049228,0.17624,0.34643,15.6168,-1.0,53.0303,75.55
242.0,225.0,253.0,1.55,-1.0,1.41,-1.0,-1.0,-1.0,-1.0,0.027811,0.065695,0.20848,0.23621,10.5255,-1.0,26.5951,70.27
160.0,168.0,152.0,0.96,-1.0,0.76,-1.0,-1.0,-1.0,-1.0,0.027392,0.081218,0.31482,0.34609,17.9686,-1.0,69.0201,69.69
181.0,172.0,168.0,1.23,-1.0,1.03,-1.0,-1.0,-1.0,-1.0,0.036703,0.099548,0.14663,0.25418,12.4679,-1.0,73.1916,67.69
111.0,102.0,103.0,1.11,-1.0,0.85,-1.0,-1.0,-1.0,-1.0,0.041034,0.092059,0.24634,0.14269,4.1249,-1.0,62.1671,75.88
264.0,321.0,330.0,2.09,-1.0,1.69,-1.0,-1.0,-1.0,-1.0,0.046383,0.06476,0.25717,0.37873,10.2815,-1.0,45.4067,62.09
245.0,252.0,248.0,1.63,-1.0,1.46,-1.0,-1.0,-1.0,-1.0,0.035991,0.079951,0.25046,0.36414,14.7729,-1.0,66.4003,64.34
213.0,178.0,214.0,1.88,-1.0,1.65,-1.0,-1.0,-1.0,-1.0,0.058608,0.084963,0.28886,0.26686,8.1924,-1.0,62.0595,90.7
187.0,183.0,170.0,1.18,-1.0,0.96,-1.0,-1.0,-1.0,-1.0,-1.0,0.079846,0.18361,0.30574,11.7629,-1.0,49.0151,69.78
185.0,189.0,198.0,1.28,-1.0,1.07,-1.0,-1.0,-1.0,0.63549,0.034115,0.070905,0.071457,0.22741,21.4109,-1.0,54.2736,71.5
174.0,166.0,166.0,0.98,-1.0,0.82,-1.0,-1.0,-1.0,0.57429,-1.0,0.085175,0.19396,0.22826,6.8708,-1.0,57.5528,66.48
220.0,198.0,194.0,1.27,-1.0,1.02,-1.0,-1.0,-1.0,-1.0,-1.0,0.076998,0.44068,0.2298,19.4837,-1.0,66.3888,76.53
197.0,224.0,177.0,1.45,-1.0,1.22,-1.0,-1.0,-1.0,0.32513,-1.0,0.055459,0.14782,0.524135,21.9305,-1.0,22.2576,69.93
143.0,167.0,108.0,0.99,-1.0,0.78,-1.0,-1.0,-1.0,0.66547,-1.0,0.082811,0.3196,0.42427,22.3634,-1.0,19.0794,64.76
109.0,109.0,107.0,0.99,-1.0,0.78,-1.0,-1.0,-1.0,0.054595,0.093932,0.092866,0.41827,0.438745,23.3928,-1.0,65.0326,73.61
228.0,234.0,240.0,1.39,-1.0,1.14,-1.0,-1.0,-1.0,0.59142,0.026514,0.079158,0.35758,0.30228,9.1084,-1.0,25.6674,64.68
143.0,134.0,108.0,1.46,-1.0,1.26,-1.0,-1.0,-1.0,0.22311,0.072039,0.074076,0.29886,0.294365,17.5751,-1.0,40.5231,71.63
110.0,110.0,111.0,0.7,-1.0,0.56,-1.0,-1.0,-1.0,0.32153,0.058232,0.059646,0.18956,0.31204,10.9384,-1.0,39.1439,70.09
102.0,97.0,92.0,0.93,-1.0,0.76,-1.0,-1.0,-1.0,0.25524,0.065263,0.088428,0.29876,0.2344775,13.1113,-1.0,35.5778,71.63
163.0,176.0,180.0,1.58,-1.0,1.28,-1.0,-1.0,-1.0,0.067038,0.043328,0.080596,0.25231,0.182845,3.1068,-1.0,45.6698,66.04
94.0,97.0,95.0,0.9,-1.0,0.67,-1.0,-1.0,-1.0,0.5789,0.052439,0.081011,0.32365,0.37461,16.3862,-1.0,58.1521,66.89
243.0,254.0,237.0,2.03,-1.0,1.81,-1.0,-1.0,-1.0,0.56739,0.046395,0.092359,0.36101,0.326,29.7307,-1.0,63.6589,64.35
153.0,153.0,157.0,1.19,-1.0,1.02,-1.0,-1.0,-1.0,0.96,0.026083,0.07472,0.35736,0.49054,24.6229,-1.0,44.7005,66.76
228.0,235.0,227.0,1.82,-1.0,1.58,-1.0,-1.0,-1.0,0.87401,0.037769,0.074914,0.35426,0.336005,12.7909,-1.0,45.5237,61.67
171.0,136.0,171.0,1.11,-1.0,0.93,-1.0,-1.0,-1.0,0.53236,0.053312,0.097062,0.27455,0.26722,9.9922,-1.0,42.6879,84.7
101.0,108.0,97.0,0.55,-1.0,0.48,-1.0,-1.0,-1.0,0.9928,0.031683,0.088993,0.33301,0.24236,16.7366,-1.0,61.1298,64.38
305.0,315.0,320.0,1.69,1.63,1.45,18.0,17.0,17.0,0.68286,0.047381,0.078869,0.36371,0.38512,11.4762,-1.0,55.4826,68.71
186.0,152.0,171.0,1.58,-1.0,1.31,-1.0,-1.0,-1.0,0.55973,0.095305,0.076141,0.14087,0.18594,3.6483,-1.0,34.7984,66.82
134.0,126.0,121.0,0.97,-1.0,0.84,-1.0,-1.0,-1.0,0.20387,0.069414,0.083521,0.33036,0.50137,22.961,-1.0,43.9715,64.81
87.0,110.0,97.0,0.9,-1.0,0.72,-1.0,-1.0,-1.0,0.67054,0.053194,0.068576,0.36951,0.30374,15.3167,-1.0,21.3794,80.34
168.0,165.0,134.0,0.87,-1.0,0.78,-1.0,-1.0,-1.0,0.59794,0.074782,0.083199,0.35348,0.46839,22.2923,-1.0,51.687,83.82
212.0,206.0,204.0,1.38,-1.0,1.18,-1.0,-1.0,-1.0,0.37458,0.059188,0.078093,0.40021,0.37137,15.2031,-1.0,57.1264,67.18
258.0,279.0,248.0,1.91,1.88,1.64,11.0,12.0,6.0,0.31059,0.070695,0.07666,0.21683,0.456345,14.2618,-1.0,34.9964,67.88
118.0,122.0,122.0,0.79,-1.0,0.6,-1.0,-1.0,-1.0,0.68772,0.068726,0.075243,0.33381,0.352915,17.0951,-1.0,36.1486,69.4
128.0,131.0,115.0,0.81,-1.0,0.61,-1.0,-1.0,-1.0,0.38242,0.039957,0.085641,0.37587,0.257345,14.1992,-1.0,46.4147,70.92
275.0,251.0,263.0,1.13,1.08,1.04,21.0,18.0,18.0,0.33467,0.069112,0.075529,0.37755,0.54169,18.1308,-1.0,35.7655,67.91
126.0,132.0,131.0,0.73,-1.0,0.6,-1.0,-1.0,-1.0,0.17382,0.049811,0.078358,0.2569,0.211335,4.5784,-1.0,43.0078,74.12
168.0,136.0,131.0,1.25,-1.0,1.07,-1.0,-1.0,-1.0,0.66813,0.078057,0.08222,0.35248,0.379385,13.6431,-1.0,68.5465,75.69
301.0,304.0,299.0,2.65,-1.0,2.27,-1.0,-1.0,-1.0,0.046983,0.040578,0.093404,0.30981,0.361975,10.398,-1.0,63.9582,64.53
224.0,233.0,248.0,1.6,-1.0,1.41,-1.0,-1.0,-1.0,0.040467,0.04889,0.076627,0.2723,0.279955,7.8061,-1.0,42.2963,62.38
166.0,172.0,200.0,1.3,-1.0,1.06,-1.0,-1.0,-1.0,0.21839,0.072504,0.070957,0.28836,0.416195,15.793,-1.0,50.4141,68.68
129.0,150.0,152.0,1.4,-1.0,1.18,-1.0,-1.0,-1.0,0.062679,0.056896,0.070976,0.20227,0.30751,6.2838,-1.0,40.1797,69.53
216.0,230.0,218.0,0.54,0.45,0.42,34.0,38.0,44.0,0.38877,0.059492,0.051332,0.19127,0.60343,19.332,-1.0,32.6033,64.55
272.0,234.0,224.0,1.03,-1.0,0.88,-1.0,-1.0,-1.0,0.98789,0.02372,0.057354,0.20961,0.39432,6.7201,-1.0,38.682,63.67
146.0,139.0,158.0,1.12,-1.0,0.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.24224,0.49784,9.6983,-1.0,43.4082,71.24
89.0,104.0,104.0,0.7,-1.0,0.51,-1.0,-1.0,-1.0,0.61768,-1.0,-1.0,0.18,0.2949,11.3735,-1.0,35.686,78.23
144.0,135.0,124.0,0.81,-1.0,0.63,-1.0,-1.0,-1.0,0.019832,-1.0,-1.0,0.31259,0.25917,13.5816,-1.0,61.8888,65.47
131.0,132.0,131.0,1.09,-1.0,0.95,-1.0,-1.0,-1.0,0.28774,-1.0,-1.0,0.11654,0.25527,8.2688,-1.0,16.9836,68.34
154.0,138.0,113.0,0.91,-1.0,0.74,-1.0,-1.0,-1.0,0.26102,-1.0,0.10309,0.23672,0.35446,10.2859,-1.0,51.522,84.01
135.0,127.0,140.0,1.52,-1.0,1.2,-1.0,-1.0,-1.0,0.28725,-1.0,0.076892,0.30653,0.42037,24.0967,-1.0,63.0269,88.17
230.0,199.0,231.0,1.99,-1.0,1.74,-1.0,-1.0,-1.0,0.12469,-1.0,0.055838,0.30652,0.22304,8.8839,-1.0,28.3249,63.02
183.0,181.0,181.0,1.11,-1.0,0.91,-1.0,-1.0,-1.0,0.99554,-1.0,0.054858,0.27124,0.25897,13.6025,-1.0,53.9544,68.56
200.0,194.0,196.0,1.65,-1.0,1.42,-1.0,-1.0,-1.0,0.33928,-1.0,0.063423,0.36352,0.42128,13.6024,-1.0,50.6223,71.75
235.0,213.0,231.0,1.62,-1.0,1.4,-1.0,-1.0,-1.0,0.50165,-1.0,0.069261,0.37543,0.5392,19.1007,-1.0,58.8247,62.31
215.0,182.0,213.0,1.72,-1.0,1.46,-1.0,-1.0,-1.0,0.019119,-1.0,0.078474,0.44217,0.49036,20.4424,-1.0,64.3961,68.6
299.0,305.0,255.0,2.02,-1.0,1.74,-1.0,-1.0,-1.0,0.13225,-1.0,0.075818,0.27968,0.45138,20.1661,-1.0,58.0017,72.04
290.0,282.0,276.0,1.88,-1.0,1.6,-1.0,-1.0,-1.0,0.056751,-1.0,0.073568,0.2971,0.64933,26.0005,-1.0,41.4111,66.28
232.0,206.0,217.0,1.35,-1.0,1.18,-1.0,-1.0,-1.0,0.52927,-1.0,0.07832,0.31843,0.42733,23.1102,-1.0,51.3668,67.61
182.0,196.0,191.0,1.28,-1.0,1.04,-1.0,-1.0,-1.0,0.65661,-1.0,0.073492,0.32008,0.46675,11.2107,-1.0,56.112,66.09
103.0,90.0,83.0,1.34,-1.0,1.07,-1.0,-1.0,-1.0,0.043621,-1.0,0.061793,0.46794,0.4929,20.7998,-1.0,18.4443,71.67
144.0,120.0,110.0,2.06,-1.0,1.6,-1.0,-1.0,-1.0,0.18168,-1.0,0.062908,0.069666,0.17101,2.2265,-1.0,39.0627,68.36
228.0,230.0,221.0,1.73,-1.0,1.52,-1.0,-1.0,-1.0,0.1104,-1.0,0.07859,0.28125,0.59584,14.5986,-1.0,42.7529,69.13
100.0,121.0,110.0,0.6,-1.0,0.51,-1.0,-1.0,-1.0,0.6042,-1.0,0.080353,0.32438,0.32211,8.4508,-1.0,43.5004,70.34
210.0,214.0,248.0,2.07,-1.0,1.71,-1.0,-1.0,-1.0,0.80243,-1.0,0.060881,0.26668,0.51516,17.0348,-1.0,43.0742,64.82
189.0,161.0,162.0,0.91,-1.0,0.75,-1.0,-1.0,-1.0,0.093561,-1.0,0.073314,0.32809,0.39123,8.0839,-1.0,51.7851,67.25
201.0,223.0,216.0,1.44,1.4,1.22,16.0,16.0,15.0,0.27554,-1.0,0.07276,0.26361,0.40822,7.4755,-1.0,30.8392,66.35
175.0,189.0,197.0,1.29,-1.0,1.13,-1.0,-1.0,-1.0,0.13534,-1.0,0.06772,0.1789,0.35406,7.3191,-1.0,45.8473,71.94
