feature_name,row,range,gps_eastings_UTMzone17N,gps_northings_UTMzone17N,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,SF16h_HGT_120_MEAN,SF16h_HGT_120_STD,SF16h_PAN_120_MEAN,SF16h_PAN_120_STD,ADF,AD_ICP,Adj_CP,aNDFom,Ash,Crude_protein,DCAD,Dry_Matter,EE_Fat,Lignin,NEG_OARDC,NEL3x_ADF,NEL3x_OARDC,NEM_OARDC,NFC,SPCP,Starch,TDN_OARDC,WSC_Sugar,Cellulose,Hemicellulose
SF16h_HGT1_120,-0.290952062925,-0.0665786402259,0.199620786182,-0.1145227552,0.0937396933825,0.0309080788097,0.21221990247,0.14267901329,0.318978161967,0.222042906226,0.210778878725,0.426516465333,1.0,0.97757840098,0.973806793186,0.729174256675,0.538479131375,0.742113432736,0.444952471564,0.44546040081,0.448668669646,0.99188899139,0.446430800098,0.448464718877,0.409769425444,0.471614651577,0.504280370793,-0.023803881645,0.509370910653,0.482042376436,-0.0056250120192,0.457462393501,0.590245690584,0.487717431309,0.720866328371,0.458538288834,0.46322638302,0.566219619133,0.51159436056,0.704181650679,-0.0792688059871,0.495808624523,0.492325945356,0.682956316004,0.404996681593,0.535012534735
SF16h_HGT2_120,-0.277352943968,-0.0786576460738,0.181651654583,-0.124147472346,0.100115454981,0.0359413408246,0.211028272362,0.132158250411,0.314747724658,0.23666257647,0.21151821174,0.424972433892,0.97757840098,1.0,0.975143431885,0.724311985312,0.538847069004,0.737264934825,0.445696043426,0.447017142479,0.450394122121,0.992394683672,0.456645954921,0.449806648829,0.411533795476,0.469559368906,0.50008781089,-0.0260062120703,0.507815198027,0.484831866889,-0.00719535013103,0.465952451476,0.586880765894,0.483693440973,0.719517152812,0.451414019804,0.457289873085,0.561021476975,0.505688117359,0.697347852639,-0.0772731546916,0.490953464598,0.486151451271,0.673068729249,0.402837508115,0.533296258392
SF16h_HGT3_120,-0.28927562978,-0.0842343111915,0.188285288697,-0.131711594829,0.0906068895405,0.0444857482713,0.217097434933,0.143265445692,0.318366312348,0.215561778768,0.206810482857,0.421005346144,0.973806793186,0.975143431885,1.0,0.731825011813,0.534791382412,0.743671780416,0.447999009636,0.447019467281,0.45014632184,0.991124950683,0.43323894726,0.450512389147,0.40479366806,0.470123107149,0.501044240554,-0.0224284877353,0.507083811269,0.482784145995,-0.00355132621337,0.458576112417,0.585361489358,0.484318760828,0.717716302617,0.450808135944,0.459913077613,0.559533852526,0.50447516058,0.693032288888,-0.076760668956,0.489765128438,0.48660092608,0.667837961524,0.403800719452,0.531730412415
SF16h_TWT_120,-0.294853042002,-0.0943221998243,0.18737088836,-0.143449247441,0.214668102692,0.041721525381,0.150549746396,0.298404732435,0.269859676826,0.124262278121,0.246896553698,0.374721495905,0.729174256675,0.724311985312,0.731825011813,1.0,0.134109911377,0.997247805258,0.014584274589,0.0162341555755,0.015433460583,0.734454605123,0.493331737216,0.0154850481118,0.00165927255365,0.673629104442,0.704105453432,0.427075112011,0.707965718763,0.579072933458,0.44395429256,0.434703799547,0.765650947538,0.718584212539,0.723701433871,0.688266025865,0.700339176927,0.751880093256,0.722283228149,0.666509893634,0.337101382542,0.654048129372,0.723495506115,0.592181721933,0.637663231678,0.736405119965
SF16h_WTP_120,-0.117759776228,-0.0411993555915,0.0723581626755,-0.0595450671231,-0.104630012646,0.00768115874067,0.0782212153979,-0.144633552138,0.0759356489096,0.0776165579812,0.0365126616669,0.0934433468809,0.538479131375,0.538847069004,0.534791382412,0.134109911377,1.0,0.147362997485,0.866067936495,0.870304014309,0.867831131946,0.541811923197,0.0171524050451,0.872193653263,0.820541061411,0.0661598000808,0.162213356421,-0.282624694499,0.0934257792607,0.176084992797,-0.286506646924,0.205413662694,0.182684635513,0.106170358281,0.300122014869,0.14304343069,0.117888776999,0.189807135229,0.165844025303,0.438547659486,-0.382008645319,0.19629659435,0.124183973428,0.500729852813,0.0197860182851,0.116451293051
SF16h_WTL_120,-0.290385204101,-0.0800817527893,0.191776118956,-0.128599130421,0.217434140878,0.0491135890884,0.154626275786,0.293580027055,0.271924435996,0.120705524267,0.242326068462,0.378606064097,0.742113432736,0.737264934825,0.743671780416,0.997247805258,0.147362997485,1.0,0.0185991308185,0.0205452698507,0.0195094280795,0.74713754841,0.495676817906,0.0196382800359,0.00929527911088,0.679900009195,0.71699594245,0.43393584448,0.716243823676,0.583249771523,0.451356580881,0.438261275775,0.779159540755,0.730820940849,0.730640060963,0.708264061704,0.713679127487,0.768792437502,0.740742709958,0.687676544412,0.340040957883,0.674920486483,0.73921422408,0.616651983512,0.643744508411,0.747653312694
SF16h_PAN1_120,-0.106248610123,-0.0678959667252,0.0476085636901,-0.0841254991722,-0.138901540274,0.0101254921634,0.0821081970224,-0.148855207513,0.0439464865185,0.0595770116629,0.0195700506665,-0.00372249560017,0.444952471564,0.445696043426,0.447999009636,0.014584274589,0.866067936495,0.0185991308185,1.0,0.987043862554,0.984105401623,0.449906320163,-0.000380931389883,0.995207610057,0.906233110154,0.161686210226,0.198484765428,-0.24176883528,0.167379125771,0.219240953504,-0.287391649104,0.204848613205,0.17990579988,0.128783657084,0.330589817071,0.0557956216894,0.124643829973,0.143613767198,0.102075441541,0.26824065516,-0.464405377767,0.0931619120923,0.102033813133,0.295502711011,0.121556867503,0.150541350186
SF16h_PAN2_120,-0.119472531254,-0.054307741476,0.0661025886928,-0.0728795354456,-0.137019420985,0.0113591082192,0.0809995635998,-0.142970191923,0.0461055161587,0.0461774768134,0.0158312661714,-0.00727760283511,0.44546040081,0.447017142479,0.447019467281,0.0162341555755,0.870304014309,0.0205452698507,0.987043862554,1.0,0.986232982133,0.45019166983,-0.00789070920477,0.99581895506,0.885345423771,0.158877225169,0.199538731562,-0.243266534914,0.165727037153,0.218161178955,-0.288830102626,0.20604167281,0.180152597407,0.128688331407,0.330330915498,0.0584695947403,0.124803245482,0.145173851748,0.10441211698,0.274982331769,-0.46875273597,0.09327391249,0.102705511983,0.303468830394,0.118449053772,0.151008243003
SF16h_PAN3_120,-0.112963751179,-0.0533388198461,0.0613430717786,-0.0708361805073,-0.134640128545,0.0146441418171,0.0847888807257,-0.14666635598,0.0464043271794,0.0571972173019,0.0161954048366,-0.00247183191194,0.448668669646,0.450394122121,0.45014632184,0.015433460583,0.867831131946,0.0195094280795,0.984105401623,0.986232982133,1.0,0.453455901608,6.63927249592e-05,0.994731761125,0.874242409129,0.161130538586,0.199487583076,-0.241988949137,0.166585066782,0.212885918586,-0.28630847947,0.197328642522,0.179996474301,0.128302029714,0.330193301926,0.0585428720251,0.123839727695,0.145090511157,0.104166002938,0.27104966719,-0.465767795727,0.0961764302832,0.102686151791,0.302710240858,0.121014854445,0.149930723769
SF16h_HGT_120_MEAN,-0.288209076967,-0.0771444932049,0.191397944254,-0.124500526664,0.0956083946832,0.0374314755135,0.215214538997,0.140509955663,0.319982711452,0.226623013511,0.211433945198,0.427665592134,0.99188899139,0.992394683672,0.991124950683,0.734454605123,0.541811923197,0.74713754841,0.449906320163,0.45019166983,0.453455901608,1.0,0.449121511246,0.453312935492,0.412075403034,0.474317603057,0.505945584841,-0.0242797551734,0.512286414389,0.487216269588,-0.00550252795021,0.464479591723,0.592345420296,0.489247839007,0.725308872998,0.457324254051,0.463938555846,0.566896351053,0.511435038183,0.703944468287,-0.0784068791787,0.496235265027,0.492386388336,0.680178147346,0.407213553761,0.537750823742
