Taxa,Anthesis date (days),Harvest date (days),Total fresh weight (kg),Brix (maturity),Brix (milk),Dry weight (kg),Stalk height (cm),Dry tons per acre,ADF (% DM),NDF (% DM),NFC (% DM),Lignin (% DM),Pericarp pigmentation
PI_175919,82,117,1.520,13,11.6,0.2175,225,6.96,NA,NA,NA,NA,Brown
PI_176766,82,112,1.133,7.2,6.7,0.3525,322.5,11.28,45.33,72.04,20.45,7.24,Red
PI_179749,71,116,0.583,9.05,10.05,0.16,200,5.12,43.41,66.43,25.83,6.49,Brown
PI_180348,70,112,0.595,10.4,13,0.2375,178,7.6,28.03,58.97,37.32,5.01,White
PI_181080,77,108,0.890,8.55,8.15,0.1675,234.5,5.36,43.06,72,21.23,6.48,NA
PI_181083,70,114.5,1.025,9.65,10.15,0.1525,180,4.88,38.7,59.56,32.18,4.00,Brown
PI_181899,68,104,0.280,7.9,8.3,0.1075,190,3.44,43.19,73.28,18.54,5.68,White
PI_195754,78.5,118.5,1.245,10.7,10.25,0.23,236.5,7.36,44.21,71.25,19.45,5.43,White
PI_196049,NA,159,5.400,12.65,NA,0.965,459,30.88,40.47,61.53,34.78,6.57,White
PI_196583,91,132,2.318,11.6,11.65,0.3575,313,11.44,34.04,49.51,44.61,4.57,Red
PI_196586,75,118.5,1.618,11.8,11.1,0.2475,220.5,7.92,30.33,48.86,44.32,4.60,NA
PI_196598,81,126,1.318,9.4,8.1,0.2,226.5,6.4,51.27,79.03,12.2,7.62,Brown
PI_197542,77,120,0.250,8.7,NA,0.075,189,2.4,41.34,80.63,9.19,3.14,Brown
PI_19770,77.5,116,1.983,12.75,11.85,0.37,277,11.84,NA,NA,NA,NA,Brown
PI_213900,74.5,124.5,0.685,8.5,6.45,0.165,292.5,5.28,51.27,82.46,9.71,6.72,Brown
PI_217691,104,157,1.165,9,12.65,0.185,259,5.92,40.13,60.08,32.04,5.66,White
PI_218112,69,104,1.300,12.75,12.25,0.2925,195,9.36,32.74,51.2,44.08,5.28,White
PI_221548,99.5,146,1.913,10.9,13.25,0.305,257.5,9.76,46.54,68.8,27.74,8.60,NA
PI_221651,NA,157,2.618,6.95,NA,0.3,355.5,9.6,47.43,69.47,22.84,7.17,Yellow
PI_226096,81,122,0.680,7.85,6.45,0.17,336,5.44,52.06,84.49,9.47,6.18,Red
PI_22913,80,120,1.575,12.9,9.35,0.305,303,9.76,NA,NA,NA,NA,NA
PI_229841,96,150,1.153,7.7,12.1,0.315,320,10.08,50.52,76.02,20.03,7.57,NA
PI_250583,89,118.5,2.138,10.38,8.55,0.3425,278,10.96,49.93,74.45,18.94,7.62,Yellow
PI_251672,93,135,2.565,13.05,14.5,0.395,318,12.64,NA,NA,NA,NA,Brown
PI_253986,69,104,0.695,6.55,10.75,0.1675,227,5.36,39.72,64.59,26.55,5.64,White
PI_255239,120,NA,NA,NA,13.9,NA,NA,NA,NA,NA,NA,NA,Brown
PI_255744,94.5,132,2.320,8.05,8.2,0.4275,291.5,13.68,37.3,54.01,41.34,5.23,White
PI_257599,106.5,155.5,3.053,12.1,12.2,0.575,317.5,18.4,40.81,69.01,29.03,5.57,White
PI_257600,110,158.5,2.198,13.45,12.2,0.5325,333.5,17.04,37.78,55.68,41.97,5.90,White
PI_266927,NA,158.5,2.485,9.55,NA,0.45,453.5,14.4,47.08,69.23,26.2,8.62,Yellow
PI_267573,NA,154,3.268,6.95,NA,0.5125,454,16.4,49.16,69.84,23.71,8.99,Red
PI_273465,NA,157.5,3.278,8.8,NA,0.5825,433,18.64,45.79,67.66,28.76,6.91,Yellow
PI_273969,115,158,1.920,11.85,12.8,0.32,363,10.24,38.28,60.75,37,6.43,Brown
PI_276837,119.5,158,3.560,14.45,14.55,0.715,376,22.88,34.64,51.13,45.48,4.89,White
PI_291246,97,138,2.645,14,12.45,0.53,340,16.96,37.63,54.14,40.02,5.86,NA
PI_297130,NA,158.5,2.600,11.8,NA,0.4925,390,15.76,43.47,65.89,30.08,6.57,NA
PI_297155,75,112,0.785,6.1,7.85,0.1425,235.5,4.56,46.49,77.03,12.35,6.58,NA
PI_297171,NA,154.5,2.093,7.7,NA,0.3775,372,12.08,49.83,72.71,22.21,8.36,NA
PI_300117,NA,NA,NA,NA,NA,NA,NA,NA,48.53,77.67,15.8,6.89,Brown
PI_300118,92.5,129,0.395,9.25,9.7,0.21,332,6.72,50.86,76.27,17.19,7.20,Brown
PI_300119,79,125,0.288,3.35,5.95,0.1625,260,5.2,50.35,80.59,10.18,6.33,Brown
PI_302252,83,126,1.105,10.6,8.8,0.3225,316,10.32,44.49,64.47,27,5.56,White
PI_303658,109,159.5,2.575,13.1,11.2,0.4025,319,12.88,37.28,58.1,37.85,6.17,Red
PI_329256,NA,152,4.155,13.5,NA,0.845,400,27.04,41.81,63.39,33.33,7.59,White
PI_329286,NA,155,2.995,6.8,NA,0.45,385,14.4,54.42,77.05,18.61,10.09,White
PI_329299,NA,154,4.120,9.2,NA,0.865,422,27.68,42.71,66.24,31.73,7.50,Red
PI_329300,NA,156,5.530,9.1,NA,0.825,432,26.4,42,65.13,32.47,7.26,Red
PI_329301,NA,NA,NA,NA,NA,0.765,300,24.48,NA,NA,NA,NA,Red
PI_329310,NA,160,3.195,10.2,NA,0.83,390,26.56,36.83,58.39,39.81,7.09,Red
PI_329319,NA,154.5,2.780,6.75,NA,0.535,370,17.12,49.02,72.59,19.39,8.34,Red
PI_329326,NA,158,2.295,5,NA,0.3525,289,11.28,49.83,70.95,21.35,9.11,Red
PI_329333,129,159.5,3.428,9.95,13.9,0.6875,410.5,22,37.97,57.94,38.04,5.59,White
PI_329338,106.5,155,1.435,9.1,10.7,0.355,400,11.36,47.98,68.27,26.94,7.83,Brown
PI_329351,NA,157.5,2.798,8.2,NA,0.545,421,17.44,52.69,75.32,20.38,8.45,Brown
PI_329394,NA,159,6.960,12.3,NA,0.97,515,31.04,38.77,56.51,41.38,6.33,NA
PI_329403,NA,155,4.775,11,NA,1.055,495,33.76,41.47,60.09,35.67,6.77,Yellow
PI_329435,80,118.5,0.710,7.95,6.2,0.1075,153.5,3.44,49.02,73.62,15.09,7.10,Yellow
PI_329440,115,157,3.545,13.35,11.3,0.6275,367.5,20.08,39.82,60.51,36.62,7.18,NA
PI_329465,134,157,2.165,10.5,NA,0.5575,452.5,17.84,49.28,73.45,21.82,9.98,Red
PI_329466,112.5,145,1.545,8.95,10.7,0.4625,517.5,14.8,47.78,72.15,24.49,8.80,Red
PI_329471,NA,153,4.125,6.9,NA,0.325,480,10.4,49.27,72.59,22.74,7.56,Red
PI_329473,127,162,4.205,8,11.8,0.685,455,21.92,56.55,82.06,14.85,9.75,Brown
PI_329478,NA,158,2.253,8.75,NA,0.25,289.5,8,47.7,66.89,20.16,7.14,Red
PI_329480,NA,153,4.040,5.8,NA,0.54,470,17.28,51.07,73.59,20.36,8.69,Red
PI_329501,NA,157.5,2.808,7.4,NA,0.3175,294,10.16,48.03,71.42,21.17,7.53,Red
PI_329506,NA,158.5,2.543,6.5,NA,0.375,295,12,46.83,70.69,22.45,6.45,Brown
PI_329510,NA,156,3.463,8.35,NA,0.635,451.5,20.32,47.38,70.12,27.49,7.49,Brown
PI_329511,NA,158,3.808,10.35,NA,0.8575,455,27.44,43.81,65.53,30.6,7.23,Brown
PI_329517,NA,159,2.763,7.8,NA,0.4725,303.5,15.12,43.76,66.64,25.53,6.56,Red
PI_329518,NA,156.5,2.908,6.9,NA,0.3225,311,10.32,45.74,66.84,24.9,6.37,Red
PI_329519,NA,158.5,3.495,7.6,NA,0.3875,355,12.4,49.21,70.85,19.73,6.58,Red
PI_329541,NA,157.5,3.375,5.95,NA,0.42,340.5,13.44,49.14,70.64,23.41,9.01,White
PI_329545,NA,158.5,2.700,7.35,NA,0.4525,396,14.48,51.37,75.2,20.64,8.18,Brown
PI_329546,NA,157.5,2.785,7.05,NA,0.565,426,18.08,52.75,76.34,18.04,8.97,Brown
PI_329550,NA,157.5,3.140,5.3,NA,0.4975,450,15.92,47.96,70.8,25.13,7.83,Red
PI_329551,NA,158,2.398,8.1,NA,0.5675,412,18.16,52.51,76.26,17.76,9.19,NA
PI_329554,NA,157.5,3.523,5.6,NA,0.4425,450,14.16,50.2,72.95,19.19,8.94,Red
PI_329569,NA,153,7.795,8.2,NA,0.785,525,25.12,50.11,73.78,22.66,8.94,Brown
PI_329570,NA,159,3.605,8.7,NA,0.385,338.5,12.32,42.68,63.32,32.42,5.99,Red
PI_329583,NA,156,2.715,6.8,NA,0.45,391,14.4,51.18,73.64,20.82,8.00,NA
PI_329584,NA,153,3.810,5.4,NA,0.54,405,17.28,54.47,77.84,16.48,9.75,White
PI_329585,NA,157,3.210,6.1,NA,0.465,402.5,14.88,50.07,71.05,20,7.96,Red
PI_329605,NA,157,2.833,6.6,NA,0.4375,364.5,14,49.89,74.27,20.07,10.83,Red
PI_329614,NA,158,2.538,7.2,NA,0.3825,265,12.24,42.86,64.04,27.44,5.41,Red
PI_329615,NA,157,3.825,6,NA,0.4275,351.5,13.68,43.99,66.13,26.57,6.67,Brown
PI_329617,NA,158,2.725,7,NA,0.485,414.5,15.52,51.08,73.25,19.91,7.84,White
PI_329618,NA,157,2.725,8.1,NA,0.4525,328.5,14.48,44.16,64.83,27.73,6.74,Red
PI_329632,NA,157,2.418,6.75,NA,0.38,338.5,12.16,52.73,79.8,13.89,8.13,Red
PI_329644,NA,157.5,3.285,7.15,NA,0.58,390,18.56,54.41,78.87,15.79,9.17,Red
PI_329645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red
PI_329646,NA,152,3.570,6.1,NA,0.67,490,21.44,52.24,76.02,17.75,9.12,Red
PI_329665,NA,158.5,2.743,7.85,NA,0.5775,388.5,18.48,46.01,66.49,26.47,7.78,Brown
PI_329673,NA,155.5,4.170,6.65,NA,0.435,379,13.92,48.49,72.52,21.92,7.49,Red
