Taxa,Anthesis date (days),Harvest date (days),Total fresh weight (kg),Brix (maturity),Brix (milk),Dry weight (kg),Stalk height (cm),Dry tons per acre,ADF (% DM),NDF (% DM),NFC (% DM),Lignin (% DM),Pericarp pigmentation
PI_563348,NA,159.5,2.710,9.4,NA,0.3975,419.5,12.72,50.82,74.12,19.65,8.08,White
PI_563350,NA,158.5,1.613,8.55,NA,0.2475,316,7.92,46.25,70.27,23.23,7.18,White
PI_563355,NA,159,1.540,8.9,NA,0.225,344,7.2,45.01,68.34,26.6,7.57,White
PI_564163,74,122,0.803,7.2,5.35,0.135,113,4.32,47.87,72.69,15.66,4.87,White
PI_566819,88.5,136.5,2.420,15.2,14.5,0.685,352.5,21.92,56.8,82.21,12.43,10.39,Red
PI_568717,NA,158.5,3.283,6.5,NA,0.395,297,12.64,35.81,54.69,36.49,6.28,White
PI_569090,86.5,146,1.833,8.6,6.7,0.3975,375,12.72,46.09,65.54,24.08,7.04,Yellow
PI_569097,134,152,2.875,9.6,NA,1.26,445,40.32,40.84,61.15,34.63,5.20,Red
PI_569148,NA,154,6.065,11.7,NA,1.0925,432.5,34.96,42.56,66.42,31.37,7.69,Red
PI_569244,99.5,135,2.825,13.8,12.35,0.65,425,20.8,44.6,65.3,25.89,6.45,NA
PI_569264,NA,158,2.555,9.15,NA,0.6375,440,20.4,40.37,62.29,32.63,7.49,NA
PI_569416,NA,158,2.455,6.35,NA,0.32,306.5,10.24,49.25,69.63,23.84,7.91,Yellow
PI_569418,NA,157.5,2.045,8.45,NA,0.325,373,10.4,49.18,72.33,21.19,8.39,Red
PI_569419,NA,158,2.558,5.35,NA,0.295,346.5,9.44,52.99,73.14,16.34,8.29,Red
PI_569420,NA,156.5,3.093,6.1,NA,0.2575,312,8.24,42.77,64.84,29.29,5.33,Brown
PI_569421,NA,155.5,1.765,6.6,NA,0.3,271.5,9.6,43.72,64.82,25.51,5.92,White
PI_569422,NA,158.5,1.813,6.6,NA,0.2325,356.5,7.44,51.98,74.65,19.22,8.90,White
PI_569423,NA,157.5,3.213,5.8,NA,0.3125,373.5,10,51.51,77.09,16.9,8.85,Brown
PI_569425,NA,160,2.143,7.45,NA,0.2925,267.5,9.36,45.8,65.66,24.79,7.09,Yellow
PI_569427,NA,159,2.540,6.35,NA,0.33,329,10.56,47.03,71.12,20.56,7.51,White
PI_569433,NA,155.5,1.943,7,NA,0.4075,275.5,13.04,47.59,73.02,21.26,8.02,White
PI_569435,NA,156,3.105,5,NA,0.3375,380,10.8,48.15,70.19,20.3,7.42,White
PI_569443,NA,158,2.595,6.9,NA,0.25,280.5,8,44.39,65.61,25.21,5.91,Brown
PI_569444,NA,157,2.365,5.95,NA,0.2525,308,8.08,44.2,64.43,27.64,6.59,White
PI_569445,NA,159.5,2.958,7.6,NA,0.3725,378,11.92,50.77,72.18,19.08,8.95,White
PI_569446,NA,158,1.885,3.6,NA,0.1725,234,5.52,50.3,73.69,16.99,6.91,White
PI_569447,NA,159.5,2.028,8.85,NA,0.2625,362.5,8.4,49.39,73.38,19.08,8.35,White
PI_569452,134,154.5,2.768,13.8,NA,0.95,429,30.4,50.31,73.39,21.08,7.54,Red
PI_569453,NA,157,1.608,6.65,NA,0.25,302,8,39.66,61.61,30.11,6.95,Red
PI_569454,NA,160,2.760,9.65,NA,0.44,430.5,14.08,52.02,75.39,16.66,9.25,Red
PI_569455,NA,159,1.943,7.2,NA,0.25,321,8,48.89,73.93,18.21,7.08,Red
PI_569457,NA,159,2.665,7.25,NA,0.305,377.5,9.76,47.94,71.06,20.91,7.67,Yellow
PI_569458,NA,158,2.020,6.6,NA,0.31,352.5,9.92,51.91,75.94,18.42,9.13,White
PI_569459,NA,159.5,2.535,7.75,NA,0.3175,318.5,10.16,47.23,71.2,23.11,6.03,White
PI_569460,NA,158.5,2.690,6.5,NA,0.3275,328.5,10.48,47.87,70.19,22.64,7.55,White
PI_569462,NA,158,3.540,6.1,NA,0.31,327.5,9.92,45.46,67.28,26.51,6.73,Brown
PI_569465,NA,157,1.795,7.2,NA,0.2525,326,8.08,45.82,64.76,24.16,8.31,Yellow
PI_569886,NA,156.5,2.140,6.6,NA,0.345,335,11.04,50.83,74.72,18.62,10.55,Brown
PI_570031,NA,159.5,2.578,5.6,NA,0.3725,367,11.92,54.91,77.18,14.28,9.10,Red
PI_570038,NA,158.5,1.893,7.3,NA,0.23,316.5,7.36,49.05,72.11,19.7,6.95,Yellow
PI_570039,NA,154.5,1.365,6.1,NA,0.2925,367.5,9.36,51.46,75.15,16.13,9.61,Brown
PI_570042,NA,158,2.205,5.05,NA,0.2825,281.5,9.04,46.62,66.5,26.02,7.65,Brown
PI_570047,NA,155.5,2.635,5.85,NA,0.26,289,8.32,49.67,69.35,20.07,7.09,Red
PI_570053,NA,158,2.175,5.85,NA,0.325,274,10.4,44.48,65.45,25.49,6.24,Red
PI_570071,NA,154.5,2.485,7.95,NA,0.3525,356,11.28,52.84,76.04,16.16,9.62,White
PI_570073,NA,153,1.875,4.5,NA,0.21,285,6.72,51.88,75.83,16.36,7.73,White
PI_570074,NA,159,1.765,6.7,NA,0.3325,312,10.64,44.87,69.08,22.53,6.90,Yellow
PI_570075,NA,154,1.798,7.5,NA,0.3575,367.5,11.44,53.03,76.8,17.99,10.31,White
PI_570076,NA,158.5,1.568,8.35,NA,0.3475,327,11.12,50.52,74.89,21.8,8.83,Red
PI_570085,NA,157.5,2.200,4.55,NA,0.2775,367.5,8.88,51.51,74.94,20.24,8.65,Red
PI_570087,NA,154.5,2.780,7.2,NA,0.3375,362,10.8,48.43,70.91,20.43,7.37,Red
PI_570090,NA,158,3.443,7.7,NA,0.56,470,17.92,53.78,78.22,15.98,10.36,Red
PI_570091,NA,155.5,1.895,6.55,NA,0.355,335.5,11.36,47.71,72.23,21.92,8.14,Brown
PI_570096,NA,158,2.433,7.35,NA,0.29,395,9.28,45.84,68.2,24.77,7.02,White
PI_570106,NA,157.5,2.253,4.6,NA,0.2775,291,8.88,49.6,70.89,19.63,8.72,Red
PI_570109,NA,158.5,1.810,5.75,NA,0.195,261,6.24,50.35,72.35,17.59,8.09,White
PI_570110,NA,156,2.675,5.95,NA,0.415,371.5,13.28,49.76,72.79,20.61,6.94,White
PI_570114,NA,158,2.063,7.45,NA,0.2975,390,9.52,54.1,78.41,14.25,9.85,White
PI_570145,NA,156,3.283,8.2,NA,0.805,400.5,25.76,45.87,67.3,27.11,7.85,Red
PI_570254,NA,157.5,2.813,8.65,NA,0.4225,332,13.52,43.85,66.32,27.61,7.43,Yellow
PI_570371,NA,159.5,2.155,7.05,NA,0.36,321,11.52,48.26,71.61,22.33,8.64,Red
PI_570373,NA,158.5,2.258,7.95,NA,0.42,426,13.44,52.48,76.66,18.42,9.74,White
PI_570388,NA,158,2.213,10.75,NA,0.6525,492.5,20.88,47.5,70.69,25.08,8.97,White
PI_570393,NA,157.5,4.193,6.95,NA,0.52,345,16.64,48.57,70.91,21.68,6.74,Red
PI_570400,NA,154,2.870,7.2,NA,0.37,333.5,11.84,49.77,74.57,20.1,7.93,White
PI_570431,NA,159,3.033,11.75,NA,0.65,481,20.8,46.16,67.19,29.29,7.48,Yellow
PI_573193,NA,155.5,2.510,6.45,NA,0.39,326.5,12.48,43.52,62.92,28.54,6.83,White
PI_576399,70,104,0.335,14.4,10.95,0.1075,173,3.44,41.78,70.78,21.05,4.05,White
PI_576401,94,124.5,1.040,7.4,7.85,0.1675,124.5,5.36,39.8,67.06,21.91,4.78,Yellow
PI_583832,112.5,156,2.178,13.5,13.45,0.4525,296.5,14.48,49.27,72.56,18.85,8.10,Brown
PI_585406,115,156.5,3.193,7.55,16.3,0.3025,401,9.68,46.76,68.08,22.43,7.53,NA
PI_585448,NA,159,2.995,7.7,NA,0.525,395.5,16.8,51.03,75.39,19.48,8.04,NA
PI_585452,NA,158,3.133,6.15,NA,0.4275,426,13.68,53.39,77.05,16.28,10.03,Red
PI_585454,NA,160,2.260,8.1,NA,0.32,368,10.24,48.33,69.83,22.82,8.84,Yellow
PI_585461,NA,159.5,1.830,7.3,NA,0.3025,372.5,9.68,48.08,69.71,22.71,6.83,Red
PI_585467,NA,160,2.605,7.35,NA,0.31,334,9.92,51.82,75.14,17.07,8.16,NA
PI_585577,NA,154,1.720,7,NA,0.39,268,12.48,40.14,61.08,29.73,5.85,Red
PI_585608,NA,157,3.040,6.65,NA,0.34,326.5,10.88,43.32,65.92,28.16,5.02,Red
PI_585954,NA,158.5,1.973,6.1,NA,0.305,333,9.76,50.94,71.76,18.66,9.39,Red
PI_585961,NA,158,2.100,5.2,NA,0.2925,361,9.36,52.11,73.79,17.49,8.25,Red
PI_585966,NA,158.5,1.910,6.05,NA,0.27,310.5,8.64,50.02,71.35,19.26,8.12,Brown
PI_586435,92.5,132,1.330,12.1,9.3,0.2725,273,8.72,47.83,71.24,22.34,10.02,Red
PI_586443,104,158,3.353,14.25,11.65,0.495,350,15.84,35.75,54.66,42.56,4.47,Brown
PI_586499,80.5,118.5,2.395,11.65,10,0.5375,288,17.2,37.06,59.82,35.01,5.77,Yellow
PI_586541,89,135,2.438,14.4,12.25,0.3475,322,11.12,NA,NA,NA,NA,NA
PI_593916,70,110.5,0.785,8.15,11.05,0.1025,120,3.28,38.6,59.03,31.33,5.17,White
PI_619807,NA,158,2.995,11,NA,0.445,389,14.24,42.97,61.76,30.86,8.13,Red
PI_619838,NA,159.5,1.843,6.9,NA,0.325,301,10.4,46.22,68.84,24.08,7.39,Brown
PI_620072,NA,159,1.995,8.25,NA,0.4125,406,13.2,48.84,75.99,20.05,8.26,Yellow
PI_620157,NA,157,2.678,8.65,NA,0.605,415,19.36,48.97,73.94,21.61,8.28,Yellow
PI_63715,77,118.5,1.848,12.1,14.1,0.3475,232,11.12,NA,NA,NA,NA,Red
PI_641807,89,132,2.058,12.95,12.25,0.43,261.5,13.76,32.71,46.03,49.08,4.17,White
PI_641810,77.5,117,1.783,14.8,13.3,0.3725,232.5,11.92,NA,NA,NA,NA,Brown
PI_641815,78,112,1.278,11.9,12.85,0.255,218.5,8.16,26.82,48.26,44.43,3.09,Brown
PI_641817,71,108,1.483,11.4,11.85,0.2375,224,7.6,29.67,49.79,41.45,3.75,Red
PI_641821,74,114.5,1.415,9.95,11.65,0.2625,203.5,8.4,NA,NA,NA,NA,Brown
PI_641824,85.5,118.5,1.390,11.6,11.8,0.2625,254.5,8.4,NA,NA,NA,NA,Brown
PI_641829,82,120,1.718,13,13.1,0.27,252,8.64,NA,NA,NA,NA,Red
PI_641830,68,108,1.398,8.95,9.4,0.18,224,5.76,38.48,59.53,35.39,7.58,Brown
PI_641834,83,132,1.578,12.4,11.15,0.4225,257,13.52,28.83,44.48,48.23,4.18,Brown
PI_641835,82,117,2.153,12.1,12.55,0.465,270,14.88,0.25,87.18,1.41,NA,Red
PI_641836,68,104,1.303,14.4,10.65,0.29,193,9.28,23.34,45.83,48.64,3.37,Brown
PI_641850,86.5,135,2.503,12.75,12.9,0.615,325,19.68,32.75,44.57,47.74,4.00,White
PI_641860,78,118.5,1.613,16.75,13.55,0.405,252.5,12.96,48.43,74.48,20.37,7.90,NA
PI_641862,73.5,112,0.843,11.7,13.55,0.2375,213,7.6,19.77,52.87,39.96,6.40,Brown
PI_641892,91,147,1.270,9.8,12.9,0.32,262,10.24,31.3,47.49,45.61,4.58,Brown
PI_641909,105,159,1.570,8.3,9.85,0.2025,274,6.48,46.55,69.99,23.45,5.60,Red
PI_642998,76.5,112,0.970,8.3,6.85,0.245,317.5,7.84,42.88,69.91,25.05,6.91,Red
PI_643008,107.5,158,2.095,13.55,10.85,0.5025,325.5,16.08,39.38,58.97,36.11,4.79,Brown
PI_643016,122,158.5,2.210,15.2,15.6,0.615,386,19.68,33.94,49.82,44.75,5.17,Yellow
PI_646242,NA,158.5,2.150,9.25,NA,0.35,377,11.2,44.33,65.21,27.14,7.06,Red
PI_646251,NA,158,2.530,5.3,NA,0.4725,390,15.12,48.49,73.3,22.11,8.36,Brown
PI_646266,NA,156.5,2.675,6.55,NA,0.3425,292.5,10.96,47.92,70.75,23.28,7.22,Red
PI_651491,97,135,3.190,14.7,13.9,0.495,382.5,15.84,32.14,46.28,47.87,4.46,Red
PI_651493,100.5,150.5,2.695,14.25,14.15,0.6775,346.5,21.68,31.96,45.66,47.98,4.65,White
PI_651495,94.5,138,2.333,13.65,13.3,0.415,347.5,13.28,30.79,43.04,50.34,4.53,Brown
PI_651496,94.5,146,2.105,12.1,13.7,0.4175,357.5,13.36,37.8,57.63,35.26,5.86,NA
PI_651497,105,155.5,3.150,14.5,11.7,0.8275,382,26.48,54.72,76.59,16.73,10.01,NA
PI_653616,93,132,3.698,17.75,12.8,0.8075,337.5,25.84,NA,NA,NA,NA,Brown
PI_653617,93,154.5,2.703,17.55,15.4,0.615,341.5,19.68,26.88,44.63,50.86,3.76,Brown
PI_655972,69,112,0.840,7.5,6.6,0.19,173,6.08,47.44,77.73,12.52,6.09,White
PI_655978,84,135,0.435,9.3,7.1,0.0975,97,3.12,41.32,61.82,20.24,4.51,Yellow
PI_655981,75,104,0.370,5.8,9.2,0.185,191,5.92,42.2,65.08,31.15,7.17,White
PI_655983,86.5,124.5,1.860,12.05,9.9,0.2725,269.5,8.72,34.68,51.22,40.84,4.37,Brown
PI_656015,69,118.5,1.068,13.75,11.35,0.1875,159.5,6,36.16,58.26,33.3,4.44,White
PI_656026,88.5,118.5,0.823,7.05,7,0.1025,113.5,3.28,52.32,78.67,6.85,7.90,Yellow
PI_656035,73,108,0.948,3.3,12.1,0.2225,198.5,7.12,41.11,67.81,26.83,6.41,White
PI_656065,71,117,0.873,9.8,13.35,0.18,176,5.76,41.19,61.22,30.34,5.09,White
PI_92270,70,104,0.620,13.5,9.25,0.17,195,5.44,44.73,70.4,24.97,6.52,Brown
RIO,94.5,146.5,1.895,12.05,14.65,0.5175,332.5,16.56,34.86,53.12,43.13,4.54,NA
WRAY,93,135,2.460,16.9,14.15,0.8175,319.5,26.16,21.23,39.61,50.63,NA,NA
