 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw8,0.057638,0.061963,0.045175,0.048202,0.074037,0.07958,0.069261,0.062888,0.043126,0.054052,0.07406,0.063039,0.053309,0.058191,0.048201,0.049017,0.064795,0.05247,0.059945,0.050175,0.063869,0.054313,0.061407,0.026803,0.053275,0.052506,0.057339,0.041535,0.037898,0.065825,0.051087,0.053799
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw11,0.040373,0.035593,0.035738,0.033839,0.034666,0.051743,0.046226,0.033816,0.051326,0.030932,0.083572,0.036485,0.038988,0.031989,0.041555,0.035159,0.11091,0.054127,0.040416,0.041258,0.032663,0.059579,0.047166,0.064895,0.030391,0.035632,0.090598,0.040487, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw14,0.072084,0.02969,0.037576,0.029945,0.027277,0.032668,0.061824,0.09627,0.12239,0.066069,0.030011,0.031535,0.029628,0.034389,0.049005,0.024808,0.037841,0.050264,0.046395,0.030638,0.038897,0.027448,0.029522,0.030157,0.040341,0.030555,0.037173,0.043792,0.0467,0.029884,0.033069,0.029251
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.034115, , 
Rw20,0.047031,0.025675,0.028505,0.025576,0.027656,0.025901,0.025572,0.022827,0.026104,0.025374,0.030647,0.027197,0.087669,0.029596,0.094259,0.022241,0.034061,0.022844,0.026378,0.024776,0.026419,0.027811,0.027392,0.036703,0.041034,0.046383,0.035991,0.058608, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw23, , ,0.093932,0.026514,0.072039,0.058232,0.065263,0.043328,0.052439,0.046395,0.026083,0.037769,0.053312,0.031683,0.047381,0.095305,0.069414,0.053194,0.074782,0.059188,0.070695,0.068726,0.039957,0.069112,0.049811,0.078057,0.040578,0.04889,0.072504,0.056896,0.059492,0.02372
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
