Plot ID,RA1,RW,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,Notes
SF-BE-r1-p1115,24,11,248,249,254,1.09,1.00,0.99,17,19,20,
SF-BE-r1-p1119,24,15,181,172,168,1.23,NA,1.03,NA,NA,NA,
SF-BE-r1-p1123,24,19,275,251,263,1.13,1.08,1.04,21,18,18,
SF-BE-r1-p1127,24,23,240,243,221,1.16,NA,0.99,NA,NA,NA,
SF-BE-r1-p1131,24,27,232,235,234,1.40,NA,1.15,NA,NA,NA,
SF-BE-r1-p1135,24,31,206,215,220,0.89,0.85,0.76,17,17,19,
SF-BE-r1-p1139,24,35,210,226,217,2.03,NA,1.76,NA,NA,NA,
SF-BE-r1-p1143,24,39,58,56,64,0.68,NA,0.52,NA,NA,NA,
SF-BE-r1-p1147,24,43,146,110,118,1.45,NA,1.25,NA,NA,NA,
SF-BE-r1-p1151,24,47,215,233,213,1.62,1.58,1.37,23,25,23,
SF-BE-r1-p1155,25,3,82,81,87,0.13,0.09,0.08,22,21,23,
SF-BE-r1-p1159,25,7,247,239,233,0.62,0.55,0.48,24,24,21,
SF-BE-r1-p1163,25,11,240,230,226,1.41,1.23,1.12,17,21,19,
SF-BE-r1-p1167,25,15,111,102,103,1.11,NA,0.85,NA,NA,NA,
SF-BE-r1-p1171,25,19,126,132,131,0.73,NA,0.60,NA,NA,NA,
SF-BE-r1-p1175,25,23,124,114,134,1.65,NA,1.26,NA,NA,NA,
SF-BE-r1-p1179,25,27,169,165,172,1.01,NA,0.85,NA,NA,NA,
SF-BE-r1-p1183,25,31,141,123,88,0.61,NA,0.54,NA,NA,NA,
SF-BE-r1-p1187,25,35,84,86,78,0.84,NA,0.64,NA,NA,NA,
SF-BE-r1-p1191,25,39,78,110,92,0.97,NA,0.80,NA,NA,NA,
SF-BE-r1-p1195,25,43,92,99,88,0.96,NA,0.85,NA,NA,NA,
SF-BE-r1-p1199,25,47,95,94,94,0.40,NA,0.30,NA,NA,NA,
SF-BE-r1-p1203,26,3,96,88,99,0.12,0.04,0.03,22,26,23,
SF-BE-r1-p1207,26,7,316,295,305,1.41,1.37,1.27,19,17,22,
SF-BE-r1-p1211,26,11,251,300,281,2.08,2.03,1.90,20,18,19,
SF-BE-r1-p1215,26,15,264,321,330,2.09,NA,1.69,NA,NA,NA,
