Plot ID,RA1,RW,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,Notes
SF-BE-r2-p1939,9,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p1943,9,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p1947,10,51,115,108,112,0.56,NA,0.47,NA,NA,NA,
SF-BE-r2-p1951,10,55,235,198,208,1.45,NA,1.29,NA,NA,NA,
SF-BE-r2-p1955,10,59,93,85,86,0.73,NA,0.51,NA,NA,NA,
SF-BE-r2-p1959,10,63,193,206,196,1.57,NA,1.36,NA,NA,NA,
SF-BE-r2-p1963,10,67,110,94,107,0.83,NA,0.67,NA,NA,NA,
SF-BE-r2-p1967,10,71,111,86,147,1.15,NA,0.93,NA,NA,NA,
SF-BE-r2-p1971,10,75,113,108,136,0.94,NA,0.75,NA,NA,NA,
SF-BE-r2-p1975,10,79,164,187,150,1.45,NA,1.15,NA,NA,NA,
SF-BE-r2-p1979,10,83,165,169,174,0.56,0.45,0.42,25,22,24,
SF-BE-r2-p1983,10,87,197,176,218,1.03,1.01,0.87,16,13,14,
SF-BE-r2-p1987,10,91,201,198,201,0.29,0.22,0.12,30,27,26,
SF-BE-r2-p1991,10,95,127,133,135,0.39,0.31,0.28,18,16,19,
SF-BE-r2-p1995,10,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p1999,11,51,122,123,112,1.05,NA,0.84,NA,NA,NA,
SF-BE-r2-p2003,11,55,109,115,99,1.03,NA,0.80,NA,NA,NA,
SF-BE-r2-p2007,11,59,67,70,76,0.39,NA,0.27,NA,NA,NA,
SF-BE-r2-p2011,11,63,167,144,141,1.49,NA,1.28,NA,NA,NA,
SF-BE-r2-p2015,11,67,93,107,108,0.93,NA,0.77,NA,NA,NA,
SF-BE-r2-p2019,11,71,105,136,131,0.60,NA,0.52,NA,NA,NA,
SF-BE-r2-p2023,11,75,130,124,116,1.24,NA,0.97,NA,NA,NA,
SF-BE-r2-p2027,11,79,109,113,136,0.94,NA,0.75,NA,NA,NA,
SF-BE-r2-p2031,11,83,231,233,250,1.17,1.11,1.01,21,23,24,
SF-BE-r2-p2035,11,87,205,225,245,1.52,1.45,1.23,20,19,21,
SF-BE-r2-p2039,11,91,254,277,291,1.20,1.17,1.05,22,18,22,
SF-BE-r2-p2043,11,95,111,114,126,0.65,0.59,0.54,15,17,13,
SF-BE-r2-p2047,11,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p2051,12,51,80,64,65,0.40,NA,0.27,NA,NA,NA,
SF-BE-r2-p2055,12,55,53,64,65,0.32,NA,0.24,NA,NA,NA,
SF-BE-r2-p2059,12,59,85,66,82,0.47,NA,0.39,NA,NA,NA,
SF-BE-r2-p2063,12,63,166,177,180,1.20,NA,1.01,NA,NA,NA,
SF-BE-r2-p2067,12,67,77,63,64,0.60,NA,0.46,NA,NA,NA,
SF-BE-r2-p2071,12,71,104,100,99,0.99,NA,0.82,NA,NA,NA,
SF-BE-r2-p2075,12,75,107,102,104,0.99,NA,0.79,NA,NA,NA,
SF-BE-r2-p2079,12,79,108,107,122,0.87,NA,0.69,NA,NA,NA,
SF-BE-r2-p2083,12,83,174,167,157,0.46,0.42,0.38,15,19,19,
SF-BE-r2-p2087,12,87,284,272,263,0.54,0.52,0.46,44,27,27,
SF-BE-r2-p2091,12,91,181,203,198,0.63,0.52,0.50,20,19,20,
SF-BE-r2-p2095,12,95,113,105,109,0.24,0.19,0.19,21,20,17,
SF-BE-r2-p2099,12,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p2103,13,51,172,174,205,0.85,NA,0.67,NA,NA,NA,
SF-BE-r2-p2107,13,55,184,167,156,0.97,NA,0.83,NA,NA,NA,
SF-BE-r2-p2111,13,59,124,120,126,0.74,NA,0.61,NA,NA,NA,
SF-BE-r2-p2115,13,63,65,79,60,0.59,NA,0.43,NA,NA,NA,
SF-BE-r2-p2119,13,67,117,113,105,0.38,NA,0.30,NA,NA,NA,
SF-BE-r2-p2123,13,71,125,107,112,0.83,NA,0.67,NA,NA,NA,
SF-BE-r2-p2127,13,75,155,175,151,0.75,NA,0.63,NA,NA,NA,
SF-BE-r2-p2131,13,79,100,91,99,0.47,NA,0.34,NA,NA,NA,
SF-BE-r2-p2135,13,83,232,257,224,0.31,0.26,0.21,24,20,28,
SF-BE-r2-p2139,13,87,201,222,222,0.93,0.83,0.80,26,22,23,
SF-BE-r2-p2143,13,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,Already lodged
SF-BE-r2-p2147,13,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed plot
SF-BE-r2-p2151,13,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p2155,14,51,109,128,113,0.53,NA,0.42,NA,NA,NA,
SF-BE-r2-p2159,14,55,213,233,176,1.36,NA,1.13,NA,NA,NA,
SF-BE-r2-p2163,14,59,122,159,119,0.73,NA,0.57,NA,NA,NA,
SF-BE-r2-p2167,14,63,158,175,174,1.59,NA,1.30,NA,NA,NA,
SF-BE-r2-p2171,14,67,63,62,52,0.59,NA,0.44,NA,NA,NA,
SF-BE-r2-p2175,14,71,103,96,83,0.66,NA,0.52,NA,NA,NA,
SF-BE-r2-p2179,14,75,241,233,221,0.79,0.77,0.65,12,13,12,
SF-BE-r2-p2183,14,79,124,135,110,0.51,NA,0.41,NA,NA,NA,
SF-BE-r2-p2187,14,83,260,259,258,1.03,1.01,0.85,20,23,22,
SF-BE-r2-p2191,14,87,NA,NA,NA,NA,NA, NA, NA, NA, NA,
SF-BE-r2-p2195,14,91,184,193,196,0.96,0.86,0.77,21,26,21,
SF-BE-r2-p2199,14,95,114,118,115,0.25,0.23,0.19,25,27,23,
SF-BE-r2-p2203,14,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p2207,15,51,152,148,147,1.83,NA,1.54, NA, NA, NA,
SF-BE-r2-p2211,15,55,98,112,105,0.48,NA,0.37, NA, NA, NA,
SF-BE-r2-p2215,15,59,125,127,127,0.95,NA,0.80, NA, NA, NA,
SF-BE-r2-p2219,15,63,90,113,112,0.75,NA,0.59, NA, NA, NA,
SF-BE-r2-p2223,15,67,85,91,84,0.52,NA,0.43, NA, NA, NA,
SF-BE-r2-p2227,15,71,160,144,174,1.40,NA,1.14, NA, NA, NA,
SF-BE-r2-p2231,15,75,192,205,167,1.05,0.96,0.75,17,16,16,
SF-BE-r2-p2235,15,79,95,101,109,1.60,NA,1.17, NA, NA, NA,
SF-BE-r2-p2239,15,83,261,266,271,0.94,0.93,0.86,18,17,16,
SF-BE-r2-p2243,15,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2247,15,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2251,15,95,59,62,57,0.17,0.13,0.09,13,13,12,
SF-BE-r2-p2255,15,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p2259,16,51,68,62,66,0.58,NA,0.37,NA,NA,NA,
SF-BE-r2-p2263,16,55,102,106,98,1.05,NA,0.79,NA,NA,NA,
SF-BE-r2-p2267,16,59,66,70,54,0.33,NA,0.23,NA,NA,NA,
SF-BE-r2-p2271,16,63,80,70,64,0.35,NA,0.30,NA,NA,NA,
SF-BE-r2-p2275,16,67,124,153,151,1.47,NA,1.28,NA,NA,NA,
SF-BE-r2-p2279,16,71,118,159,143,1.13,NA,0.98,NA,NA,NA,
SF-BE-r2-p2283,16,75,176,198,198,0.93,NA,0.76,NA,NA,NA,
SF-BE-r2-p2287,16,79,209,214,181,0.84,0.76,0.66,17,16,18,
SF-BE-r2-p2291,16,83,294,310,274,1.40,1.37,1.28,16,19,16,
SF-BE-r2-p2295,16,87,190,192,202,0.67,0.60,0.53,23,21,19,
SF-BE-r2-p2299,16,91,166,163,156,0.46,0.38,0.36,17,19,17,
SF-BE-r2-p2303,16,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2307,16,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p2311,17,51,95,92,87,0.60,NA,0.45,NA,NA,NA,
SF-BE-r2-p2315,17,55,187,202,201,1.08,1.02,0.89,14,13,12,
SF-BE-r2-p2319,17,59,80,95,64,0.51,NA,0.40,NA,NA,NA,
SF-BE-r2-p2323,17,63,135,148,142,0.93,NA,0.79,NA,NA,NA,
SF-BE-r2-p2327,17,67,135,126,138,1.26,NA,1.03,NA,NA,NA,
SF-BE-r2-p2331,17,71,113,120,106,0.74,NA,0.61,NA,NA,NA,
SF-BE-r2-p2335,17,75,130,107,113,0.72,NA,0.53,NA,NA,NA,
SF-BE-r2-p2339,17,79,188,173,191,0.89,NA,0.72,NA,NA,NA,
SF-BE-r2-p2343,17,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2347,17,87,218,221,219,0.59,0.47,0.44,37,39,36,
SF-BE-r2-p2351,17,91,175,175,166,0.73,0.65,0.59,22,20,21,
SF-BE-r2-p2355,17,95,121,133,134,0.29,0.24,0.22,23,27,24,
SF-BE-r2-p2359,17,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p2363,18,51,90,98,109,0.52,NA,0.40,NA,NA,NA,
SF-BE-r2-p2367,18,55,86,119,127,1.22,NA,1.03,NA,NA,NA,
SF-BE-r2-p2371,18,59,122,118,119,0.55,NA,0.44,NA,NA,NA,
SF-BE-r2-p2375,18,63,149,157,163,0.87,NA,0.69,NA,NA,NA,
SF-BE-r2-p2379,18,67,63,65,72,0.43,NA,0.37,NA,NA,NA,
SF-BE-r2-p2383,18,71,79,74,82,0.55,NA,0.44,NA,NA,NA,
SF-BE-r2-p2387,18,75,218,224,220,0.86,0.65,0.60,40,38,35,
SF-BE-r2-p2391,18,79,90,97,84,0.31,NA,0.20,NA,NA,NA,
SF-BE-r2-p2395,18,83,176,179,180,0.67,0.59,0.54,20,24,18,
SF-BE-r2-p2399,18,87,113,102,111,0.80,NA,0.63,NA,NA,NA,
SF-BE-r2-p2403,18,91,153,140,133,0.82,NA,0.67,NA,NA,NA,
SF-BE-r2-p2407,18,95,100,107,101,0.21,0.17,0.16,16,14,14,
SF-BE-r2-p2411,18,99,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,
SF-BE-r2-p2415,19,51,78,88,87,0.67,NA,0.59,NA,NA,NA,
SF-BE-r2-p2419,19,55,48,53,60,0.29,NA,0.21,NA,NA,NA,
SF-BE-r2-p2423,19,59,83,81,91,0.60,NA,0.48,NA,NA,NA,
SF-BE-r2-p2427,19,63,94,91,97,0.50,NA,0.44,NA,NA,NA,
SF-BE-r2-p2431,19,67,113,96,107,0.59,NA,0.48,NA,NA,NA,
SF-BE-r2-p2435,19,71,70,64,63,0.59,NA,0.45,NA,NA,NA,
SF-BE-r2-p2439,19,75,111,114,115,0.81,NA,0.60,NA,NA,NA,
SF-BE-r2-p2443,19,79,169,162,205,0.95,NA,0.82,NA,NA,NA,
SF-BE-r2-p2447,19,83,240,255,219,1.73,1.68,1.54,18,21,17,
SF-BE-r2-p2451,19,87,252,246,247,1.50,1.47,1.36,18,18,17,
SF-BE-r2-p2455,19,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2459,19,95,214,209,199,0.88,0.66,0.60,36,43,34,
SF-BE-r2-p2463,19,99,84,79,77,0.20,0.12,0.07,23,19,21,
SF-BE-r2-p2467,20,51,176,128,142,0.91,NA,0.73,NA,NA,NA,
SF-BE-r2-p2471,20,55,96,94,94,0.94,NA,0.78,NA,NA,NA,
SF-BE-r2-p2475,20,59,47,48,37,0.35,NA,0.25,NA,NA,NA,
SF-BE-r2-p2479,20,63,75,55,64,0.33,NA,0.26,NA,NA,NA,
SF-BE-r2-p2483,20,67,67,68,66,0.67,NA,0.53,NA,NA,NA,
SF-BE-r2-p2487,20,71,116,105,96,0.76,NA,0.63,NA,NA,NA,
SF-BE-r2-p2491,20,75,44,50,71,0.49,NA,0.36,NA,NA,NA,
SF-BE-r2-p2495,20,79,100,84,80,0.63,NA,0.54,NA,NA,NA,
SF-BE-r2-p2499,20,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2503,20,87,236,238,216,0.81,NA,0.66,NA,NA,NA,
SF-BE-r2-p2507,20,91,209,194,200,0.68,0.62,0.56,10,10,11,
SF-BE-r2-p2511,20,95,99,102,120,0.81,0.72,0.65,17,15,20,
SF-BE-r2-p2515,20,99,73,76,81,0.23,0.14,0.09,19,21,22,
SF-BE-r2-p2519,21,51,65,50,54,0.44,NA,0.33,NA,NA,NA,
SF-BE-r2-p2523,21,55,78,98,111,0.85,NA,0.71,NA,NA,NA,
SF-BE-r2-p2527,21,59,159,181,169,0.74,NA,0.58,NA,NA,NA,
SF-BE-r2-p2531,21,63,55,70,76,0.38,NA,0.31,NA,NA,NA,
SF-BE-r2-p2535,21,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2539,21,71,70,66,74,0.57,NA,0.41,NA,NA,NA,
SF-BE-r2-p2543,21,75,88,98,67,0.69,NA,0.57,NA,NA,NA,
SF-BE-r2-p2547,21,79,126,150,124,0.75,NA,0.60,NA,NA,NA,
SF-BE-r2-p2551,21,83,184,192,178,1.03,0.99,0.92,16,17,18,
SF-BE-r2-p2555,21,87,222,227,231,1.25,1.23,1.10,21,20,21,
SF-BE-r2-p2559,21,91,167,176,162,0.84,0.79,0.79,17,18,18,
SF-BE-r2-p2563,21,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2567,21,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2571,22,51,47,58,54,0.36,NA,0.25,NA,NA,NA,
SF-BE-r2-p2575,22,55,79,67,70,0.62,NA,0.49,NA,NA,NA,
SF-BE-r2-p2579,22,59,127,143,125,0.65,NA,0.53,NA,NA,NA,
SF-BE-r2-p2583,22,63,48,66,55,0.40,NA,0.32,NA,NA,NA,
SF-BE-r2-p2587,22,67,53,55,54,0.92,NA,0.68,NA,NA,NA,
SF-BE-r2-p2591,22,71,53,55,52,0.55,NA,0.43,NA,NA,NA,
SF-BE-r2-p2595,22,75,157,177,164,1.01,NA,0.87,NA,NA,NA,
SF-BE-r2-p2599,22,79,116,117,128,0.79,NA,0.68,NA,NA,NA,
SF-BE-r2-p2603,22,83,185,179,201,1.30,NA,1.12,NA,NA,NA,
SF-BE-r2-p2607,22,87,191,202,201,0.80,0.76,0.72,23,24,23,
SF-BE-r2-p2611,22,91,170,181,200,0.79,0.75,0.69,21,17,16,
SF-BE-r2-p2615,22,95,100,108,109,0.35,0.29,0.25,16,18,22,
SF-BE-r2-p2619,22,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2623,23,51,80,97,98,0.38,NA,0.32,NA,NA,NA,
SF-BE-r2-p2627,23,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2631,23,59,63,65,48,0.72,NA,0.59,NA,NA,NA,
SF-BE-r2-p2635,23,63,92,88,98,0.56,NA,0.48,NA,NA,NA,
SF-BE-r2-p2639,23,67,67,52,58,0.70,NA,0.56,NA,NA,NA,
SF-BE-r2-p2643,23,71,165,201,195,1.11,NA,0.93,NA,NA,NA,
SF-BE-r2-p2647,23,75,75,66,54,0.39,NA,0.31,NA,NA,NA,
SF-BE-r2-p2651,23,79,172,173,161,0.92,NA,0.70,NA,NA,NA,
SF-BE-r2-p2655,23,83,153,158,167,0.71,NA,0.61,NA,NA,NA,
SF-BE-r2-p2659,23,87,188,178,200,0.35,0.33,0.29,17,18,19,
SF-BE-r2-p2663,23,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2667,23,95,95,90,86,0.28,0.25,0.20,19,19,22,
SF-BE-r2-p2671,23,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2675,24,51,64,54,72,0.87,NA,0.67,NA,NA,NA,
SF-BE-r2-p2679,24,55,119,135,93,0.90,NA,0.76,NA,NA,NA,
SF-BE-r2-p2683,24,59,56,74,66,0.42,NA,0.29,NA,NA,NA,
SF-BE-r2-p2687,24,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2691,24,67,182,109,102,0.59,NA,0.50,NA,NA,NA,
SF-BE-r2-p2695,24,71,141,101,122,0.81,NA,0.67,NA,NA,NA,
SF-BE-r2-p2699,24,75,60,69,54,0.66,NA,0.49,NA,NA,NA,
SF-BE-r2-p2703,24,79,75,61,67,0.54,NA,0.42,NA,NA,NA,
SF-BE-r2-p2707,24,83,195,202,220,0.65,NA,0.61,NA,NA,NA,
SF-BE-r2-p2711,24,87,227,214,232,0.98,0.95,0.91,20,23,24,
SF-BE-r2-p2715,24,91,187,184,163,0.54,0.51,0.49,23,21,20,
SF-BE-r2-p2719,24,95,144,150,132,0.42,0.40,0.37,21,22,23,
SF-BE-r2-p2723,24,99,147,142,123,0.33,0.23,0.19,22,14,16,
SF-BE-r2-p2727,25,51,56,51,57,0.50,NA,0.39,NA,NA,NA,
SF-BE-r2-p2731,25,55,43,46,42,0.36,NA,0.29,NA,NA,NA,
SF-BE-r2-p2735,25,59,103,94,82,0.84,NA,0.66,NA,NA,NA,
SF-BE-r2-p2739,25,63,39,46,42,0.47,NA,0.33,NA,NA,NA,
SF-BE-r2-p2743,25,67,88,97,92,0.53,NA,0.41,NA,NA,NA,
SF-BE-r2-p2747,25,71,96,95,88,0.80,NA,0.67,NA,NA,NA,
SF-BE-r2-p2751,25,75,118,116,108,0.57,NA,0.48,NA,NA,NA,
SF-BE-r2-p2755,25,79,68,59,67,0.47,NA,0.37,NA,NA,NA,
SF-BE-r2-p2759,25,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2763,25,87,128,131,118,0.41,NA,0.32,NA,NA,NA,
SF-BE-r2-p2767,25,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2771,25,95,119,122,105,0.26,0.25,0.25,14,17,12,
SF-BE-r2-p2775,25,99,75,72,38,0.19,0.17,0.10,11,14,7,
SF-BE-r2-p2779,26,51,78,86,95,0.60,NA,0.51,NA,NA,NA,
SF-BE-r2-p2783,26,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2787,26,59,105,81,75,0.36,NA,0.32,NA,NA,NA,
SF-BE-r2-p2791,26,63,114,101,114,0.58,NA,0.45,NA,NA,NA,
SF-BE-r2-p2795,26,67,71,80,71,0.14,0.09,0.08,18,19,23,
SF-BE-r2-p2799,26,71,136,143,151,0.83,NA,0.69,NA,NA,NA,
SF-BE-r2-p2803,26,75,89,109,82,0.64,NA,0.57,NA,NA,NA,
SF-BE-r2-p2807,26,79,57,44,50,0.26,NA,0.20,NA,NA,NA,
SF-BE-r2-p2811,26,83,177,180,184,0.32,0.30,0.28,20,23,21,
SF-BE-r2-p2815,26,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2819,26,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2823,26,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2827,26,99,109,109,104,0.51,0.43,0.37,17,18,17,
SF-BE-r2-p2831,27,51,90,96,102,0.58,NA,0.48,NA,NA,NA,
SF-BE-r2-p2835,27,55,72,58,48,0.42,NA,0.34,NA,NA,NA,
SF-BE-r2-p2839,27,59,81,90,89,0.34,NA,0.28,NA,NA,NA,
SF-BE-r2-p2843,27,63,133,92,96,0.58,NA,0.53,NA,NA,NA,
SF-BE-r2-p2847,27,67,70,59,68,0.34,NA,0.28,NA,NA,NA,
SF-BE-r2-p2851,27,71,76,68,72,0.49,NA,0.38,NA,NA,NA,
SF-BE-r2-p2855,27,75,79,78,70,0.54,NA,0.47,NA,NA,NA,
SF-BE-r2-p2859,27,79,173,178,187,0.31,0.26,0.25,19,18,18,
SF-BE-r2-p2863,27,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2867,27,87,222,242,209,0.43,0.42,0.37,18,21,25,
SF-BE-r2-p2871,27,91,232,232,229,0.41,0.40,0.37,13,13,9,
SF-BE-r2-p2875,27,95,111,114,95,0.25,0.23,0.19,13,11,14,
SF-BE-r2-p2879,27,99,102,100,94,0.41,0.38,0.37,20,12,17,
SF-BE-r2-p2883,28,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2887,28,55,136,164,133,1.11,NA,0.97,NA,NA,NA,
SF-BE-r2-p2891,28,59,112,104,120,0.73,NA,0.62,NA,NA,NA,
SF-BE-r2-p2895,28,63,67,69,77,0.37,NA,0.30,NA,NA,NA,
SF-BE-r2-p2899,28,67,150,122,138,0.83,NA,0.70,NA,NA,NA,
SF-BE-r2-p2903,28,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2907,28,75,120,116,109,0.52,NA,0.44,NA,NA,NA,
SF-BE-r2-p2911,28,79,175,170,168,0.46,0.43,0.41,18,19,19,
SF-BE-r2-p2915,28,83,213,221,217,0.95,0.92,0.84,14,10,11,
SF-BE-r2-p2919,28,87,191,176,169,0.48,0.47,0.43,13,12,11,
SF-BE-r2-p2923,28,91,208,202,199,0.83,0.80,0.73,16,18,18,
SF-BE-r2-p2927,28,95,154,158,172,0.59,0.56,0.53,16,14,13,
SF-BE-r2-p2931,29,51,97,68,75,0.78,NA,0.60,NA,NA,NA,
SF-BE-r2-p2935,29,55,166,168,174,1.37,NA,1.19,NA,NA,NA,
SF-BE-r2-p2939,29,59,80,76,78,0.78,NA,0.62,NA,NA,NA,
SF-BE-r2-p2943,29,63,114,122,128,0.73,NA,0.59,NA,NA,NA,
SF-BE-r2-p2947,29,67,187,178,184,0.98,NA,0.85,NA,NA,NA,
SF-BE-r2-p2951,29,71,52,58,51,0.50,NA,0.38,NA,NA,NA,
SF-BE-r2-p2955,29,75,217,201,207,0.79,0.75,0.70,19,18,17,
SF-BE-r2-p2959,29,79,181,167,156,0.28,0.27,0.25,18,18,21,
SF-BE-r2-p2963,30,51,74,65,71,0.44,NA,0.35,NA,NA,NA,
SF-BE-r2-p2967,30,55,75,84,81,0.25,NA,0.22,NA,NA,NA,
SF-BE-r2-p2971,30,59,104,118,106,0.41,NA,0.34,NA,NA,NA,
SF-BE-r2-p2975,30,63,70,63,57,0.39,NA,0.30,NA,NA,NA,
SF-BE-r2-p2979,30,67,112,144,119,0.70,NA,0.55,NA,NA,NA,
SF-BE-r2-p2983,30,71,166,147,171,1.02,NA,0.90,NA,NA,NA,
SF-BE-r2-p2987,30,75,60,76,65,0.81,NA,0.55,NA,NA,NA,
SF-BE-r2-p2991,30,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r2-p2995,31,51,77,64,68,0.33,NA,0.26,NA,NA,NA,
SF-BE-r2-p2999,31,55,109,94,116,0.67,NA,0.54,NA,NA,NA,
SF-BE-r2-p3003,31,59,178,134,125,0.65,NA,0.53,NA,NA,NA,
SF-BE-r2-p3007,31,63,173,234,151,0.90,NA,0.73,NA,NA,NA,
SF-BE-r2-p3011,31,67,87,84,88,0.49,NA,0.39,NA,NA,NA,
SF-BE-r2-p3015,31,71,242,229,231,0.75,0.60,0.59,40,41,42,
SF-BE-r2-p3019,31,75,65,60,71,0.39,NA,0.25,NA,NA,NA,
SF-BE-r2-p3023,31,79,223,221,234,1.32,NA,1.10,NA,NA,NA,
SF-BE-r2-p3027,32,51,75,68,62,0.48,NA,0.37,NA,NA,NA,
SF-BE-r2-p3031,32,55,56,67,58,0.34,NA,0.28,NA,NA,NA,
SF-BE-r2-p3035,32,59,48,46,54,0.37,NA,0.29,NA,NA,NA,
SF-BE-r2-p3039,32,63,79,67,78,1.17,NA,0.94,NA,NA,NA,
SF-BE-r2-p3043,32,67,118,109,113,0.78,NA,0.65,NA,NA,NA,
SF-BE-r2-p3047,32,71,67,68,79,0.48,NA,0.34,NA,NA,NA,
SF-BE-r2-p3051,32,75,91,98,105,0.62,NA,0.49,NA,NA,NA,
SF-BE-r2-p3055,32,79,129,104,113,0.25,0.22,0.21,17,18,12,
