fileName,hue,sat
Rw1Rw4Ra11.png,85.7226404176,26.7732946182
Rw1Rw4Ra12.png,86.1782981872,20.7357842564
Rw1Rw4Ra13.png,89.9715361909,25.64121394
Rw1Rw4Ra14.png,88.0836676244,24.9470112243
Rw1Rw4Ra15.png,88.0598974144,26.391168002
Rw1Rw4Ra16.png,88.0928527863,23.8223876102
Rw1Rw4Ra17.png,85.6795935938,26.7915167271
Rw1Rw4Ra18.png,86.2540767887,23.4614053438
Rw1Rw4Ra19.png,86.8157313617,19.9211760573
Rw1Rw4Ra20.png,89.4863493225,25.7930641506
Rw101Rw104Ra13.png,89.0838594765,42.4788937629
Rw1Rw4Ra21.png,89.7455610772,22.4041196826
Rw1Rw4Ra22.png,86.2349640018,22.2138094634
Rw1Rw4Ra23.png,88.524424437,18.2080633931
Rw1Rw4Ra24.png,88.5886282183,21.9232445553
Rw1Rw4Ra25.png,87.3579248757,16.7465475538
Rw1Rw4Ra26.png,87.0447938257,18.4952274905
Rw1Rw4Ra27.png,86.4367922815,19.6308861846
Rw1Rw4Ra28.png,87.576065622,17.4563311049
Rw1Rw4Ra29.png,90.7895009381,15.7018450617
Rw1Rw4Ra30.png,88.6005433137,18.7744796719
Rw101Rw104Ra14.png,90.0914727845,39.782864085
Rw1Rw4Ra31.png,89.4323481873,15.8680315168
Rw1Rw4Ra32.png,89.3116653092,17.3646756301
Rw21Rw24Ra01.png,93.2328736119,32.409755279
Rw21Rw24Ra02.png,100.6014204001,29.4808759734
Rw21Rw24Ra03.png,98.8097421679,34.568663565
Rw21Rw24Ra04.png,95.7450957462,35.1511052883
Rw21Rw24Ra05.png,106.5110476789,29.8180459179
Rw21Rw24Ra06.png,106.1629536182,28.0030687257
Rw21Rw24Ra07.png,95.569166208,30.9510333505
Rw21Rw24Ra08.png,104.664615412,30.8426429451
Rw101Rw104Ra15.png,88.8745591316,39.6282027337
Rw21Rw24Ra09.png,96.9607430005,39.7047353541
Rw21Rw24Ra10.png,103.0705340392,36.9198465545
Rw21Rw24Ra11.png,101.4639585694,33.0175253028
Rw21Rw24Ra12.png,99.8675288916,33.8143408555
Rw21Rw24Ra13.png,105.9180359529,29.0643482682
Rw21Rw24Ra14.png,99.9678926443,35.9101206894
Rw21Rw24Ra15.png,95.1756479341,38.1723353746
Rw21Rw24Ra16.png,94.7823768266,30.8643292511
Rw21Rw24Ra17.png,101.156070783,34.8418933255
Rw21Rw24Ra18.png,111.1768633338,26.1449973381
Rw101Rw104Ra16.png,90.5224272163,36.5097776576
Rw21Rw24Ra19.png,104.9297970613,27.0687987525
Rw21Rw24Ra20.png,101.4109586195,32.2096167823
Rw21Rw24Ra21.png,104.8619189651,32.3424963545
Rw21Rw24Ra22.png,112.5284464043,25.5498797202
Rw21Rw24Ra23.png,101.1226923913,33.6208268043
Rw21Rw24Ra24.png,115.2331510154,25.1571201576
Rw21Rw24Ra25.png,114.9306695242,27.9098740144
Rw21Rw24Ra26.png,114.9288176592,27.9472889278
Rw21Rw24Ra27.png,116.2885969376,26.2710482816
Rw21Rw24Ra28.png,101.4915271197,22.8390774739
Rw101Rw104Ra17.png,91.0153348252,37.1857016877
Rw21Rw24Ra29.png,106.5382082028,26.8513254953
Rw21Rw24Ra30.png,100.4857535902,23.025937551
Rw21Rw24Ra31.png,97.459699183,17.2698296562
Rw21Rw24Ra32.png,113.6925204774,22.4808813375
Rw25Rw28Ra01.png,97.6807327225,31.7475108895
Rw25Rw28Ra02.png,96.7896367036,28.5457488605
Rw25Rw28Ra03.png,106.9777250569,31.8058233544
Rw25Rw28Ra04.png,106.8115128586,30.3210250171
Rw25Rw28Ra05.png,107.5542465801,29.8538098953
Rw25Rw28Ra06.png,103.9176953005,31.7426103516
Rw101Rw104Ra18.png,91.4220327123,38.7392966285
Rw25Rw28Ra07.png,99.2192279499,26.6715002678
Rw25Rw28Ra08.png,109.8227114838,30.3200410051
Rw25Rw28Ra09.png,104.8687845424,24.6382412364
Rw25Rw28Ra10.png,105.4953356614,32.7098614098
Rw25Rw28Ra11.png,100.5756807319,35.5843194447
Rw25Rw28Ra12.png,103.6023681927,30.4911751007
Rw25Rw28Ra13.png,96.7386692106,35.1729987136
Rw25Rw28Ra14.png,96.89068021,36.295477542
Rw25Rw28Ra15.png,101.0608334487,30.5467447961
Rw25Rw28Ra16.png,99.3424023026,33.4279109471
Rw101Rw104Ra19.png,95.1980514592,23.696436671
Rw25Rw28Ra17.png,104.6625150414,19.8120434082
Rw25Rw28Ra18.png,98.3669898948,32.3934797878
Rw25Rw28Ra19.png,109.3622608907,22.99276197
Rw25Rw28Ra20.png,94.7894088707,27.0115738126
Rw25Rw28Ra21.png,104.4310360248,27.2422519587
Rw25Rw28Ra22.png,106.7528620126,29.284967797
Rw25Rw28Ra23.png,97.7359778071,34.307888441
Rw25Rw28Ra24.png,104.7782113743,29.1493270742
Rw25Rw28Ra25.png,108.4276695387,28.440428403
Rw25Rw28Ra26.png,106.8153265467,30.9422617218
Rw101Rw104Ra20.png,91.6061687886,19.5715623639
Rw25Rw28Ra27.png,104.2741689795,19.5657361521
Rw25Rw28Ra28.png,108.4717800666,28.5998289903
Rw25Rw28Ra29.png,111.387113502,24.4002094609
Rw25Rw28Ra30.png,111.387113502,24.4002094609
Rw25Rw28Ra31.png,100.0748084116,24.9561084169
Rw25Rw28Ra32.png,109.7982456582,25.0474626578
Rw29Rw32Ra01.png,95.3019995658,36.594668576
Rw29Rw32Ra02.png,88.4748294118,28.0763183805
Rw29Rw32Ra03.png,100.3492615662,25.8488303226
Rw29Rw32Ra04.png,102.7700236166,28.3826479295
Rw101Rw104Ra21.png,89.4783598477,25.6572356452
Rw29Rw32Ra05.png,100.8232487895,34.9280937704
Rw29Rw32Ra06.png,111.5454854231,19.7502788755
Rw29Rw32Ra07.png,105.3742650009,28.9234504782
Rw29Rw32Ra08.png,107.0789462493,34.5290124692
Rw29Rw32Ra09.png,108.6803144634,31.3298164329
Rw29Rw32Ra10.png,104.4654518472,31.2508199541
Rw29Rw32Ra11.png,116.9934008667,25.3261233206
Rw29Rw32Ra12.png,105.4812704979,32.1027409681
Rw29Rw32Ra13.png,98.0394463626,29.295798204
Rw29Rw32Ra14.png,102.9471882162,29.2475109121
Rw101Rw104Ra22.png,0,0
Rw101Rw104Ra04.png,91.0484754144,33.2125780181
Rw29Rw32Ra15.png,107.9787124754,27.4667814856
Rw29Rw32Ra16.png,101.6971297185,22.247941269
Rw29Rw32Ra17.png,97.8719129308,28.0168198144
Rw29Rw32Ra18.png,98.2962019352,28.8182472738
Rw29Rw32Ra19.png,101.9985225174,28.5628154233
Rw29Rw32Ra20.png,103.8510430848,18.3523901256
Rw29Rw32Ra21.png,94.448832291,27.4998153801
Rw29Rw32Ra22.png,95.3202679486,41.3931643646
Rw29Rw32Ra23.png,95.3017147756,28.0378049153
Rw29Rw32Ra24.png,98.7621186263,27.0176788165
Rw101Rw104Ra23.png,0,0
Rw29Rw32Ra25.png,104.5267856621,30.7913399591
Rw29Rw32Ra26.png,111.0904784446,26.1317151493
Rw29Rw32Ra27.png,114.6542292494,19.2467486939
Rw29Rw32Ra28.png,104.0924618263,29.6221888229
Rw29Rw32Ra29.png,114.3608000428,25.0036399566
Rw29Rw32Ra30.png,108.200511072,19.1921914046
Rw29Rw32Ra31.png,110.6690835204,27.0705361962
