 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw53,0.040876,0.0944,0.071638,0.086529,0.062293,0.077618,0.069634,0.087585,0.083013,0.078642,0.087506,0.089864,0.06659,0.080799,0.068329,0.084708,0.066389,0.067416,0.071361,0.059841,0.072064,0.055187,0.052843,0.048377,0.051266,0.050915,0.066016,0.056354,0.071162,0.073581,0.07731, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw57,0.036114,0.063566,0.079725,0.084732,0.095314,0.064641,0.076552,0.051876,0.078421,0.060557,0.080422,0.062237,0.077023,0.061723,0.068392,0.074722,0.080508,0.060164,0.065946,0.076225,0.05447,0.079832,0.063589,0.057449,0.056837,0.05508,0.05803,0.048203,0.069168,0.064444,0.068184,0.048488
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw61,0.021681,0.063308,0.066435,0.068016,0.073809,0.086232,0.088835,0.085394,0.077856,0.07134,0.067367,0.093004,0.06971,0.068932,0.069668,0.069511,0.058101,0.073907,0.068552,0.060073,0.062423,0.082915,0.055333,0.082437,0.051347,0.071866,0.07317,0.072938,0.069777,0.065396,0.065861,0.019096
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw65,0.054378,0.060928,0.082112,0.07493,0.080061,0.079659,0.083181,0.08541,0.062481,0.073707,0.066529,0.067338,0.067646,0.059839,0.06124,0.054169,0.060034,0.071735,0.070427,0.056641,0.053287,0.071185,0.053767,0.055492,0.065464,0.066668,0.061642,0.07283,0.066729,0.065484,0.063886,0.02371
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw72,0.065625,0.080233,0.067553,0.078455,0.097956,0.072172,0.072981,0.076086,0.081325,0.082028,0.078814,0.077089,0.064212,0.07558,0.078202,0.054772,0.089015,0.081915,0.078419,0.076278,0.055415,0.065212,0.068214,0.064312,0.078778,0.068991,0.077483,0.071079,0.068242,0.07099,0.092664,0.030849
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw74,0.038041,0.081256,0.078082,0.084713,0.053551,0.089804,0.072403,0.086054,0.068188,0.076806,0.07738,0.079316,0.076047,0.086925,0.079387,0.084149,0.086444,0.075173,0.062695,0.066779,0.06838,0.065267,0.07278,0.050164,0.073764,0.067827,0.084581,0.065722,0.056504,0.075706,0.053643,0.041682
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw78, ,0.066566,0.074427,0.046187,0.085908,0.071697,0.070396,0.063814,0.046389,0.053543,0.082469,0.064564,0.051848,0.062668,0.071115,0.06735,0.066482,0.061089,0.065841,0.056543,0.055029,0.063692,0.068899,0.05177,0.064326,0.072414,0.065328,0.055022,0.060329,0.071013,0.057216,0.055534
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw83,0.031918,0.06786,0.079725,0.066621,0.08084,0.083883,0.076878,0.064163,0.053063,0.056376,0.080139,0.067882,0.067965,0.050121,0.072675,0.066367,0.065346,0.064409,0.063636,0.051232,0.048363,0.054251,0.058852,0.055269,0.058185,0.064185,0.056109,0.066776,0.0591,0.063033,0.06296,0.030908
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw85, , , ,0.058354,0.092711,0.079251,0.090423,0.087224,0.082852,0.081251,0.094145,0.084772,0.081568,0.10313,0.080736, , , , , , , , , , , , , , , , , 
Rw86, , , , , , , , , , , , , , , , , , , ,0.074359,0.075471,0.088233,0.10245,0.087389,0.077629,0.081228,0.076594, , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw90, , , ,0.082608,0.095387,0.083789,0.083675,0.087352,0.095301,0.083049,0.085473,0.077844,0.084577,0.075905,0.067057,0.062557,0.065835,0.084578,0.073004,0.075234,0.094488,0.081314,0.08729,0.071396,0.074106,0.081069,0.079968, , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw94, , , ,0.084247,0.076109,0.07659,0.080913,0.097402,0.094936,0.07354,0.086192,0.076516,0.072323,0.085183,0.077697,0.083401,0.084369,0.086994,0.086374,0.078188,0.084415,0.087602,0.059021,0.065955,0.060828,0.070551,0.069548,0.062898, , , , 
