 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw49,0.50773,0.40004,0.30322,0.5202,0.30301,0.37904,0.33122,0.67421,0.12699,0.58713,0.59883,0.62877,0.071487,0.42464,0.36842,0.31125,0.46313,0.28076,0.46738,0.45289,0.17278,0.16219,0.24394,0.20524,0.46762,0.29648,0.36912,0.3421,0.25493,0.31435,0.47477,0.34301
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw51,0.44247,0.25768,0.30589,0.33356,0.32843,0.18414,0.23238,0.558,0.19898,0.58726,0.44693,0.32101,0.22857,0.18123,0.44062,0.16699,0.33088,0.19049,0.34499,0.25195,0.19554,0.17666,0.18954,0.18472,0.15338,0.1464,0.33793,0.21335,0.23159,0.20496,0.33535,0.29972
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw55,0.352,0.25082,0.4492,0.51087,0.55184,0.22855,0.58352,0.6736,0.3821,0.49471,0.48683,0.38546,0.74064,0.46367,0.37277,0.49508,0.40738,0.29187,0.28086,0.66251,0.42202,0.22664,0.2946,0.22536,0.29675,0.43795,0.50828,0.15703,0.30559,0.2947,0.39839,0.16229
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw57,0.20591,0.41727,0.33495,0.44125,0.2645,0.3449,0.55258,0.80119,0.53022,0.52669,0.51336,0.35906,0.44494,0.28374,0.48165,0.44467,0.42411,0.33395,0.25199,0.20803,0.18454,0.22944,0.24515,0.14139,0.18953,0.22073,0.21614,0.37714,0.54674,0.4552,0.26838,0.23039
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw63,0.61919,0.50848,0.44395,0.36752,0.36212,0.41283,0.49805,0.34747,0.26394,0.1983,0.35907,0.23617,0.40555,0.34571,0.39588,0.32868,0.26307,0.26861,0.52881,0.25059,0.383,0.33988,0.15743,0.18082,0.12935,0.18379,0.35262,0.47982,0.27729,0.15498,0.49053,0.14579
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw65,0.45088,0.83027,0.58548,0.74873,0.35922,0.66339,0.6408,0.67233,0.57285,0.58617,0.51861,0.56952,0.47818,0.32427,0.55336,0.20925,0.6153,0.50537,0.22639,0.29468,0.27105,0.44458,0.40014,0.49877,0.18636,0.17761,0.31041,0.36768,0.37565,0.24864,0.3301,0.066023
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
