 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
Rw49,0.62768,0.5156,0.26362,0.3779,0.14492,0.63657,0.61361,0.67842,0.26256,0.078261,0.15093,0.065994,0.57126,0.72063,0.27816,0.66327,0.67399,0.60748,0.32023,0.45281,0.041353,0.55183,0.75016,0.47577,0.45366,0.66504,0.56922,0.29083,0.044901,0.77183, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw51, , , , , , , , , , , , , , , , , , , , , ,0.70718,0.65733,0.5955,0.60467,0.55118,0.74174,0.52224,0.29139,0.66966,0.54032,0.8069
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw55,0.58526,0.49362,0.55105,0.51921,0.33609,0.060894,0.37377,0.26284,0.20602,0.58977,0.99751,0.99753,0.36967,0.1337,0.34853,0.11816,0.53157,0.25565,0.80628,0.098212,0.31565,0.7473,0.32377,0.35852,0.18015,0.32933,0.27182,0.42995,0.28833,0.67447, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw58, ,0.26342,0.64166,0.4654,0.36821,0.62189,0.36128,0.47722,0.36139,0.53178,0.34593,0.59876,0.46455,0.76847,0.99577,0.77157,0.76896,0.7423,0.79081,0.52275,0.63284,0.99923,0.74727,0.60057,0.50833,0.51322,0.10978,0.15627,0.67418,0.68611,0.72821,0.99963
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
