Row,Range,Eastings(UTMzone17N),Northings(UTMzone17N)
52.5,25,340662.143,3832761.8
52.5,26,340663.678,3832766.15
52.5,27,340665.202,3832770.47
52.5,28,340666.696,3832774.71
52.5,29,340668.205,3832778.82
52.5,30,340669.717,3832783.12
52.5,31,340671.222,3832787.39
52.5,32,340672.75,3832791.73
53.5,1,340625.039,3832658.44
53.5,2,340626.583,3832662.82
53.5,3,340628.108,3832667.15
53.5,4,340629.516,3832671.46
53.5,5,340631.052,3832675.82
53.5,6,340632.558,3832680.09
53.5,7,340634.084,3832684.42
53.5,8,340635.64,3832688.83
53.5,9,340637.126,3832693.05
53.5,10,340638.643,3832697.35
53.5,11,340640.186,3832701.73
53.5,12,340641.721,3832706.08
53.5,13,340643.23,3832710.36
53.5,14,340644.705,3832714.55
53.5,15,340646.234,3832718.88
53.5,16,340647.735,3832723.14
53.5,17,340649.246,3832727.43
53.5,18,340650.756,3832731.71
53.5,19,340652.27,3832736
53.5,20,340653.824,3832740.41
53.5,21,340655.354,3832744.75
53.5,22,340656.861,3832749.03
53.5,23,340658.4,3832753.39
53.5,24,340659.926,3832757.72
53.5,25,340661.445,3832762.03
53.5,26,340662.98,3832766.38
53.5,27,340664.504,3832770.71
53.5,28,340665.999,3832774.95
53.5,29,340667.509,3832779.05
53.5,30,340669.021,3832783.35
53.5,31,340670.527,3832787.63
53.5,32,340672.056,3832791.97
54.5,1,340624.348,3832658.67
54.5,2,340625.894,3832663.06
54.5,3,340627.418,3832667.39
54.5,4,340628.821,3832671.69
54.5,5,340630.358,3832676.05
54.5,6,340631.863,3832680.32
54.5,7,340633.389,3832684.65
54.5,8,340634.944,3832689.06
54.5,9,340636.429,3832693.28
54.5,10,340637.946,3832697.58
54.5,11,340639.491,3832701.96
54.5,12,340641.025,3832706.31
54.5,13,340642.535,3832710.6
54.5,14,340644.011,3832714.79
54.5,15,340645.539,3832719.12
54.5,16,340647.039,3832723.38
54.5,17,340648.55,3832727.66
54.5,18,340650.059,3832731.94
54.5,19,340651.573,3832736.24
54.5,20,340653.127,3832740.65
54.5,21,340654.656,3832744.99
54.5,22,340656.163,3832749.26
54.5,23,340657.703,3832753.63
54.5,24,340659.228,3832757.96
54.5,25,340660.747,3832762.26
54.5,26,340662.282,3832766.62
54.5,27,340663.806,3832770.94
54.5,28,340665.301,3832775.18
54.5,29,340666.813,3832779.28
54.5,30,340668.326,3832783.58
54.5,31,340669.832,3832787.86
54.5,32,340671.361,3832792.2
55.5,1,340623.201,3832658.58
55.5,2,340624.767,3832663.02
55.5,3,340626.268,3832667.27
55.5,4,340627.757,3832671.5
55.5,5,340629.349,3832676.01
55.5,6,340630.835,3832680.22
55.5,7,340632.286,3832684.34
55.5,8,340633.841,3832688.74
55.5,9,340635.401,3832693.17
55.5,10,340636.935,3832697.51
55.5,11,340638.495,3832701.94
55.5,12,340640.014,3832706.24
55.5,13,340641.531,3832710.55
55.5,14,340643.062,3832714.88
55.5,15,340644.575,3832719.17
55.5,16,340646.098,3832723.49
55.5,17,340647.607,3832727.77
55.5,18,340649.072,3832731.92
55.5,19,340650.533,3832736.06
55.5,20,340652.129,3832740.59
55.5,21,340653.741,3832745.16
55.5,22,340655.172,3832749.22
55.5,23,340656.688,3832753.51
55.5,24,340658.235,3832757.9
55.5,25,340659.709,3832762.08
55.5,26,340661.261,3832766.48
55.5,27,340662.805,3832770.86
55.5,28,340664.243,3832774.93
55.5,29,340665.819,3832779.4
55.5,30,340667.41,3832783.91
55.5,31,340668.844,3832787.98
55.5,32,340670.363,3832792.28
56.5,1,340622.968,3832659.12
56.5,2,340624.516,3832663.52
56.5,3,340626.039,3832667.85
56.5,4,340627.432,3832672.16
56.5,5,340628.97,3832676.52
56.5,6,340630.474,3832680.79
56.5,7,340631.998,3832685.12
56.5,8,340633.552,3832689.53
56.5,9,340635.036,3832693.74
56.5,10,340636.554,3832698.04
56.5,11,340638.101,3832702.43
56.5,12,340639.633,3832706.78
56.5,13,340641.144,3832711.07
56.5,14,340642.623,3832715.27
56.5,15,340644.15,3832719.6
56.5,16,340645.648,3832723.85
56.5,17,340647.156,3832728.13
56.5,18,340648.666,3832732.41
56.5,19,340650.181,3832736.71
56.5,20,340651.733,3832741.12
56.5,21,340653.26,3832745.45
56.5,22,340654.766,3832749.72
56.5,23,340656.308,3832754.1
56.5,24,340657.832,3832758.42
56.5,25,340659.35,3832762.73
56.5,26,340660.887,3832767.09
56.5,27,340662.41,3832771.41
56.5,28,340663.906,3832775.65
56.5,29,340665.42,3832779.74
56.5,30,340666.934,3832784.05
56.5,31,340668.442,3832788.33
56.5,32,340669.971,3832792.68
57.5,1,340621.852,3832659.08
57.5,2,340623.342,3832663.3
57.5,3,340624.813,3832667.46
57.5,4,340626.37,3832671.87
57.5,5,340627.95,3832676.34
57.5,6,340629.419,3832680.5
57.5,7,340630.922,3832684.75
57.5,8,340632.513,3832689.26
57.5,9,340633.932,3832693.27
57.5,10,340635.488,3832697.68
57.5,11,340637.146,3832702.37
57.5,12,340638.708,3832706.79
57.5,13,340640.304,3832711.31
57.5,14,340641.334,3832714.22
57.5,15,340642.926,3832718.73
57.5,16,340644.601,3832723.47
57.5,17,340646.18,3832727.94
57.5,18,340647.649,3832732.1
57.5,19,340649.015,3832735.96
57.5,20,340650.552,3832740.31
57.5,21,340652.194,3832744.96
57.5,22,340653.708,3832749.24
57.5,23,340655.125,3832753.26
57.5,24,340656.651,3832757.57
57.5,25,340658.33,3832762.33
57.5,26,340659.871,3832766.69
57.5,27,340661.395,3832771
57.5,28,340662.893,3832775.24
57.5,29,340664.265,3832779.12
57.5,30,340665.745,3832783.31
57.5,31,340667.355,3832787.87
57.5,32,340668.899,3832792.24
58.5,1,340621.587,3832659.58
58.5,2,340623.137,3832663.98
58.5,3,340624.659,3832668.31
58.5,4,340626.042,3832672.63
58.5,5,340627.581,3832677
58.5,6,340629.084,3832681.26
58.5,7,340630.608,3832685.59
58.5,8,340632.16,3832689.99
58.5,9,340633.642,3832694.2
58.5,10,340635.161,3832698.51
58.5,11,340636.71,3832702.9
58.5,12,340638.242,3832707.25
58.5,13,340639.753,3832711.54
58.5,14,340641.235,3832715.75
58.5,15,340642.761,3832720.08
58.5,16,340644.256,3832724.32
58.5,17,340645.763,3832728.6
58.5,18,340647.273,3832732.88
58.5,19,340648.788,3832737.18
58.5,20,340650.339,3832741.58
58.5,21,340651.865,3832745.91
58.5,22,340653.37,3832750.18
58.5,23,340654.913,3832754.56
58.5,24,340656.436,3832758.89
58.5,25,340657.953,3832763.19
58.5,26,340659.491,3832767.56
58.5,27,340661.014,3832771.88
58.5,28,340662.51,3832776.13
58.5,29,340664.028,3832780.2
58.5,30,340665.543,3832784.51
58.5,31,340667.052,3832788.8
58.5,32,340668.582,3832793.15
59.5,1,340620.896,3832659.8
59.5,2,340622.448,3832664.21
59.5,3,340623.97,3832668.54
59.5,4,340625.348,3832672.86
59.5,5,340626.887,3832677.23
59.5,6,340628.389,3832681.5
59.5,7,340629.913,3832685.82
59.5,8,340631.464,3832690.22
59.5,9,340632.945,3832694.43
59.5,10,340634.464,3832698.74
59.5,11,340636.015,3832703.14
59.5,12,340637.546,3832707.48
59.5,13,340639.057,3832711.78
59.5,14,340640.541,3832715.99
59.5,15,340642.067,3832720.32
59.5,16,340643.56,3832724.55
59.5,17,340645.066,3832728.83
59.5,18,340646.576,3832733.12
59.5,19,340648.091,3832737.42
59.5,20,340649.642,3832741.82
59.5,21,340651.167,3832746.15
59.5,22,340652.672,3832750.42
59.5,23,340654.215,3832754.8
59.5,24,340655.738,3832759.12
59.5,25,340657.255,3832763.43
59.5,26,340658.793,3832767.79
59.5,27,340660.316,3832772.12
59.5,28,340661.813,3832776.36
59.5,29,340663.331,3832780.43
59.5,30,340664.847,3832784.74
59.5,31,340666.357,3832789.04
59.5,32,340667.887,3832793.39
60.5,1,340620.206,3832660.03
60.5,2,340621.759,3832664.45
60.5,3,340623.28,3832668.77
60.5,4,340624.653,3832673.1
60.5,5,340626.193,3832677.47
60.5,6,340627.694,3832681.73
60.5,7,340629.218,3832686.05
60.5,8,340630.769,3832690.46
60.5,9,340632.249,3832694.66
60.5,10,340633.768,3832698.97
60.5,11,340635.32,3832703.38
60.5,12,340636.85,3832707.72
60.5,13,340638.362,3832712.01
60.5,14,340639.847,3832716.23
60.5,15,340641.372,3832720.56
60.5,16,340642.864,3832724.79
60.5,17,340644.37,3832729.06
60.5,18,340645.879,3832733.35
60.5,19,340647.395,3832737.65
60.5,20,340648.945,3832742.05
60.5,21,340650.469,3832746.38
60.5,22,340651.973,3832750.65
60.5,23,340653.518,3832755.03
60.5,24,340655.04,3832759.35
60.5,25,340656.557,3832763.66
60.5,26,340658.096,3832768.03
60.5,27,340659.618,3832772.35
60.5,28,340661.115,3832776.6
60.5,29,340662.635,3832780.66
60.5,30,340664.151,3832784.98
60.5,31,340665.662,3832789.27
60.5,32,340667.193,3832793.62
61.5,1,340619.516,3832660.26
61.5,2,340621.07,3832664.68
61.5,3,340622.59,3832669
61.5,4,340623.958,3832673.33
61.5,5,340625.499,3832677.7
61.5,6,340627,3832681.96
61.5,7,340628.523,3832686.29
61.5,8,340630.073,3832690.69
61.5,9,340631.552,3832694.89
61.5,10,340633.072,3832699.2
61.5,11,340634.625,3832703.61
61.5,12,340636.154,3832707.95
61.5,13,340637.666,3832712.25
61.5,14,340639.153,3832716.47
61.5,15,340640.678,3832720.8
61.5,16,340642.168,3832725.03
61.5,17,340643.673,3832729.3
61.5,18,340645.183,3832733.58
61.5,19,340646.698,3832737.89
61.5,20,340648.249,3832742.29
61.5,21,340649.771,3832746.61
61.5,22,340651.275,3832750.88
61.5,23,340652.82,3832755.27
61.5,24,340654.342,3832759.59
61.5,25,340655.859,3832763.89
61.5,26,340657.398,3832768.26
61.5,27,340658.92,3832772.58
61.5,28,340660.417,3832776.83
61.5,29,340661.939,3832780.89
61.5,30,340663.456,3832785.21
61.5,31,340664.967,3832789.51
61.5,32,340666.498,3832793.86
62.5,1,340618.825,3832660.49
62.5,2,340620.381,3832664.91
62.5,3,340621.901,3832669.23
62.5,4,340623.263,3832673.56
62.5,5,340624.805,3832677.94
62.5,6,340626.305,3832682.2
62.5,7,340627.827,3832686.52
62.5,8,340629.377,3832690.92
62.5,9,340630.855,3832695.12
62.5,10,340632.375,3832699.43
62.5,11,340633.929,3832703.85
62.5,12,340635.458,3832708.19
62.5,13,340636.971,3832712.48
62.5,14,340638.459,3832716.71
62.5,15,340639.983,3832721.04
62.5,16,340641.472,3832725.26
62.5,17,340642.976,3832729.53
62.5,18,340644.486,3832733.82
62.5,19,340646.002,3832738.12
62.5,20,340647.552,3832742.52
62.5,21,340649.073,3832746.84
62.5,22,340650.577,3832751.11
62.5,23,340652.123,3832755.5
62.5,24,340653.644,3832759.82
62.5,25,340655.16,3832764.12
62.5,26,340656.7,3832768.5
62.5,27,340658.222,3832772.82
62.5,28,340659.72,3832777.07
62.5,29,340661.243,3832781.12
62.5,30,340662.76,3832785.44
62.5,31,340664.273,3832789.74
62.5,32,340665.803,3832794.1
63.5,1,340617.868,3832660.59
63.5,2,340619.429,3832665.02
63.5,3,340620.919,3832669.25
63.5,4,340622.336,3832673.27
63.5,5,340623.794,3832677.41
63.5,6,340625.185,3832681.36
63.5,7,340626.717,3832685.71
63.5,8,340628.373,3832690.41
63.5,9,340629.97,3832694.95
63.5,10,340631.433,3832699.1
63.5,11,340632.873,3832703.19
63.5,12,340634.291,3832707.22
63.5,13,340635.836,3832711.61
63.5,14,340637.428,3832716.13
63.5,15,340638.854,3832720.17
63.5,16,340640.296,3832724.27
63.5,17,340641.786,3832728.5
63.5,18,340643.298,3832732.79
63.5,19,340644.838,3832737.17
63.5,20,340646.422,3832741.66
63.5,21,340647.98,3832746.09
63.5,22,340649.529,3832750.49
63.5,23,340651.06,3832754.83
63.5,24,340652.49,3832758.89
63.5,25,340653.89,3832762.87
63.5,26,340655.469,3832767.35
63.5,27,340657.045,3832771.83
63.5,28,340658.598,3832776.24
63.5,29,340660.09,3832780.47
63.5,30,340661.517,3832784.53
63.5,31,340663.058,3832788.9
63.5,32,340664.617,3832793.33
64.5,1,340617.444,3832660.94
64.5,2,340619.002,3832665.37
64.5,3,340620.521,3832669.69
64.5,4,340621.874,3832674.03
64.5,5,340623.416,3832678.41
64.5,6,340624.915,3832682.67
64.5,7,340626.437,3832686.99
64.5,8,340627.985,3832691.39
64.5,9,340629.462,3832695.58
64.5,10,340630.983,3832699.9
64.5,11,340632.539,3832704.32
64.5,12,340634.067,3832708.66
64.5,13,340635.58,3832712.95
64.5,14,340637.071,3832717.19
64.5,15,340638.594,3832721.51
64.5,16,340640.08,3832725.73
64.5,17,340641.583,3832730
64.5,18,340643.092,3832734.29
64.5,19,340644.609,3832738.59
64.5,20,340646.158,3832742.99
64.5,21,340647.677,3832747.31
64.5,22,340649.18,3832751.57
64.5,23,340650.728,3832755.97
64.5,24,340652.248,3832760.29
64.5,25,340653.764,3832764.59
64.5,26,340655.304,3832768.97
64.5,27,340656.826,3832773.29
64.5,28,340658.324,3832777.54
64.5,29,340659.85,3832781.59
64.5,30,340661.369,3832785.91
64.5,31,340662.883,3832790.21
64.5,32,340664.414,3832794.57
65.5,1,340616.754,3832661.17
65.5,2,340618.313,3832665.6
65.5,3,340619.832,3832669.92
65.5,4,340621.179,3832674.26
65.5,5,340622.722,3832678.65
65.5,6,340624.22,3832682.9
65.5,7,340625.742,3832687.22
65.5,8,340627.289,3832691.62
65.5,9,340628.765,3832695.81
65.5,10,340630.286,3832700.13
65.5,11,340631.844,3832704.55
65.5,12,340633.371,3832708.89
65.5,13,340634.884,3832713.19
65.5,14,340636.377,3832717.43
65.5,15,340637.9,3832721.75
65.5,16,340639.384,3832725.97
65.5,17,340640.886,3832730.23
65.5,18,340642.396,3832734.52
65.5,19,340643.913,3832738.83
65.5,20,340645.461,3832743.23
65.5,21,340646.979,3832747.54
65.5,22,340648.482,3832751.81
65.5,23,340650.03,3832756.2
65.5,24,340651.55,3832760.52
65.5,25,340653.065,3832764.82
65.5,26,340654.607,3832769.2
65.5,27,340656.128,3832773.52
65.5,28,340657.627,3832777.78
65.5,29,340659.154,3832781.82
65.5,30,340660.673,3832786.14
65.5,31,340662.188,3832790.45
65.5,32,340663.719,3832794.81
66.5,1,340616.064,3832661.39
66.5,2,340617.624,3832665.84
66.5,3,340619.142,3832670.16
66.5,4,340620.485,3832674.5
66.5,5,340622.028,3832678.88
66.5,6,340623.526,3832683.14
66.5,7,340625.047,3832687.46
66.5,8,340626.594,3832691.85
66.5,9,340628.068,3832696.04
66.5,10,340629.59,3832700.36
66.5,11,340631.148,3832704.79
66.5,12,340632.675,3832709.12
66.5,13,340634.189,3832713.42
66.5,14,340635.683,3832717.67
66.5,15,340637.206,3832721.99
66.5,16,340638.688,3832726.2
66.5,17,340640.19,3832730.47
66.5,18,340641.699,3832734.76
66.5,19,340643.216,3832739.06
66.5,20,340644.764,3832743.46
66.5,21,340646.281,3832747.77
66.5,22,340647.784,3832752.04
66.5,23,340649.333,3832756.44
66.5,24,340650.852,3832760.75
66.5,25,340652.367,3832765.06
66.5,26,340653.909,3832769.44
66.5,27,340655.43,3832773.76
66.5,28,340656.929,3832778.01
66.5,29,340658.458,3832782.05
66.5,30,340659.977,3832786.37
66.5,31,340661.493,3832790.68
66.5,32,340663.024,3832795.04
67.5,1,340615.373,3832661.62
67.5,2,340616.935,3832666.07
67.5,3,340618.452,3832670.39
67.5,4,340619.79,3832674.73
67.5,5,340621.334,3832679.12
67.5,6,340622.831,3832683.37
67.5,7,340624.351,3832687.69
67.5,8,340625.898,3832692.08
67.5,9,340627.371,3832696.27
67.5,10,340628.894,3832700.59
67.5,11,340630.453,3832705.02
67.5,12,340631.979,3832709.36
67.5,13,340633.493,3832713.66
67.5,14,340634.989,3832717.91
67.5,15,340636.511,3832722.23
67.5,16,340637.992,3832726.44
67.5,17,340639.493,3832730.7
67.5,18,340641.002,3832734.99
67.5,19,340642.52,3832739.3
67.5,20,340644.067,3832743.7
67.5,21,340645.583,3832748
67.5,22,340647.086,3832752.27
67.5,23,340648.635,3832756.67
67.5,24,340650.154,3832760.99
67.5,25,340651.669,3832765.29
67.5,26,340653.211,3832769.67
67.5,27,340654.732,3832773.99
67.5,28,340656.231,3832778.25
67.5,29,340657.761,3832782.28
67.5,30,340659.282,3832786.6
67.5,31,340660.798,3832790.92
67.5,32,340662.33,3832795.28
68.5,1,340614.683,3832661.85
68.5,2,340616.246,3832666.3
68.5,3,340617.763,3832670.62
68.5,4,340619.095,3832674.97
68.5,5,340620.64,3832679.35
68.5,6,340622.136,3832683.6
68.5,7,340623.656,3832687.92
68.5,8,340625.202,3832692.31
68.5,9,340626.674,3832696.5
68.5,10,340628.197,3832700.82
68.5,11,340629.758,3832705.26
68.5,12,340631.284,3832709.59
68.5,13,340632.798,3832713.89
68.5,14,340634.295,3832718.15
68.5,15,340635.817,3832722.47
68.5,16,340637.296,3832726.67
68.5,17,340638.796,3832730.94
68.5,18,340640.306,3832735.22
68.5,19,340641.823,3832739.53
68.5,20,340643.37,3832743.93
68.5,21,340644.885,3832748.23
68.5,22,340646.388,3832752.5
68.5,23,340647.938,3832756.91
68.5,24,340649.456,3832761.22
68.5,25,340650.97,3832765.52
68.5,26,340652.513,3832769.9
68.5,27,340654.034,3832774.22
68.5,28,340655.534,3832778.48
68.5,29,340657.065,3832782.51
68.5,30,340658.586,3832786.83
68.5,31,340660.103,3832791.15
68.5,32,340661.635,3832795.52
69.5,1,340613.992,3832662.08
69.5,2,340615.556,3832666.53
69.5,3,340617.073,3832670.85
69.5,4,340618.4,3832675.2
69.5,5,340619.946,3832679.59
69.5,6,340621.441,3832683.84
69.5,7,340622.961,3832688.16
69.5,8,340624.506,3832692.55
69.5,9,340625.978,3832696.73
69.5,10,340627.501,3832701.05
69.5,11,340629.063,3832705.49
69.5,12,340630.588,3832709.83
69.5,13,340632.102,3832714.13
69.5,14,340633.601,3832718.39
69.5,15,340635.122,3832722.71
69.5,16,340636.6,3832726.91
69.5,17,340638.099,3832731.17
69.5,18,340639.609,3832735.46
69.5,19,340641.127,3832739.77
69.5,20,340642.673,3832744.16
69.5,21,340644.188,3832748.47
69.5,22,340645.689,3832752.73
69.5,23,340647.241,3832757.14
69.5,24,340648.758,3832761.45
69.5,25,340650.272,3832765.75
69.5,26,340651.816,3832770.14
69.5,27,340653.336,3832774.46
69.5,28,340654.836,3832778.72
69.5,29,340656.369,3832782.74
69.5,30,340657.89,3832787.07
69.5,31,340659.408,3832791.39
69.5,32,340660.94,3832795.75
70.5,1,340613.302,3832662.3
70.5,2,340614.867,3832666.76
70.5,3,340616.383,3832671.08
70.5,4,340617.706,3832675.43
70.5,5,340619.251,3832679.83
70.5,6,340620.746,3832684.07
70.5,7,340622.266,3832688.39
70.5,8,340623.81,3832692.78
70.5,9,340625.281,3832696.96
70.5,10,340626.804,3832701.29
70.5,11,340628.368,3832705.73
70.5,12,340629.892,3832710.06
70.5,13,340631.407,3832714.36
70.5,14,340632.907,3832718.63
70.5,15,340634.428,3832722.95
70.5,16,340635.904,3832727.14
70.5,17,340637.403,3832731.4
70.5,18,340638.912,3832735.69
70.5,19,340640.43,3832740.01
70.5,20,340641.976,3832744.4
70.5,21,340643.49,3832748.7
70.5,22,340644.991,3832752.96
70.5,23,340646.543,3832757.37
70.5,24,340648.06,3832761.68
70.5,25,340649.574,3832765.99
70.5,26,340651.118,3832770.37
70.5,27,340652.638,3832774.69
70.5,28,340654.138,3832778.96
70.5,29,340655.673,3832782.97
70.5,30,340657.194,3832787.3
70.5,31,340658.713,3832791.62
70.5,32,340660.246,3832795.99
71.5,1,340612.347,3832662.9
71.5,2,340613.895,3832667.34
71.5,3,340615.377,3832671.59
71.5,4,340616.792,3832675.65
71.5,5,340618.301,3832679.98
71.5,6,340619.812,3832684.31
71.5,7,340621.371,3832688.78
71.5,8,340622.874,3832693.09
71.5,9,340624.341,3832697.3
71.5,10,340625.863,3832701.67
71.5,11,340627.286,3832705.75
71.5,12,340628.769,3832710
71.5,13,340630.423,3832714.75
71.5,14,340632.165,3832719.74
71.5,15,340633.68,3832724.09
71.5,16,340634.981,3832727.82
71.5,17,340636.356,3832731.76
71.5,18,340637.789,3832735.88
71.5,19,340639.34,3832740.32
71.5,20,340640.904,3832744.81
71.5,21,340642.293,3832748.79
71.5,22,340643.616,3832752.59
71.5,23,340645.287,3832757.38
71.5,24,340647.031,3832762.39
71.5,25,340648.642,3832767.01
71.5,26,340650.127,3832771.27
71.5,27,340651.494,3832775.19
71.5,28,340652.904,3832779.23
71.5,29,340654.372,3832783.44
71.5,30,340655.93,3832787.91
71.5,31,340657.393,3832792.11
71.5,32,340658.861,3832796.32
72.5,1,340611.921,3832662.76
72.5,2,340613.489,3832667.22
72.5,3,340615.004,3832671.54
72.5,4,340616.316,3832675.9
72.5,5,340617.863,3832680.3
72.5,6,340619.357,3832684.54
72.5,7,340620.876,3832688.86
72.5,8,340622.418,3832693.24
72.5,9,340623.887,3832697.42
72.5,10,340625.412,3832701.75
72.5,11,340626.977,3832706.2
72.5,12,340628.5,3832710.53
72.5,13,340630.016,3832714.83
72.5,14,340631.519,3832719.11
72.5,15,340633.039,3832723.43
72.5,16,340634.512,3832727.62
72.5,17,340636.009,3832731.87
72.5,18,340637.519,3832736.16
72.5,19,340639.037,3832740.48
72.5,20,340640.583,3832744.87
72.5,21,340642.094,3832749.16
72.5,22,340643.595,3832753.43
72.5,23,340645.148,3832757.84
72.5,24,340646.664,3832762.15
72.5,25,340648.177,3832766.45
72.5,26,340649.722,3832770.84
72.5,27,340651.242,3832775.16
72.5,28,340652.743,3832779.43
72.5,29,340654.28,3832783.43
72.5,30,340655.803,3832787.76
72.5,31,340657.323,3832792.09
72.5,32,340658.856,3832796.46
73.5,1,340611.258,3832663.11
73.5,2,340612.83,3832667.58
73.5,3,340614.399,3832672.04
73.5,4,340615.777,3832675.95
73.5,5,340617.224,3832680.07
73.5,6,340618.78,3832684.49
73.5,7,340620.391,3832689.07
73.5,8,340622.042,3832693.76
73.5,9,340623.439,3832697.73
73.5,10,340624.747,3832701.45
73.5,11,340626.356,3832706.03
73.5,12,340627.96,3832710.59
73.5,13,340629.41,3832714.71
73.5,14,340631.041,3832719.35
73.5,15,340632.62,3832723.83
73.5,16,340634.03,3832727.84
73.5,17,340635.482,3832731.97
73.5,18,340636.816,3832735.76
73.5,19,340638.44,3832740.38
73.5,20,340640.094,3832745.08
73.5,21,340641.611,3832749.39
73.5,22,340643.085,3832753.58
73.5,23,340644.667,3832758.08
73.5,24,340646.264,3832762.62
73.5,25,340647.78,3832766.93
73.5,26,340649.277,3832771.19
73.5,27,340650.813,3832775.55
73.5,28,340652.22,3832779.55
73.5,29,340653.747,3832783.89
73.5,30,340655.377,3832788.52
73.5,31,340656.891,3832792.83
73.5,32,340658.449,3832797.26
74.5,1,340610.54,3832663.21
74.5,2,340612.111,3832667.69
74.5,3,340613.625,3832672
74.5,4,340614.927,3832676.37
74.5,5,340616.475,3832680.77
74.5,6,340617.967,3832685.01
74.5,7,340619.485,3832689.33
74.5,8,340621.027,3832693.71
74.5,9,340622.494,3832697.88
74.5,10,340624.019,3832702.21
74.5,11,340625.587,3832706.67
74.5,12,340627.109,3832711
74.5,13,340628.625,3832715.31
74.5,14,340630.131,3832719.59
74.5,15,340631.65,3832723.91
74.5,16,340633.12,3832728.09
74.5,17,340634.616,3832732.34
74.5,18,340636.125,3832736.63
74.5,19,340637.645,3832740.95
74.5,20,340639.189,3832745.34
74.5,21,340640.698,3832749.63
74.5,22,340642.198,3832753.89
74.5,23,340643.753,3832758.31
74.5,24,340645.268,3832762.62
74.5,25,340646.781,3832766.92
74.5,26,340648.327,3832771.31
74.5,27,340649.846,3832775.63
74.5,28,340651.348,3832779.9
74.5,29,340652.888,3832783.89
74.5,30,340654.412,3832788.23
74.5,31,340655.933,3832792.57
74.5,32,340657.467,3832796.93
75.5,1,340609.85,3832663.44
75.5,2,340611.421,3832667.92
75.5,3,340612.935,3832672.23
75.5,4,340614.232,3832676.6
75.5,5,340615.781,3832681
75.5,6,340617.272,3832685.24
75.5,7,340618.79,3832689.56
75.5,8,340620.331,3832693.94
75.5,9,340621.797,3832698.11
75.5,10,340623.323,3832702.44
75.5,11,340624.892,3832706.91
75.5,12,340626.413,3832711.23
75.5,13,340627.929,3832715.54
75.5,14,340629.437,3832719.83
75.5,15,340630.955,3832724.15
75.5,16,340632.425,3832728.32
75.5,17,340633.919,3832732.57
75.5,18,340635.429,3832736.86
75.5,19,340636.948,3832741.18
75.5,20,340638.492,3832745.57
75.5,21,340640,3832749.86
75.5,22,340641.5,3832754.12
75.5,23,340643.056,3832758.55
75.5,24,340644.57,3832762.85
75.5,25,340646.082,3832767.15
75.5,26,340647.629,3832771.55
75.5,27,340649.148,3832775.87
75.5,28,340650.65,3832780.13
75.5,29,340652.191,3832784.12
75.5,30,340653.716,3832788.46
75.5,31,340655.238,3832792.8
75.5,32,340656.772,3832797.17
76.5,1,340609.16,3832663.67
76.5,2,340610.732,3832668.15
76.5,3,340612.246,3832672.46
76.5,4,340613.537,3832676.83
76.5,5,340615.087,3832681.24
76.5,6,340616.578,3832685.48
76.5,7,340618.095,3832689.79
76.5,8,340619.635,3832694.17
76.5,9,340621.1,3832698.34
76.5,10,340622.626,3832702.68
76.5,11,340624.196,3832707.14
76.5,12,340625.717,3832711.46
76.5,13,340627.234,3832715.78
76.5,14,340628.743,3832720.07
76.5,15,340630.261,3832724.38
76.5,16,340631.729,3832728.56
76.5,17,340633.223,3832732.81
76.5,18,340634.732,3832737.1
76.5,19,340636.252,3832741.42
76.5,20,340637.795,3832745.81
76.5,21,340639.302,3832750.09
76.5,22,340640.802,3832754.35
76.5,23,340642.358,3832758.78
76.5,24,340643.872,3832763.08
76.5,25,340645.384,3832767.38
76.5,26,340646.931,3832771.78
76.5,27,340648.45,3832776.1
76.5,28,340649.952,3832780.37
76.5,29,340651.495,3832784.35
76.5,30,340653.02,3832788.69
76.5,31,340654.543,3832793.04
76.5,32,340656.077,3832797.41
77.5,1,340608.469,3832663.9
77.5,2,340610.043,3832668.38
77.5,3,340611.556,3832672.7
77.5,4,340612.843,3832677.07
77.5,5,340614.392,3832681.48
77.5,6,340615.883,3832685.71
77.5,7,340617.4,3832690.03
77.5,8,340618.939,3832694.41
77.5,9,340620.404,3832698.57
77.5,10,340621.93,3832702.91
77.5,11,340623.501,3832707.38
77.5,12,340625.021,3832711.7
77.5,13,340626.538,3832716.01
77.5,14,340628.049,3832720.31
77.5,15,340629.566,3832724.62
77.5,16,340631.033,3832728.79
77.5,17,340632.526,3832733.04
77.5,18,340634.035,3832737.33
77.5,19,340635.555,3832741.65
77.5,20,340637.098,3832746.04
77.5,21,340638.604,3832750.32
77.5,22,340640.104,3832754.59
77.5,23,340641.661,3832759.01
77.5,24,340643.174,3832763.32
77.5,25,340644.686,3832767.62
77.5,26,340646.233,3832772.02
77.5,27,340647.752,3832776.33
77.5,28,340649.255,3832780.61
77.5,29,340650.799,3832784.58
77.5,30,340652.325,3832788.93
77.5,31,340653.848,3832793.27
77.5,32,340655.383,3832797.64
78.5,1,340607.779,3832664.12
78.5,2,340609.354,3832668.61
78.5,3,340610.866,3832672.93
78.5,4,340612.148,3832677.3
78.5,5,340613.698,3832681.71
78.5,6,340615.188,3832685.95
78.5,7,340616.705,3832690.26
78.5,8,340618.243,3832694.64
78.5,9,340619.707,3832698.8
78.5,10,340621.234,3832703.14
78.5,11,340622.806,3832707.61
78.5,12,340624.325,3832711.93
78.5,13,340625.843,3832716.25
78.5,14,340627.355,3832720.55
78.5,15,340628.872,3832724.86
