Plot ID,PI,RA1,RW,XofY
SF-BE-r1-p0482,PI_550604,11,2,2 of 4
SF-BE-r1-p0483,PI_550604,11,3,3 of 4
SF-BE-r1-p0484,PI_550604,11,4,4 of 4
SF-BE-r1-p0485,PI_226096,11,5,1 of 4
SF-BE-r1-p0486,PI_226096,11,6,2 of 4
SF-BE-r1-p0487,PI_226096,11,7,3 of 4
SF-BE-r1-p0488,PI_226096,11,8,4 of 4
SF-BE-r1-p0489,PI_653616,11,9,1 of 4
SF-BE-r1-p0490,PI_653616,11,10,2 of 4
SF-BE-r1-p0491,PI_653616,11,11,3 of 4
SF-BE-r1-p0492,PI_653616,11,12,4 of 4
SF-BE-r1-p0493,PI_22913,11,13,1 of 4
SF-BE-r1-p0494,PI_22913,11,14,2 of 4
SF-BE-r1-p0495,PI_22913,11,15,3 of 4
SF-BE-r1-p0496,PI_22913,11,16,4 of 4
SF-BE-r1-p0497,PI_562971,11,17,1 of 4
SF-BE-r1-p0498,PI_562971,11,18,2 of 4
SF-BE-r1-p0499,PI_562971,11,19,3 of 4
SF-BE-r1-p0500,PI_562971,11,20,4 of 4
SF-BE-r1-p0501,PI_156217,11,21,1 of 4
SF-BE-r1-p0502,PI_156217,11,22,2 of 4
SF-BE-r1-p0503,PI_156217,11,23,3 of 4
SF-BE-r1-p0504,PI_156217,11,24,4 of 4
SF-BE-r1-p0505,PI_569460,11,25,1 of 4
SF-BE-r1-p0506,PI_569460,11,26,2 of 4
SF-BE-r1-p0507,PI_569460,11,27,3 of 4
SF-BE-r1-p0508,PI_569460,11,28,4 of 4
SF-BE-r1-p0509,PI_569453,11,29,1 of 4
SF-BE-r1-p0510,PI_569453,11,30,2 of 4
SF-BE-r1-p0511,PI_569453,11,31,3 of 4
SF-BE-r1-p0512,PI_569453,11,32,4 of 4
SF-BE-r1-p0513,PI_506030,11,33,1 of 4
SF-BE-r1-p0514,PI_506030,11,34,2 of 4
SF-BE-r1-p0515,PI_506030,11,35,3 of 4
SF-BE-r1-p0516,PI_506030,11,36,4 of 4
SF-BE-r1-p0517,PI_329338,11,37,1 of 4
SF-BE-r1-p0518,PI_329338,11,38,2 of 4
SF-BE-r1-p0519,PI_329338,11,39,3 of 4
SF-BE-r1-p0520,PI_329338,11,40,4 of 4
SF-BE-r1-p0521,PI_329569,11,41,1 of 4
SF-BE-r1-p0522,PI_329569,11,42,2 of 4
SF-BE-r1-p0523,PI_329569,11,43,3 of 4
SF-BE-r1-p0524,PI_329569,11,44,4 of 4
SF-BE-r1-p0525,PI_152816,11,45,1 of 4
SF-BE-r1-p0526,PI_152816,11,46,2 of 4
SF-BE-r1-p0527,PI_152816,11,47,3 of 4
SF-BE-r1-p0528,PI_152816,11,48,4 of 4
SF-BE-r1-p0529,PI_534165,12,1,1 of 4
SF-BE-r1-p0530,PI_534165,12,2,2 of 4
SF-BE-r1-p0531,PI_534165,12,3,3 of 4
SF-BE-r1-p0532,PI_534165,12,4,4 of 4
SF-BE-r1-p0533,PI_176766,12,5,1 of 4
SF-BE-r1-p0534,PI_176766,12,6,2 of 4
SF-BE-r1-p0535,PI_176766,12,7,3 of 4
SF-BE-r1-p0536,PI_176766,12,8,4 of 4
SF-BE-r1-p0537,PI_656035,12,9,1 of 4
SF-BE-r1-p0538,PI_656035,12,10,2 of 4
SF-BE-r1-p0539,PI_656035,12,11,3 of 4
SF-BE-r1-p0540,PI_656035,12,12,4 of 4
SF-BE-r1-p0541,PI_145632,12,13,1 of 4
SF-BE-r1-p0542,PI_145632,12,14,2 of 4
SF-BE-r1-p0543,PI_145632,12,15,3 of 4
SF-BE-r1-p0544,PI_145632,12,16,4 of 4
SF-BE-r1-p0545,PI_330858,12,17,1 of 4
SF-BE-r1-p0546,PI_330858,12,18,2 of 4
SF-BE-r1-p0547,PI_330858,12,19,3 of 4
SF-BE-r1-p0548,PI_330858,12,20,4 of 4
SF-BE-r1-p0549,PI_570431,12,21,1 of 4
SF-BE-r1-p0550,PI_570431,12,22,2 of 4
SF-BE-r1-p0551,PI_570431,12,23,3 of 4
SF-BE-r1-p0552,PI_570431,12,24,4 of 4
SF-BE-r1-p0553,PI_157030,12,25,1 of 4
SF-BE-r1-p0554,PI_157030,12,26,2 of 4
SF-BE-r1-p0555,PI_157030,12,27,3 of 4
SF-BE-r1-p0556,PI_157030,12,28,4 of 4
SF-BE-r1-p0557,PI_157035,12,29,1 of 4
SF-BE-r1-p0558,PI_157035,12,30,2 of 4
SF-BE-r1-p0559,PI_157035,12,31,3 of 4
SF-BE-r1-p0560,PI_157035,12,32,4 of 4
SF-BE-r1-p0561,PI_329550,12,33,1 of 4
SF-BE-r1-p0562,PI_329550,12,34,2 of 4
SF-BE-r1-p0563,PI_329550,12,35,3 of 4
SF-BE-r1-p0564,PI_329550,12,36,4 of 4
SF-BE-r1-p0565,PI_152751,12,37,1 of 4
SF-BE-r1-p0566,PI_152751,12,38,2 of 4
SF-BE-r1-p0567,PI_152751,12,39,3 of 4
SF-BE-r1-p0568,PI_152751,12,40,4 of 4
SF-BE-r1-p0569,PI_337689,12,41,1 of 4
SF-BE-r1-p0570,PI_337689,12,42,2 of 4
SF-BE-r1-p0571,PI_337689,12,43,3 of 4
SF-BE-r1-p0572,PI_337689,12,44,4 of 4
SF-BE-r1-p0573,PI_154846,12,45,1 of 4
SF-BE-r1-p0574,PI_154846,12,46,2 of 4
SF-BE-r1-p0575,PI_154846,12,47,3 of 4
SF-BE-r1-p0576,PI_154846,12,48,4 of 4
SF-BE-r1-p0577,PI_542718,13,1,1 of 4
SF-BE-r1-p0578,PI_542718,13,2,2 of 4
SF-BE-r1-p0579,PI_542718,13,3,3 of 4
SF-BE-r1-p0580,PI_542718,13,4,4 of 4
SF-BE-r1-p0581,PI_156890,13,5,1 of 4
SF-BE-r1-p0582,PI_156890,13,6,2 of 4
SF-BE-r1-p0583,PI_156890,13,7,3 of 4
SF-BE-r1-p0584,PI_156890,13,8,4 of 4
SF-BE-r1-p0585,PI_229841,13,9,1 of 4
SF-BE-r1-p0586,PI_229841,13,10,2 of 4
SF-BE-r1-p0587,PI_229841,13,11,3 of 4
SF-BE-r1-p0588,PI_229841,13,12,4 of 4
SF-BE-r1-p0589,PI_152965,13,13,1 of 4
SF-BE-r1-p0590,PI_152965,13,14,2 of 4
SF-BE-r1-p0591,PI_152965,13,15,3 of 4
SF-BE-r1-p0592,PI_152965,13,16,4 of 4
SF-BE-r1-p0593,PI_619838,13,17,1 of 4
SF-BE-r1-p0594,PI_619838,13,18,2 of 4
SF-BE-r1-p0595,PI_619838,13,19,3 of 4
SF-BE-r1-p0596,PI_619838,13,20,4 of 4
SF-BE-r1-p0597,PI_330182,13,21,1 of 4
SF-BE-r1-p0598,PI_330182,13,22,2 of 4
SF-BE-r1-p0599,PI_330182,13,23,3 of 4
SF-BE-r1-p0600,PI_330182,13,24,4 of 4
SF-BE-r1-p0601,PI_329644,13,25,1 of 4
SF-BE-r1-p0602,PI_329644,13,26,2 of 4
SF-BE-r1-p0603,PI_329644,13,27,3 of 4
SF-BE-r1-p0604,PI_329644,13,28,4 of 4
SF-BE-r1-p0605,PI_569097,13,29,1 of 4
SF-BE-r1-p0606,PI_569097,13,30,2 of 4
SF-BE-r1-p0607,PI_569097,13,31,3 of 4
SF-BE-r1-p0608,PI_569097,13,32,4 of 4
SF-BE-r1-p0609,PI_643008,13,33,1 of 4
SF-BE-r1-p0610,PI_643008,13,34,2 of 4
SF-BE-r1-p0611,PI_643008,13,35,3 of 4
SF-BE-r1-p0612,PI_643008,13,36,4 of 4
SF-BE-r1-p0613,PI_329301,13,37,1 of 4
SF-BE-r1-p0614,PI_329301,13,38,2 of 4
SF-BE-r1-p0615,PI_329301,13,39,3 of 4
SF-BE-r1-p0616,PI_329301,13,40,4 of 4
SF-BE-r1-p0617,PI_569425,13,41,1 of 4
SF-BE-r1-p0618,PI_569425,13,42,2 of 4
SF-BE-r1-p0619,PI_569425,13,43,3 of 4
SF-BE-r1-p0620,PI_569425,13,44,4 of 4
SF-BE-r1-p0621,PI_570393,13,45,1 of 4
SF-BE-r1-p0622,PI_570393,13,46,2 of 4
SF-BE-r1-p0623,PI_570393,13,47,3 of 4
SF-BE-r1-p0624,PI_570393,13,48,4 of 4
SF-BE-r1-p0625,PI_655972,14,1,1 of 4
SF-BE-r1-p0626,PI_655972,14,2,2 of 4
SF-BE-r1-p0627,PI_655972,14,3,3 of 4
SF-BE-r1-p0628,PI_655972,14,4,4 of 4
SF-BE-r1-p0629,PI_145633,14,5,1 of 4
SF-BE-r1-p0630,PI_145633,14,6,2 of 4
SF-BE-r1-p0631,PI_145633,14,7,3 of 4
SF-BE-r1-p0632,PI_145633,14,8,4 of 4
SF-BE-r1-p0633,PI_641835,14,9,1 of 4
SF-BE-r1-p0634,PI_641835,14,10,2 of 4
SF-BE-r1-p0635,PI_641835,14,11,3 of 4
SF-BE-r1-p0636,PI_641835,14,12,4 of 4
SF-BE-r1-p0637,PI_641860,14,13,1 of 4
SF-BE-r1-p0638,PI_641860,14,14,2 of 4
SF-BE-r1-p0639,PI_641860,14,15,3 of 4
SF-BE-r1-p0640,PI_641860,14,16,4 of 4
SF-BE-r1-p0641,PI_513898,14,17,1 of 4
SF-BE-r1-p0642,PI_513898,14,18,2 of 4
SF-BE-r1-p0643,PI_513898,14,19,3 of 4
SF-BE-r1-p0644,PI_513898,14,20,4 of 4
SF-BE-r1-p0645,PI_506069,14,21,1 of 4
SF-BE-r1-p0646,PI_506069,14,22,2 of 4
SF-BE-r1-p0647,PI_506069,14,23,3 of 4
SF-BE-r1-p0648,PI_506069,14,24,4 of 4
SF-BE-r1-p0649,PI_273465,14,25,1 of 4
SF-BE-r1-p0650,PI_273465,14,26,2 of 4
SF-BE-r1-p0651,PI_273465,14,27,3 of 4
SF-BE-r1-p0652,PI_273465,14,28,4 of 4
SF-BE-r1-p0653,PI_329570,14,29,1 of 4
SF-BE-r1-p0654,PI_329570,14,30,2 of 4
SF-BE-r1-p0655,PI_329570,14,31,3 of 4
SF-BE-r1-p0656,PI_329570,14,32,4 of 4
SF-BE-r1-p0657,PI_152961,14,33,1 of 4
SF-BE-r1-p0658,PI_152961,14,34,2 of 4
SF-BE-r1-p0659,PI_152961,14,35,3 of 4
SF-BE-r1-p0660,PI_152961,14,36,4 of 4
SF-BE-r1-p0661,PI_154987,14,37,1 of 4
SF-BE-r1-p0662,PI_154987,14,38,2 of 4
SF-BE-r1-p0663,PI_154987,14,39,3 of 4
SF-BE-r1-p0664,PI_154987,14,40,4 of 4
SF-BE-r1-p0665,PI_569423,14,41,1 of 4
SF-BE-r1-p0666,PI_569423,14,42,2 of 4
SF-BE-r1-p0667,PI_569423,14,43,3 of 4
SF-BE-r1-p0668,PI_569423,14,44,4 of 4
SF-BE-r1-p0669,PI_646242,14,45,1 of 4
SF-BE-r1-p0670,PI_646242,14,46,2 of 4
SF-BE-r1-p0671,PI_646242,14,47,3 of 4
SF-BE-r1-p0672,PI_646242,14,48,4 of 4
SF-BE-r1-p0673,PI_656015,15,1,1 of 4
SF-BE-r1-p0674,PI_656015,15,2,2 of 4
SF-BE-r1-p0675,PI_656015,15,3,3 of 4
SF-BE-r1-p0676,PI_656015,15,4,4 of 4
SF-BE-r1-p0677,ATLAS,15,5,1 of 4
SF-BE-r1-p0678,ATLAS,15,6,2 of 4
SF-BE-r1-p0679,ATLAS,15,7,3 of 4
SF-BE-r1-p0680,ATLAS,15,8,4 of 4
SF-BE-r1-p0681,PI_330199,15,9,1 of 4
SF-BE-r1-p0682,PI_330199,15,10,2 of 4
SF-BE-r1-p0683,PI_330199,15,11,3 of 4
SF-BE-r1-p0684,PI_330199,15,12,4 of 4
SF-BE-r1-p0685,PI_651491,15,13,1 of 4
SF-BE-r1-p0686,PI_651491,15,14,2 of 4
SF-BE-r1-p0687,PI_651491,15,15,3 of 4
SF-BE-r1-p0688,PI_651491,15,16,4 of 4
SF-BE-r1-p0689,PI_511355,15,17,1 of 4
SF-BE-r1-p0690,PI_511355,15,18,2 of 4
SF-BE-r1-p0691,PI_511355,15,19,3 of 4
SF-BE-r1-p0692,PI_511355,15,20,4 of 4
SF-BE-r1-p0693,PI_153877,15,21,1 of 4
SF-BE-r1-p0694,PI_153877,15,22,2 of 4
SF-BE-r1-p0695,PI_153877,15,23,3 of 4
SF-BE-r1-p0696,PI_153877,15,24,4 of 4
SF-BE-r1-p0697,PI_569421,15,25,1 of 4
SF-BE-r1-p0698,PI_569421,15,26,2 of 4
SF-BE-r1-p0699,PI_569421,15,27,3 of 4
SF-BE-r1-p0700,PI_569421,15,28,4 of 4
SF-BE-r1-p0701,PI_329471,15,29,1 of 4
SF-BE-r1-p0702,PI_329471,15,30,2 of 4
SF-BE-r1-p0703,PI_329471,15,31,3 of 4
SF-BE-r1-p0704,PI_329471,15,32,4 of 4
SF-BE-r1-p0705,PI_570031,15,33,1 of 4
SF-BE-r1-p0706,PI_570031,15,34,2 of 4
SF-BE-r1-p0707,PI_570031,15,35,3 of 4
SF-BE-r1-p0708,PI_570031,15,36,4 of 4
SF-BE-r1-p0709,PI_570047,15,37,1 of 4
SF-BE-r1-p0710,PI_570047,15,38,2 of 4
SF-BE-r1-p0711,PI_570047,15,39,3 of 4
SF-BE-r1-p0712,PI_570047,15,40,4 of 4
SF-BE-r1-p0713,PI_569457,15,41,1 of 4
SF-BE-r1-p0714,PI_569457,15,42,2 of 4
SF-BE-r1-p0715,PI_569457,15,43,3 of 4
SF-BE-r1-p0716,PI_569457,15,44,4 of 4
SF-BE-r1-p0717,PI_619807,15,45,1 of 4
SF-BE-r1-p0718,PI_619807,15,46,2 of 4
SF-BE-r1-p0719,PI_619807,15,47,3 of 4
SF-BE-r1-p0720,PI_619807,15,48,4 of 4
SF-BE-r1-p0721,PI_561840,16,1,1 of 4
SF-BE-r1-p0722,PI_561840,16,2,2 of 4
SF-BE-r1-p0723,PI_561840,16,3,3 of 4
SF-BE-r1-p0724,PI_561840,16,4,4 of 4
SF-BE-r1-p0725,PI_302252,16,5,1 of 4
SF-BE-r1-p0726,PI_302252,16,6,2 of 4
SF-BE-r1-p0727,PI_302252,16,7,3 of 4
SF-BE-r1-p0728,PI_302252,16,8,4 of 4
SF-BE-r1-p0729,PI_217691,16,9,1 of 4
SF-BE-r1-p0730,PI_217691,16,10,2 of 4
SF-BE-r1-p0731,PI_217691,16,11,3 of 4
SF-BE-r1-p0732,PI_217691,16,12,4 of 4
SF-BE-r1-p0733,PI_170787,16,13,1 of 4
SF-BE-r1-p0734,PI_170787,16,14,2 of 4
SF-BE-r1-p0735,PI_170787,16,15,3 of 4
SF-BE-r1-p0736,PI_170787,16,16,4 of 4
SF-BE-r1-p0737,PI_329843,16,17,1 of 4
SF-BE-r1-p0738,PI_329843,16,18,2 of 4
SF-BE-r1-p0739,PI_329843,16,19,3 of 4
SF-BE-r1-p0740,PI_329843,16,20,4 of 4
SF-BE-r1-p0741,PI_330807,16,21,1 of 4
SF-BE-r1-p0742,PI_330807,16,22,2 of 4
SF-BE-r1-p0743,PI_330807,16,23,3 of 4
SF-BE-r1-p0744,PI_330807,16,24,4 of 4
SF-BE-r1-p0745,PI_329440,16,25,1 of 4
SF-BE-r1-p0746,PI_329440,16,26,2 of 4
SF-BE-r1-p0747,PI_329440,16,27,3 of 4
SF-BE-r1-p0748,PI_329440,16,28,4 of 4
SF-BE-r1-p0749,CHECK,16,29,1 of 4
SF-BE-r1-p0750,CHECK,16,30,2 of 4
SF-BE-r1-p0751,CHECK,16,31,3 of 4
SF-BE-r1-p0752,CHECK,16,32,4 of 4
SF-BE-r1-p0753,PI_455307,16,33,1 of 4
SF-BE-r1-p0754,PI_455307,16,34,2 of 4
SF-BE-r1-p0755,PI_455307,16,35,3 of 4
SF-BE-r1-p0756,PI_455307,16,36,4 of 4
SF-BE-r1-p0757,PI_568717,16,37,1 of 4
SF-BE-r1-p0758,PI_568717,16,38,2 of 4
SF-BE-r1-p0759,PI_568717,16,39,3 of 4
SF-BE-r1-p0760,PI_568717,16,40,4 of 4
SF-BE-r1-p0761,PI_452542,16,41,1 of 4
SF-BE-r1-p0762,PI_452542,16,42,2 of 4
SF-BE-r1-p0763,PI_452542,16,43,3 of 4
SF-BE-r1-p0764,PI_452542,16,44,4 of 4
SF-BE-r1-p0765,PI_329351,16,45,1 of 4
SF-BE-r1-p0766,PI_329351,16,46,2 of 4
SF-BE-r1-p0767,PI_329351,16,47,3 of 4
SF-BE-r1-p0768,PI_329351,16,48,4 of 4
SF-BE-r1-p0769,PI_527045,17,1,1 of 4
SF-BE-r1-p0770,PI_527045,17,2,2 of 4
SF-BE-r1-p0771,PI_527045,17,3,3 of 4
SF-BE-r1-p0772,PI_527045,17,4,4 of 4
SF-BE-r1-p0773,PI_145619,17,5,1 of 4
SF-BE-r1-p0774,PI_145619,17,6,2 of 4
SF-BE-r1-p0775,PI_145619,17,7,3 of 4
SF-BE-r1-p0776,PI_145619,17,8,4 of 4
SF-BE-r1-p0777,PI_145626,17,9,1 of 4
SF-BE-r1-p0778,PI_145626,17,10,2 of 4
SF-BE-r1-p0779,PI_145626,17,11,3 of 4
SF-BE-r1-p0780,PI_145626,17,12,4 of 4
SF-BE-r1-p0781,PI_297155,17,13,1 of 4
SF-BE-r1-p0782,PI_297155,17,14,2 of 4
SF-BE-r1-p0783,PI_297155,17,15,3 of 4
SF-BE-r1-p0784,PI_297155,17,16,4 of 4
SF-BE-r1-p0785,PI_562981,17,17,1 of 4
SF-BE-r1-p0786,PI_562981,17,18,2 of 4
SF-BE-r1-p0787,PI_562981,17,19,3 of 4
SF-BE-r1-p0788,PI_562981,17,20,4 of 4
SF-BE-r1-p0789,PI_510757,17,21,1 of 4
SF-BE-r1-p0790,PI_510757,17,22,2 of 4
SF-BE-r1-p0791,PI_510757,17,23,3 of 4
SF-BE-r1-p0792,PI_510757,17,24,4 of 4
SF-BE-r1-p0793,PI_329394,17,25,1 of 4
SF-BE-r1-p0794,PI_329394,17,26,2 of 4
SF-BE-r1-p0795,PI_329394,17,27,3 of 4
SF-BE-r1-p0796,PI_329394,17,28,4 of 4
SF-BE-r1-p0797,PI_157033,17,29,1 of 4
SF-BE-r1-p0798,PI_157033,17,30,2 of 4
SF-BE-r1-p0799,PI_157033,17,31,3 of 4
SF-BE-r1-p0800,PI_157033,17,32,4 of 4
SF-BE-r1-p0801,PI_585452,17,33,1 of 4
SF-BE-r1-p0802,PI_585452,17,34,2 of 4
SF-BE-r1-p0803,PI_585452,17,35,3 of 4
SF-BE-r1-p0804,PI_585452,17,36,4 of 4
SF-BE-r1-p0805,PI_563196,17,37,1 of 4
SF-BE-r1-p0806,PI_563196,17,38,2 of 4
SF-BE-r1-p0807,PI_563196,17,39,3 of 4
SF-BE-r1-p0808,PI_563196,17,40,4 of 4
SF-BE-r1-p0809,PI_585966,17,41,1 of 4
SF-BE-r1-p0810,PI_585966,17,42,2 of 4
SF-BE-r1-p0811,PI_585966,17,43,3 of 4
SF-BE-r1-p0812,PI_585966,17,44,4 of 4
SF-BE-r1-p0813,PI_452692,17,45,1 of 4
SF-BE-r1-p0814,PI_452692,17,46,2 of 4
SF-BE-r1-p0815,PI_452692,17,47,3 of 4
SF-BE-r1-p0816,PI_452692,17,48,4 of 4
SF-BE-r1-p0817,PI_533998,18,1,1 of 4
SF-BE-r1-p0818,PI_533998,18,2,2 of 4
SF-BE-r1-p0819,PI_533998,18,3,3 of 4
SF-BE-r1-p0820,PI_533998,18,4,4 of 4
SF-BE-r1-p0821,PI_175919,18,5,1 of 4
SF-BE-r1-p0822,PI_175919,18,6,2 of 4
SF-BE-r1-p0823,PI_175919,18,7,3 of 4
SF-BE-r1-p0824,PI_175919,18,8,4 of 4
SF-BE-r1-p0825,PI_641892,18,9,1 of 4
SF-BE-r1-p0826,PI_641892,18,10,2 of 4
SF-BE-r1-p0827,PI_641892,18,11,3 of 4
SF-BE-r1-p0828,PI_641892,18,12,4 of 4
SF-BE-r1-p0829,PI_196583,18,13,1 of 4
SF-BE-r1-p0830,PI_196583,18,14,2 of 4
SF-BE-r1-p0831,PI_196583,18,15,3 of 4
SF-BE-r1-p0832,PI_196583,18,16,4 of 4
SF-BE-r1-p0833,PI_570109,18,17,1 of 4
SF-BE-r1-p0834,PI_570109,18,18,2 of 4
SF-BE-r1-p0835,PI_570109,18,19,3 of 4
SF-BE-r1-p0836,PI_570109,18,20,4 of 4
SF-BE-r1-p0837,PI_329300,18,21,1 of 4
SF-BE-r1-p0838,PI_329300,18,22,2 of 4
SF-BE-r1-p0839,PI_329300,18,23,3 of 4
SF-BE-r1-p0840,PI_329300,18,24,4 of 4
SF-BE-r1-p0841,PI_329510,18,25,1 of 4
SF-BE-r1-p0842,PI_329510,18,26,2 of 4
SF-BE-r1-p0843,PI_329510,18,27,3 of 4
SF-BE-r1-p0844,PI_329510,18,28,4 of 4
SF-BE-r1-p0845,PI_297130,18,29,1 of 4
SF-BE-r1-p0846,PI_297130,18,30,2 of 4
SF-BE-r1-p0847,PI_297130,18,31,3 of 4
SF-BE-r1-p0848,PI_297130,18,32,4 of 4
SF-BE-r1-p0849,PI_329326,18,33,1 of 4
SF-BE-r1-p0850,PI_329326,18,34,2 of 4
SF-BE-r1-p0851,PI_329326,18,35,3 of 4
SF-BE-r1-p0852,PI_329326,18,36,4 of 4
SF-BE-r1-p0853,PI_585454,18,37,1 of 4
SF-BE-r1-p0854,PI_585454,18,38,2 of 4
SF-BE-r1-p0855,PI_585454,18,39,3 of 4
SF-BE-r1-p0856,PI_585454,18,40,4 of 4
SF-BE-r1-p0857,PI_156463,18,41,1 of 4
SF-BE-r1-p0858,PI_156463,18,42,2 of 4
SF-BE-r1-p0859,PI_156463,18,43,3 of 4
SF-BE-r1-p0860,PI_156463,18,44,4 of 4
SF-BE-r1-p0861,PI_329541,18,45,1 of 4
SF-BE-r1-p0862,PI_329541,18,46,2 of 4
SF-BE-r1-p0863,PI_329541,18,47,3 of 4
SF-BE-r1-p0864,PI_329541,18,48,4 of 4
SF-BE-r1-p0865,PI_535794,19,1,1 of 4
SF-BE-r1-p0866,PI_535794,19,2,2 of 4
SF-BE-r1-p0867,PI_535794,19,3,3 of 4
SF-BE-r1-p0868,PI_535794,19,4,4 of 4
SF-BE-r1-p0869,PI_540518,19,5,1 of 4
SF-BE-r1-p0870,PI_540518,19,6,2 of 4
SF-BE-r1-p0871,PI_540518,19,7,3 of 4
SF-BE-r1-p0872,PI_540518,19,8,4 of 4
SF-BE-r1-p0873,PI_641830,19,9,1 of 4
SF-BE-r1-p0874,PI_641830,19,10,2 of 4
SF-BE-r1-p0875,PI_641830,19,11,3 of 4
SF-BE-r1-p0876,PI_641830,19,12,4 of 4
SF-BE-r1-p0877,PI_19770,19,13,1 of 4
SF-BE-r1-p0878,PI_19770,19,14,2 of 4
SF-BE-r1-p0879,PI_19770,19,15,3 of 4
SF-BE-r1-p0880,PI_19770,19,16,4 of 4
SF-BE-r1-p0881,PI_505717,19,17,1 of 4
SF-BE-r1-p0882,PI_505717,19,18,2 of 4
SF-BE-r1-p0883,PI_505717,19,19,3 of 4
SF-BE-r1-p0884,PI_505717,19,20,4 of 4
SF-BE-r1-p0885,PI_563350,19,21,1 of 4
SF-BE-r1-p0886,PI_563350,19,22,2 of 4
SF-BE-r1-p0887,PI_563350,19,23,3 of 4
SF-BE-r1-p0888,PI_563350,19,24,4 of 4
SF-BE-r1-p0889,PI_521280,19,25,1 of 4
SF-BE-r1-p0890,PI_521280,19,26,2 of 4
SF-BE-r1-p0891,PI_521280,19,27,3 of 4
SF-BE-r1-p0892,PI_521280,19,28,4 of 4
SF-BE-r1-p0893,PI_562997,19,29,1 of 4
SF-BE-r1-p0894,PI_562997,19,30,2 of 4
SF-BE-r1-p0895,PI_562997,19,31,3 of 4
SF-BE-r1-p0896,PI_562997,19,32,4 of 4
SF-BE-r1-p0897,PI_570096,19,33,1 of 4
SF-BE-r1-p0898,PI_570096,19,34,2 of 4
SF-BE-r1-p0899,PI_570096,19,35,3 of 4
SF-BE-r1-p0900,PI_570096,19,36,4 of 4
SF-BE-r1-p0901,PI_563348,19,37,1 of 4
SF-BE-r1-p0902,PI_563348,19,38,2 of 4
SF-BE-r1-p0903,PI_563348,19,39,3 of 4
SF-BE-r1-p0904,PI_563348,19,40,4 of 4
SF-BE-r1-p0905,PI_646251,19,41,1 of 4
SF-BE-r1-p0906,PI_646251,19,42,2 of 4
SF-BE-r1-p0907,PI_646251,19,43,3 of 4
SF-BE-r1-p0908,PI_646251,19,44,4 of 4
SF-BE-r1-p0909,PI_563331,19,45,1 of 4
SF-BE-r1-p0910,PI_563331,19,46,2 of 4
SF-BE-r1-p0911,PI_563331,19,47,3 of 4
SF-BE-r1-p0912,PI_563331,19,48,4 of 4
SF-BE-r1-p0913,PI_576401,20,1,1 of 4
SF-BE-r1-p0914,PI_576401,20,2,2 of 4
SF-BE-r1-p0915,PI_576401,20,3,3 of 4
SF-BE-r1-p0916,PI_576401,20,4,4 of 4
SF-BE-r1-p0917,PI_655981,20,5,1 of 4
SF-BE-r1-p0918,PI_655981,20,6,2 of 4
SF-BE-r1-p0919,PI_655981,20,7,3 of 4
SF-BE-r1-p0920,PI_655981,20,8,4 of 4
SF-BE-r1-p0921,PI_179749,20,9,1 of 4
SF-BE-r1-p0922,PI_179749,20,10,2 of 4
SF-BE-r1-p0923,PI_179749,20,11,3 of 4
SF-BE-r1-p0924,PI_179749,20,12,4 of 4
SF-BE-r1-p0925,PI_35038,20,13,1 of 4
SF-BE-r1-p0926,PI_35038,20,14,2 of 4
SF-BE-r1-p0927,PI_35038,20,15,3 of 4
SF-BE-r1-p0928,PI_35038,20,16,4 of 4
SF-BE-r1-p0929,PI_330181,20,17,1 of 4
SF-BE-r1-p0930,PI_330181,20,18,2 of 4
SF-BE-r1-p0931,PI_330181,20,19,3 of 4
SF-BE-r1-p0932,PI_330181,20,20,4 of 4
SF-BE-r1-p0933,PI_563332,20,21,1 of 4
SF-BE-r1-p0934,PI_563332,20,22,2 of 4
SF-BE-r1-p0935,PI_563332,20,23,3 of 4
SF-BE-r1-p0936,PI_563332,20,24,4 of 4
SF-BE-r1-p0937,PI_330169,20,25,1 of 4
SF-BE-r1-p0938,PI_330169,20,26,2 of 4
SF-BE-r1-p0939,PI_330169,20,27,3 of 4
SF-BE-r1-p0940,PI_330169,20,28,4 of 4
SF-BE-r1-p0941,PI_570371,20,29,1 of 4
SF-BE-r1-p0942,PI_570371,20,30,2 of 4
SF-BE-r1-p0943,PI_570371,20,31,3 of 4
SF-BE-r1-p0944,PI_570371,20,32,4 of 4
SF-BE-r1-p0945,PI_329711,20,33,1 of 4
SF-BE-r1-p0946,PI_329711,20,34,2 of 4
SF-BE-r1-p0947,PI_329711,20,35,3 of 4
SF-BE-r1-p0948,PI_329711,20,36,4 of 4
SF-BE-r1-p0949,PI_570373,20,37,1 of 4
SF-BE-r1-p0950,PI_570373,20,38,2 of 4
SF-BE-r1-p0951,PI_570373,20,39,3 of 4
SF-BE-r1-p0952,PI_570373,20,40,4 of 4
SF-BE-r1-p0953,PI_276837,20,41,1 of 4
SF-BE-r1-p0954,PI_276837,20,42,2 of 4
SF-BE-r1-p0955,PI_276837,20,43,3 of 4
SF-BE-r1-p0956,PI_276837,20,44,4 of 4
SF-BE-r1-p0957,PI_562781,20,45,1 of 4
SF-BE-r1-p0958,PI_562781,20,46,2 of 4
SF-BE-r1-p0959,PI_562781,20,47,3 of 4
SF-BE-r1-p0960,PI_562781,20,48,4 of 4
SF-BE-r1-p0961,PI_154988,21,1,1 of 4
SF-BE-r1-p0962,PI_154988,21,2,2 of 4
SF-BE-r1-p0963,PI_154988,21,3,3 of 4
