Plot ID,PI,RA1,RW,XofY
SF-BE-r1-p0097,PI_535783,3,1,1 of 4
SF-BE-r1-p0098,PI_535783,3,2,2 of 4
SF-BE-r1-p0099,PI_535783,3,3,3 of 4
SF-BE-r1-p0100,PI_535783,3,4,4 of 4
SF-BE-r1-p0101,PI_653617,3,5,1 of 4
SF-BE-r1-p0102,PI_653617,3,6,2 of 4
SF-BE-r1-p0103,PI_653617,3,7,3 of 4
SF-BE-r1-p0104,PI_653617,3,8,4 of 4
SF-BE-r1-p0105,PI_213900,3,9,1 of 4
SF-BE-r1-p0106,PI_213900,3,10,2 of 4
SF-BE-r1-p0107,PI_213900,3,11,3 of 4
SF-BE-r1-p0108,PI_213900,3,12,4 of 4
SF-BE-r1-p0109,PI_641817,3,13,1 of 4
SF-BE-r1-p0110,PI_641817,3,14,2 of 4
SF-BE-r1-p0111,PI_641817,3,15,3 of 4
SF-BE-r1-p0112,PI_641817,3,16,4 of 4
SF-BE-r1-p0113,PI_563021,3,17,1 of 4
SF-BE-r1-p0114,PI_563021,3,18,2 of 4
SF-BE-r1-p0115,PI_563021,3,19,3 of 4
SF-BE-r1-p0116,PI_563021,3,20,4 of 4
SF-BE-r1-p0117,PI_570071,3,21,1 of 4
SF-BE-r1-p0118,PI_570071,3,22,2 of 4
SF-BE-r1-p0119,PI_570071,3,23,3 of 4
SF-BE-r1-p0120,PI_570071,3,24,4 of 4
SF-BE-r1-p0121,PI_514456,3,25,1 of 4
SF-BE-r1-p0122,PI_514456,3,26,2 of 4
SF-BE-r1-p0123,PI_514456,3,27,3 of 4
SF-BE-r1-p0124,PI_514456,3,28,4 of 4
SF-BE-r1-p0125,PI_330184,3,29,1 of 4
SF-BE-r1-p0126,PI_330184,3,30,2 of 4
SF-BE-r1-p0127,PI_330184,3,31,3 of 4
SF-BE-r1-p0128,PI_330184,3,32,4 of 4
SF-BE-r1-p0129,PI_156326,3,33,1 of 4
SF-BE-r1-p0130,PI_156326,3,34,2 of 4
SF-BE-r1-p0131,PI_156326,3,35,3 of 4
SF-BE-r1-p0132,PI_156326,3,36,4 of 4
SF-BE-r1-p0133,PI_329518,3,37,1 of 4
SF-BE-r1-p0134,PI_329518,3,38,2 of 4
SF-BE-r1-p0135,PI_329518,3,39,3 of 4
SF-BE-r1-p0136,PI_329518,3,40,4 of 4
SF-BE-r1-p0137,PI_570400,3,41,1 of 4
SF-BE-r1-p0138,PI_570400,3,42,2 of 4
SF-BE-r1-p0139,PI_570400,3,43,3 of 4
SF-BE-r1-p0140,PI_570400,3,44,4 of 4
SF-BE-r1-p0141,PI_570076,3,45,1 of 4
SF-BE-r1-p0142,PI_570076,3,46,2 of 4
SF-BE-r1-p0143,PI_570076,3,47,3 of 4
SF-BE-r1-p0144,PI_570076,3,48,4 of 4
SF-BE-r1-p0145,PI_564163,4,1,1 of 4
SF-BE-r1-p0146,PI_564163,4,2,2 of 4
SF-BE-r1-p0147,PI_564163,4,3,3 of 4
SF-BE-r1-p0148,PI_564163,4,4,4 of 4
SF-BE-r1-p0149,PI_197542,4,5,1 of 4
SF-BE-r1-p0150,PI_197542,4,6,2 of 4
SF-BE-r1-p0151,PI_197542,4,7,3 of 4
SF-BE-r1-p0152,PI_197542,4,8,4 of 4
SF-BE-r1-p0153,PI_146890,4,9,1 of 4
SF-BE-r1-p0154,PI_146890,4,10,2 of 4
SF-BE-r1-p0155,PI_146890,4,11,3 of 4
SF-BE-r1-p0156,PI_146890,4,12,4 of 4
SF-BE-r1-p0157,PI_218112,4,13,1 of 4
SF-BE-r1-p0158,PI_218112,4,14,2 of 4
SF-BE-r1-p0159,PI_218112,4,15,3 of 4
SF-BE-r1-p0160,PI_218112,4,16,4 of 4
SF-BE-r1-p0161,PI_330195,4,17,1 of 4
SF-BE-r1-p0162,PI_330195,4,18,2 of 4
SF-BE-r1-p0163,PI_330195,4,19,3 of 4
SF-BE-r1-p0164,PI_330195,4,20,4 of 4
SF-BE-r1-p0165,PI_569886,4,21,1 of 4
SF-BE-r1-p0166,PI_569886,4,22,2 of 4
SF-BE-r1-p0167,PI_569886,4,23,3 of 4
SF-BE-r1-p0168,PI_569886,4,24,4 of 4
SF-BE-r1-p0169,PI_569447,4,25,1 of 4
SF-BE-r1-p0170,PI_569447,4,26,2 of 4
SF-BE-r1-p0171,PI_569447,4,27,3 of 4
SF-BE-r1-p0172,PI_569447,4,28,4 of 4
SF-BE-r1-p0173,PI_329310,4,29,1 of 4
SF-BE-r1-p0174,PI_329310,4,30,2 of 4
SF-BE-r1-p0175,PI_329310,4,31,3 of 4
SF-BE-r1-p0176,PI_329310,4,32,4 of 4
SF-BE-r1-p0177,PI_505722,4,33,1 of 4
SF-BE-r1-p0178,PI_505722,4,34,2 of 4
SF-BE-r1-p0179,PI_505722,4,35,3 of 4
SF-BE-r1-p0180,PI_505722,4,36,4 of 4
SF-BE-r1-p0181,PI_329519,4,37,1 of 4
SF-BE-r1-p0182,PI_329519,4,38,2 of 4
SF-BE-r1-p0183,PI_329519,4,39,3 of 4
SF-BE-r1-p0184,PI_329519,4,40,4 of 4
SF-BE-r1-p0185,PI_156203,4,41,1 of 4
SF-BE-r1-p0186,PI_156203,4,42,2 of 4
SF-BE-r1-p0187,PI_156203,4,43,3 of 4
SF-BE-r1-p0188,PI_156203,4,44,4 of 4
SF-BE-r1-p0189,PI_329841,4,45,1 of 4
SF-BE-r1-p0190,PI_329841,4,46,2 of 4
SF-BE-r1-p0191,PI_329841,4,47,3 of 4
SF-BE-r1-p0192,PI_329841,4,48,4 of 4
SF-BE-r1-p0193,PI_533902,5,1,1 of 4
SF-BE-r1-p0194,PI_533902,5,2,2 of 4
SF-BE-r1-p0195,PI_533902,5,3,3 of 4
SF-BE-r1-p0196,PI_533902,5,4,4 of 4
SF-BE-r1-p0197,PI_641821,5,5,1 of 4
SF-BE-r1-p0198,PI_641821,5,6,2 of 4
SF-BE-r1-p0199,PI_641821,5,7,3 of 4
SF-BE-r1-p0200,PI_641821,5,8,4 of 4
SF-BE-r1-p0201,PI_641836,5,9,1 of 4
SF-BE-r1-p0202,PI_641836,5,10,2 of 4
SF-BE-r1-p0203,PI_641836,5,11,3 of 4
SF-BE-r1-p0204,PI_641836,5,12,4 of 4
SF-BE-r1-p0205,PI_651496,5,13,1 of 4
SF-BE-r1-p0206,PI_651496,5,14,2 of 4
SF-BE-r1-p0207,PI_651496,5,15,3 of 4
SF-BE-r1-p0208,PI_651496,5,16,4 of 4
SF-BE-r1-p0209,PI_569433,5,17,1 of 4
SF-BE-r1-p0210,PI_569433,5,18,2 of 4
SF-BE-r1-p0211,PI_569433,5,19,3 of 4
SF-BE-r1-p0212,PI_569433,5,20,4 of 4
SF-BE-r1-p0213,PI_569419,5,21,1 of 4
SF-BE-r1-p0214,PI_569419,5,22,2 of 4
SF-BE-r1-p0215,PI_569419,5,23,3 of 4
SF-BE-r1-p0216,PI_569419,5,24,4 of 4
SF-BE-r1-p0217,PI_329699,5,25,1 of 4
SF-BE-r1-p0218,PI_329699,5,26,2 of 4
SF-BE-r1-p0219,PI_329699,5,27,3 of 4
SF-BE-r1-p0220,PI_329699,5,28,4 of 4
SF-BE-r1-p0221,PI_330833,5,29,1 of 4
SF-BE-r1-p0222,PI_330833,5,30,2 of 4
SF-BE-r1-p0223,PI_330833,5,31,3 of 4
SF-BE-r1-p0224,PI_330833,5,32,4 of 4
SF-BE-r1-p0225,PI_569416,5,33,1 of 4
SF-BE-r1-p0226,PI_569416,5,34,2 of 4
SF-BE-r1-p0227,PI_569416,5,35,3 of 4
SF-BE-r1-p0228,PI_569416,5,36,4 of 4
SF-BE-r1-p0229,PI_154844,5,37,1 of 4
