 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw10,52.0167,30.2334,25.3552,3.4858,35.5108,55.9628,47.8291,8.2719,20.4903,66.1361,7.0847,10.304,55.8551,50.4997,55.659,54.3778,26.5457,40.8237,20.9951,45.7622,12.6167,41.0956,66.3592,30.1191,47.4452,50.3622,33.7837,35.5236,40.2109,53.7337,36.1614,44.3496
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw13,36.3572,5.2661,14.321,21.7888,14.4496,13.2762,22.3514,6.8432,15.411,44.6299,29.9074,13.029,22.8955,45.2653,53.5884,46.0913,39.6449,6.0915,3.2525,25.7214,40.9948,58.008,54.6046,44.2065,28.4336,34.3221,41.9648,52.1256,26.8632,37.425,35.6091, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw18,17.8748,57.029,23.609,27.2723,70.8234,39.0804,42.837,18.181,59.721,52.0256,11.9949,14.7937,62.4328,42.877,70.9437,55.5846,36.0411,57.4321,22.4069,53.8058,53.0303,26.5951,69.0201,73.1916,62.1671,45.4067,66.4003,62.0595,49.0151,54.2736,57.5528,66.3888
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw22,22.2576,19.0794,65.0326,25.6674,40.5231,39.1439,35.5778,45.6698,58.1521,63.6589,44.7005,45.5237,42.6879,61.1298,55.4826,34.7984,43.9715,21.3794,51.687,57.1264,34.9964,36.1486,46.4147,35.7655,43.0078,68.5465,63.9582,42.2963,50.4141,40.1797,32.6033,38.682
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
