 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw6,5.243,3.5782,33.5356,41.6864,11.8802,9.7878,4.8346,21.6676,2.6936,21.8043,24.9722,2.0267,30.1549,38.0762,21.6823,26.6683,52.7159,2.2984,36.1488,17.4795,30.584,24.7086,0.60349,29.4093,2.3654,1.4286,1.1053,4.486,3.145,27.6882,26.697,6.8828
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw10,59.6752,3.2697,6.1457,4.4515,28.8256,47.5716,37.3226,1.5927,25.1268,40.0431,4.9491,18.5259,43.8282,36.2324,54.3766,35.4882,40.0831,27.8553,16.297,39.1512,8.8521,32.1591,43.1993,50.1306,51.751,45.9913,41.8499,49.5177,43.3954,54.2879,59.5525,56.0422
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw13,12.9474,15.541,1.6899,11.2405,11.1299,3.3164,18.3233,9.349,1.5526,16.3337,30.9132,6.1016,15.8458,24.7236,15.2821,22.3531,32.3444,12.4931,1.3247,8.7764,49.9016,25.0167,51.7547,24.5924,24.9438,28.6152,5.5557,22.5654,30.0901,8.5379,18.4494,21.815
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
