 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
Rw49,0.28536,0.36951,0.25751,0.30065,0.19866,0.30665,0.25936,0.30567,0.094822,0.26746,0.23823,0.20256,0.052186,0.26697,0.23283,0.26005,0.26751,0.24914,0.22792,0.086117,0.052101,0.182,0.24453,0.26364,0.32955,0.3157,0.30763,0.27572,0.2215,0.28903,0.28235, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw51, , , , , , , , , , , , , , , , , , , , ,0.26262,0.18018,0.16342,0.15433,0.20988,0.1777,0.25346,0.19422,0.2889,0.17487,0.29689,0.15988
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw55,0.12092,0.26233,0.36578,0.27096,0.27665,0.20959,0.25261,0.27957,0.30252,0.29982,0.3386,0.34411,0.27524,0.30425,0.3088,0.23187,0.31631,0.22052,0.21572,0.23772,0.31202,0.19473,0.26006,0.17502,0.2583,0.18063,0.26733,0.14217,0.29406,0.19459,0.13197,0.24376
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw57,0.17723,0.22318,0.3036,0.30709,0.18714,0.25708,0.33495,0.23404,0.20193,0.30722,0.26118,0.20477,0.18438,0.39177,0.38505,0.40969,0.15582,0.23144,0.2153,0.18805,0.1836,0.18812,0.22283,0.14244,0.18685,0.14832,0.23355,0.32977,0.31022,0.40294,0.31726,0.17845
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw62,0.17961,0.19005,0.30494,0.21033,0.20451,0.15491,0.18499,0.19625,0.053296,0.16749,0.23302,0.21526,0.23538,0.066514,0.045563,0.099932,0.17953,0.12862,0.22646,0,0.21779,0.12784,0.16118,0.13025,0.11699,0.19346,0.13008,0.27464,0.16472,0.15244,0.16292,0.12877
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw65,0.19946,0.068909,0.15986,0.34378,0.22321,0.26187,0.25967,0.34911,0.27096,0.23514,0.32238,0.21711,0.19316,0.2312,0.33668,0.18157,0.33205,0.25068,0.15119,0.031696,0.1476,0.3351,0.22499,0.19505,0.14105,0.11494,0.2284,0.166,0.236,0.19736,0.17708,0.033867
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
