Sample ID,ADF,AD-ICP,Adj_CP,aNDFom,Ash,Crude protein,DCAD,Dry Matter,EE Fat,Lignin,NEG OARDC,NEL3x ADF,NEL3x OARDC,NEM OARDC,NFC,SPCP,Starch,TDN OARDC,WSC Sugar,Cellulose,Hemicellulose
SF16-BE-r1-p0131,36.56,0.67,15.24,61.9,1.21,12.77,11.04,90.84,1.04,3.7,39.22,79.36,63.98,64.25,22.38,105.94,0.9,72.92,13.82,32.86,27.74
SF16-BE-r1-p0135,33.97,0.54,13.06,61.56,3.45,13.73,33.6,91.43,0.98,4,35.58,71.12,62.06,59.93,21.01,140.28,0.48,64.45,7.95,29.97,29.72
SF16-BE-r1-p0139,41.64,0.69,11.6,67.81,3.46,9.84,12.34,91.98,1.04,5.32,30.46,69.32,58.33,54.79,18.37,76.13,0.72,62.86,11.53,36.32,28.15
SF16-BE-r1-p0143,42.91,0.72,12.54,69.53,2.58,7.82,10.92,92.41,1.05,6.26,29.06,81.13,57.13,52.08,15.36,42.98,0.57,71.3,9.67,36.65,28.29
SF16-BE-r1-p0147,47.33,0.83,6.29,73.3,4.35,4.09,19.78,91.11,1.07,6.13,22.78,73.3,53.29,46.24,18.96,-30.68,-0.15,56.78,9.68,41.2,27.73
SF16-BE-r1-p0155,28.71,0.51,6.96,53.25,2.62,6.21,24.62,91.61,0.82,5.73,35.41,69.4,63.39,61.45,35.78,56.87,1.16,66.43,24.79,22.98,25.8
SF16-BE-r1-p0163,38.78,0.56,7.14,65.05,2.68,4.8,21.03,93.3,0.84,5.5,29.89,64.68,59.72,54.98,24.13,30.72,0.8,60.83,18.02,33.28,27.65
SF16-BE-r1-p0167,38.6,0.62,10.27,65.95,2.8,7.12,17.6,92.62,0.9,6.96,28.56,68.34,57.47,52.92,22.42,52.67,0.71,62.85,15.07,31.64,29.35
SF16-BE-r1-p0171,44.16,0.76,13.19,69.2,1.87,8.94,-6.42,92.01,1.09,5.45,32.43,81.23,59.09,56.2,16.28,62.5,0.8,71.12,11.34,38.71,27.83
SF16-BE-r1-p0175,35.88,0.55,6.19,59.34,3.21,4.78,16.63,93.53,0.91,5.54,31.16,66,61.42,57.73,34.32,40.81,0.39,60.2,24.8,30.34,25.32
SF16-BE-r1-p0179,35.27,0.51,8.88,60.79,4.26,8.08,26.8,92.01,0.89,5.62,30.54,66.39,59.79,55.3,25.98,75.32,0.69,62.57,16.22,29.65,27.48
SF16-BE-r1-p0183,35.53,0.57,10.7,63.21,3.46,10.09,30.31,92.02,0.94,4.91,32.91,69.16,60.71,57.17,21.27,90.91,0.58,65.39,11.98,30.62,29.55
SF16-BE-r1-p0187,39.97,0.66,11.54,67.43,3.4,8.79,15.93,92.86,0.98,6.89,28.09,74.26,56.19,51.36,17.97,77.24,0.69,65.52,9.75,33.08,29.7
SF16-BE-r1-p0191,43.37,0.65,9.36,70.84,3.06,7.06,17.84,92.87,0.96,6.44,26.62,70.9,56,49.22,16.17,48.77,0.63,63.02,9.41,36.93,29.66
SF16-BE-r1-p0195,37.9,0.67,12.34,64.23,3.5,10.83,26.01,92.47,0.94,6.04,29.81,68.05,57.77,54.27,19.48,90.2,0.69,61.45,9.42,31.86,27.76
SF16-BE-r1-p0199,28.15,0.62,7.16,50.49,2.98,6.83,21.35,90.55,0.79,5.38,36.26,75.22,64.1,61.98,37.97,14.49,0.99,68.68,28.8,22.77,25.84
SF16-BE-r1-p0203,27.13,0.52,5.12,50.2,3.04,3.38,29.6,91.6,0.78,4.58,36.94,70.23,65.09,62.76,39.01,7.37,1.11,66.19,26.81,22.55,25.73
SF16-BE-r1-p0207,31.02,0.43,3.67,48.59,2.89,5.77,11.81,93.2,0.91,4.63,38.16,67.66,66.52,62.6,37.64,71.45,1.95,65.09,31.67,26.39,19.54
