Sample ID,ADF,AD-ICP,Adj_CP,aNDFom,Ash,Crude protein,DCAD,Dry Matter,EE Fat,Lignin,NEG OARDC,NEL3x ADF,NEL3x OARDC,NEM OARDC,NFC,SPCP,Starch,TDN OARDC,WSC Sugar,Cellulose,Hemicellulose
SF16-BE-r1-p0575,33.01,0.48,7.55,57.46,2.8,5.88,26.62,91.52,0.82,6.24,31.7,68.31,61.2,57.28,33.33,35.53,0.66,63.4,22.81,26.77,25.46
SF16-BE-r1-p0579,48.74,0.74,8.83,76.16,3.3,2.82,20.53,92.27,1.14,6.72,22.01,100.62,51.97,41.62,12.79,-38.95,-0.61,71.43,-0.45,42.02,30.11
SF16-BE-r1-p0583,32.84,0.5,8.42,55.64,3.24,7.38,26.85,91.95,0.87,5.76,32.99,67.85,61.39,58.39,32.77,75.27,0.9,62.34,20.14,27.08,24.04
SF16-BE-r1-p0587,36.67,0.55,7.15,63.13,2.62,5.16,22.86,92.64,0.83,6.36,30.22,63.38,59.52,55.3,28.39,37.95,0.83,60.87,19.66,30.31,27.49
SF16-BE-r1-p0591,33.41,0.45,6.07,57.59,2.7,4.65,20.77,92.15,0.81,5.81,32.3,68.54,62.25,58.06,35.78,39.41,0.71,62.63,24.47,27.6,25.47
SF16-BE-r1-p0595,42.35,0.68,11.41,67.73,1.96,7.17,8.09,91.74,1.04,6.3,30.24,84.7,58.05,52.34,17.74,39.47,0.46,73.06,11.93,36.05,27.88
SF16-BE-r1-p0599,41.68,0.5,5.74,67.78,2.73,5.22,19.88,92.37,0.9,6,28.14,66.28,58.49,51.14,24,38.55,0.39,61.62,14.4,35.68,28.04
SF16-BE-r1-p0603,43.08,0.68,10.55,69.8,3.35,7.24,12.11,91.68,1.03,6.63,26.28,77.56,55.51,49.51,17.51,33.4,0.32,65.04,9.94,36.45,29.4
SF16-BE-r1-p0607,35.8,0.45,6.23,59.74,2.24,5.42,19.51,92.15,0.83,5.55,32.67,66.72,62.43,58.25,32.56,56.19,0.59,62.41,21.1,30.25,25.59
SF16-BE-r1-p0611,30.95,0.54,7.65,56.15,3.2,6.37,24.07,91.24,0.85,5.65,33.87,68.91,62.03,59.52,33.19,52.68,0.82,64.4,22.74,25.3,27.13
SF16-BE-r1-p0615,39.03,0.51,8.09,64.94,3.27,7.15,25.76,92.97,0.88,6.61,27.93,64.32,58,53.26,25.5,80.16,0.47,58.39,13.45,32.42,27.87
SF16-BE-r1-p0619,36.39,0.62,11.69,62.93,2.79,9.23,21.53,90.63,1.05,3.87,35.27,79.71,62.28,59.48,23.45,57.92,0.16,70.9,14.42,32.52,28.98
SF16-BE-r1-p0623,39.17,0.7,15.34,63.48,1.68,12.78,1.97,91.06,1.07,3.62,37.96,76.61,63.01,62.99,20.01,99.89,1.14,70.74,15.07,35.55,26.65
SF16-BE-r1-p0627,44.55,0.78,8.09,71.54,3.55,5.62,17.16,92.07,1.04,5.79,26.45,69.55,55.59,50.86,19.44,6.57,0.12,58.32,10.36,38.76,29.11
SF16-BE-r1-p0631,40.01,0.58,7.91,67.52,2.56,5.71,27.59,92.92,0.9,6.29,28.05,66.9,57.58,51.85,22.76,23.96,0.55,62,13.48,33.72,28.46
SF16-BE-r1-p0635,30.92,0.48,4.09,52.56,3.11,6.78,24.43,91.04,0.8,4.82,37.82,66.84,64.67,60.8,33.14,67.61,1.53,65.17,24.76,26.1,23.22
SF16-BE-r1-p0639,28.7,0.57,5.75,51.18,2.78,4.53,18.79,91.1,0.82,5.57,35.63,71.47,63.47,61.34,38.07,15.42,1.17,67.42,29.59,23.13,25.57
SF16-BE-r1-p0643,44.4,0.63,11.53,70,4.31,10.07,13.45,92.48,1.04,5.1,28,64.38,56.94,52.68,17.53,92.04,0.46,58.52,8.59,39.3,27.79
SF16-BE-r1-p0647,42.04,0.61,10.94,69.07,3.11,9.19,16.76,92.51,0.99,6.05,28.63,67.61,57.37,52.44,19,80.48,0.42,61.73,10.29,35.99,29.01
SF16-BE-r1-p0651,39.38,0.57,11.1,65.49,3.44,9.97,22.59,91.96,0.96,6.03,29.81,65.21,58.27,55.26,23.91,93.38,0.38,59.69,11.96,33.35,27.79
SF16-BE-r1-p0655,35.8,0.53,11.06,62.44,2.41,10.16,24.02,91.57,0.92,4.97,34.05,72.1,61.61,58.69,25.21,91.96,0.51,66.38,13.35,30.83,28.62
SF16-BE-r1-p0659,35.74,0.39,6.58,59.03,1.34,6.18,14.88,91.83,0.8,5.39,34.2,66.9,64.01,60.31,34.36,71.14,0.68,64.03,22.02,30.35,25.11
SF16-BE-r1-p0663,32.97,0.49,7.4,55.72,2.86,5.56,21.72,92.03,0.84,6.29,31.92,67.79,60.95,57.15,33.93,50.46,0.88,62.57,22.78,26.68,23.9
SF16-BE-r1-p0667,40.84,0.77,14.49,63.94,0.74,10.01,-11.58,90.42,1.15,4.52,37.9,88.87,62.68,62.21,21.72,64.24,0.64,77.99,17.05,36.32,26.01
SF16-BE-r1-p0671,35.01,0.57,11.92,60.55,4.25,10.62,24.52,91.66,0.97,4.8,33.25,67.88,60.71,58.68,24.29,103.84,0.57,63.08,14.41,30.21,27.26
SF16-BE-r1-p0675,45.98,0.85,11.02,71.75,1.94,7.04,3.57,91.5,0.99,5.83,27.71,74.6,57.01,52.25,15.43,-7.11,0.56,65.03,10.22,40.15,28.3
SF16-BE-r1-p0679,39.14,0.7,7.17,66.3,3.32,4,18.11,91.96,0.95,5.96,28.53,70.77,57.86,53.31,25.6,-16.52,0.47,62.31,16.7,33.18,28.72
SF16-BE-r1-p0683,44.41,0.6,6.73,72.19,2.3,4.84,20.23,93.93,0.88,8.12,22.68,62.01,53.55,45.75,19.16,25.34,0.61,57.34,10.3,36.29,29.07
SF16-BE-r1-p0687,25.86,0.41,3.29,44.67,1.68,5.01,16.11,90.63,0.7,4.76,41.41,70.28,68.9,66.23,42.85,59.23,1.16,70.06,34.87,21.1,23.16
SF16-BE-r1-p0691,29.72,0.46,5.14,50.15,2.55,4.72,12.3,93.16,0.81,5.98,35.21,68.71,64.47,61.06,40.97,37.77,1.22,63.45,31.68,23.74,21.61
SF16-BE-r1-p0695,40.63,0.54,9.52,66.81,3.57,8.57,26.28,92.18,0.95,5.71,28.58,66.09,58.23,52.87,22.29,72.23,0.2,60.91,11.09,34.92,27.78
SF16-BE-r1-p0699,40.38,0.54,11.11,66.37,3.27,10.06,23.09,91.96,0.96,5.08,30.64,69.37,59.46,55.33,21.26,82.13,0.4,63.7,11.12,35.3,28.12
SF16-BE-r1-p0703,39.2,0.75,13.06,63.26,1.08,9.33,-5.19,91.98,1.01,4.7,36.51,73.2,62.59,62.52,22.8,60.96,1.18,69.62,18.62,34.5,26.33
SF16-BE-r1-p0707,37.75,0.61,11.62,64.03,2.77,10.79,25.35,91.16,1.03,3.93,35.08,73.86,61.93,59.43,21.86,95.46,0.29,68.59,12.47,33.82,28.49
SF16-BE-r1-p0711,42.01,0.77,13.49,66.61,1.98,10.13,-5.59,91.5,1.11,4.01,35.33,75.77,61.61,60.31,17.94,72.01,0.9,70.71,15.18,38,27.24
SF16-BE-r1-p0715,39.56,0.64,11.11,66.06,3.01,9.22,18.69,91.73,1.03,5.35,31.15,73.84,58.71,54.78,20.91,69.88,0.42,66.5,12.45,34.21,28.46
SF16-BE-r1-p0719,34.7,0.61,11.27,59.84,3.09,11.11,26.27,91.32,0.96,5.3,34.73,71.39,60.9,58.81,25.34,101.49,0.72,65.98,13.92,29.4,26.24
SF16-BE-r1-p0727,38.46,0.6,5.65,62.14,2.36,6.29,16.65,91.99,0.89,6.25,31.53,64.12,59.46,54.38,26.32,55.55,0.99,61.35,18.89,32.21,25.68
SF16-BE-r1-p0731,26.62,0.41,5.21,49.25,3.07,6.15,19.02,91.21,0.79,4.91,37.9,71.4,66.34,64.19,40.8,62.75,1.33,67.36,29.69,21.71,24.47
SF16-BE-r1-p0735,27.35,0.54,3.84,50.69,2.68,3.89,23.53,90.78,0.8,4.21,39.62,69.08,66.52,64.13,37.97,17.06,1.38,68.57,30.83,23.14,24.44
SF16-BE-r1-p0739,38.78,0.59,8.71,65.19,3.33,8.57,19.87,92.2,0.94,6.09,30.06,66.82,58.3,53.6,22.32,80.63,0.72,61.63,12.75,32.69,28.29
SF16-BE-r1-p0743,39.05,0.73,10.64,63.82,2.27,8.76,2.94,91.2,1.01,5.92,32.53,71.67,59.48,57.93,25.27,62.84,0.73,64.76,17.45,33.13,27.32
SF16-BE-r1-p0747,47.47,0.83,10.03,72.74,2.98,6.09,4.86,91.23,1.06,6.58,24.95,74.89,54.34,49.06,17.19,-0.8,0.03,61.12,8.6,40.89,27.79
SF16-BE-r1-p0751,46.14,0.73,6.07,74.41,3.15,3.51,22.17,93.48,0.96,7.34,22.05,63.57,52.8,45.12,16.81,-7.96,0.09,56.37,9.66,38.8,29.71
SF16-BE-r1-p0755,37.46,0.6,9.55,64.16,2.61,7.89,21.35,91.84,0.96,6.19,30.96,73.77,58.73,54.46,24.62,60.49,0.46,65.73,12.95,31.27,28.66
SF16-BE-r1-p0759,38.7,0.69,13.48,63.45,2.48,12.29,17.78,90.86,1.08,3.88,35.27,69.67,61.24,60.86,22.91,95.1,0.52,65.28,14.12,34.82,26.82
SF16-BE-r1-p0763,39.24,0.66,8.43,65.46,2.69,6.82,21.18,91.58,1,5.93,30.57,74.5,58.74,54.08,23.86,39.33,0.31,65.75,14.95,33.31,27.75
SF16-BE-r1-p0767,39.47,0.66,10.81,66.1,3.13,8.33,14.3,92.08,1.04,5.64,30.86,77.47,58.49,54.15,18.93,66.52,0.66,68.61,11.36,33.83,29.09
SF16-BE-r1-p0771,47.98,0.82,9.29,74.65,2.15,4.84,4.86,92.31,0.97,7.06,24.12,75.66,54.69,47.56,14.35,-16.53,0.4,63.06,9.49,40.92,28.81
SF16-BE-r1-p0775,34.25,0.61,8.8,60.31,3.75,7.66,22.94,91.67,0.9,5.97,31.26,65.13,59.67,56.69,27.75,65.63,0.72,61.4,18.91,28.28,27.88
SF16-BE-r1-p0779,33.81,0.65,7.43,58.77,2.16,3.39,10.89,91.52,0.82,5.84,33.51,68.94,62.19,59.41,32.56,-6.65,0.83,66.3,28.51,27.97,26.2
SF16-BE-r1-p0783,48.13,0.79,8.81,76.1,2.64,6.04,17.69,92.69,0.98,5.7,24.91,67.8,55.35,48.43,11.45,-6.9,0.32,60.15,7.85,42.43,30.04
SF16-BE-r1-p0787,36.24,0.55,10.03,61.73,3.47,9.11,22.36,91.9,0.94,5.57,31.93,64.81,60.14,57.6,27.28,93.56,0.66,61.07,16.56,30.67,27.34
SF16-BE-r1-p0791,34.89,0.55,12.4,59.83,3.19,11.69,25.56,91.01,0.96,5.11,33.78,68.36,61.2,59.3,26.35,113.07,0.43,64.27,15.47,29.78,26.98
SF16-BE-r1-p0795,47.43,0.81,13.87,72.81,-2.86,6.63,-10.67,91.71,0.96,2.42,39.93,94.11,67.15,64.59,12.09,-27.71,1.06,81.94,11.4,45.01,26.39
SF16-BE-r1-p0799,36.74,0.62,9.58,61.84,2.1,6.68,17.87,92.5,0.89,6.86,30.64,69.51,58.81,54.51,26.07,46.02,0.76,65.55,17.75,29.88,26.23
SF16-BE-r1-p0803,39.05,0.6,10.68,65.45,3.35,8.74,18.8,92.33,0.97,6.09,29.42,68.16,57.87,53.72,22.17,74.82,0.58,62.51,12.95,32.96,28.03
SF16-BE-r1-p0807,34.83,0.5,6.43,59.88,2.64,4.77,23.14,92.13,0.83,6.08,31.78,64.98,60.94,56.54,32.66,35.09,0.7,62.05,22.16,28.75,26.14
SF16-BE-r1-p0811,37.53,0.58,10.26,63.8,4.82,9.43,28.94,92.17,0.99,4.31,30.82,65.6,59.58,56.2,21.66,91.78,0.39,60.79,12.55,33.22,27.88
SF16-BE-r1-p0815,38.32,0.63,10.17,64.95,2.74,8.2,17.12,92.34,0.96,5.4,32.31,69.81,59.6,56.65,23.16,70.08,0.66,64.43,14.36,32.92,27.95
SF16-BE-r1-p0819,47.15,0.8,11.26,73.44,1.05,4.73,0.6,92.02,0.98,6.71,26.99,83.82,56.51,50.81,14.03,-27.24,0.42,69.82,10.99,40.44,28.6
SF16-BE-r1-p0823,26.15,0.51,4.73,48.09,2.01,3.72,22.2,90.93,0.8,4.87,39.33,70.66,66.58,64.77,39.92,18.25,1.17,69.48,32.3,21.28,24.7
SF16-BE-r1-p0827,38.62,0.71,9.48,65.18,2.39,5.79,10.2,91.73,0.91,4.98,32.43,72.64,60.93,57.86,24.11,-0.07,0.94,65.85,18.54,33.64,28.53
SF16-BE-r1-p0831,30.7,0.56,5.83,54.17,2.23,3.16,19.18,91.51,0.81,5.66,34.89,68.53,63.22,60.48,36.12,7.34,0.74,65.93,28.68,25.04,26.05
SF16-BE-r1-p0835,39.82,0.69,12.11,65.73,2.62,8.37,5.96,91.62,1.06,5.63,32.34,80.34,59.16,56.27,20.76,60.61,0.54,71.04,13.33,34.19,28.53
SF16-BE-r1-p0839,38.13,0.51,8.86,65.18,2.26,7.9,28.89,91.97,0.91,5.6,31.06,69.13,60.06,54.8,24.8,62.46,0.28,64.6,13.61,32.53,28.58
SF16-BE-r1-p0843,39.33,0.57,8.26,66.19,3.36,7.3,26.18,91.9,0.96,6.08,28.9,74.02,57.65,51.4,22.31,55.16,0.32,65.23,10.78,33.25,28.68
SF16-BE-r1-p0847,38.57,0.67,10.13,63.1,2.25,7.16,13.91,92.47,0.92,7.11,29.9,68.89,57.74,53.82,24.32,51.47,0.78,64.65,17.11,31.46,25.74
SF16-BE-r1-p0851,39.03,0.61,10.56,66.22,3.28,8.24,22.35,92.11,0.98,5.74,30.02,74.24,58.46,53.54,19.94,57.98,0.5,67.28,12.17,33.29,28.91
SF16-BE-r1-p0855,39.88,0.73,14.23,64.13,1.77,11.95,-4.53,91.46,1.06,3.76,36.98,73.07,62.63,62.45,19.97,91.92,1.34,67.8,15.72,36.12,26.88
SF16-BE-r1-p0859,38.41,0.71,10.83,63.84,2.35,8.66,10.39,91.76,1.01,5.83,32.93,74.3,59.73,57.32,22.55,64.21,0.74,69,15.24,32.58,27.3
SF16-BE-r1-p0867,45.79,0.85,10.54,71.4,2.52,5.77,7.51,90.26,1.08,5.4,28.02,85.13,57.53,52.4,16.67,-34.44,0.09,68.59,10.29,40.39,27.68
SF16-BE-r1-p0871,41.38,0.74,13.53,67.3,0.66,9.64,12.03,91.4,1.02,4,35.94,80.35,62.25,60.67,18.24,50.16,0.52,72.41,13.03,37.38,28.1
SF16-BE-r1-p0879,34.59,0.73,8.6,57.47,3,6.41,15.53,90.12,0.95,4.93,34.39,75.31,62.14,60.26,32.06,15.6,0.52,65.87,23.15,29.66,26.66
SF16-BE-r1-p0883,40.34,0.66,11.82,65.9,1.66,9.03,11.88,91.66,1.05,5.05,34.24,83.82,60.55,56.79,19.19,66.85,0.57,73.42,11.92,35.29,28
SF16-BE-r1-p0887,37.81,0.63,12.55,63.51,2.82,11.27,18.15,91.28,1.03,4.16,35.39,70.34,61.98,60.57,22.54,98.38,0.63,66.31,14.43,33.65,27.45
SF16-BE-r1-p0891,40.01,0.68,12.07,65.95,2.59,9.27,7.02,92.18,1.01,4.77,33.33,70.97,60.39,58.05,20.03,80.32,0.97,66.11,14.65,35.24,28.03
SF16-BE-r1-p0895,43.35,0.76,16.45,67.6,0.87,12.93,1,91.17,1.11,4.64,35.56,82.07,61.19,59.42,15.55,84.52,0.87,72.8,9.67,38.71,26.53
SF16-BE-r1-p0899,37.81,0.66,11.13,64.46,3.43,9.04,19.72,91.78,1,5.08,32.41,71.76,59.66,56.52,22.13,62.78,0.64,65.59,14.11,32.73,28.31
SF16-BE-r1-p0903,42.07,0.67,10.08,68.28,2.88,7.2,14.26,91.98,1.02,6.05,28.8,76.51,57.34,51.62,18.48,39.62,0.51,67.55,12.63,36.02,28.17
SF16-BE-r1-p0907,38.06,0.63,14.03,63.58,3.11,12.02,17.34,91.77,1.02,4.53,34.25,72.41,60.97,59.12,20.47,113.66,0.66,66.56,11.9,33.53,27.35
SF16-BE-r1-p0911,37.28,0.57,8.06,62.98,2.73,6.18,22.77,92.9,0.88,5.83,30.7,65.27,59.74,55.81,26.98,60.12,0.68,60.18,17.85,31.45,27.18
SF16-BE-r1-p0915,34.8,0.73,12.2,58.82,3.79,12.2,28.51,90.46,1.02,4.81,34.92,72.69,60.94,61.25,26.62,95.33,0.2,62.81,13.11,29.99,27.71
SF16-BE-r1-p0919,39.87,0.66,7.63,66.68,1.97,5.57,18.48,91.84,0.88,6.09,29.91,64.93,59.34,54.89,24.91,20.45,0.53,60.95,18.32,33.78,28.26
SF16-BE-r1-p0927,33.3,0.68,5.74,58.63,3.29,5.77,17.59,91.69,0.79,4.25,34.47,71.18,63.59,60.36,35.44,-0.58,0.69,62.76,25.74,29.05,27.38
SF16-BE-r1-p0931,38.42,0.47,6.93,64,2.29,7.02,22.23,91.94,0.9,5.46,31.45,67.18,60.94,55.51,26.39,65.16,0.37,64.47,15.38,32.96,27.31
SF16-BE-r1-p0935,39.18,0.51,6.75,64.6,2.47,5.07,19.81,93.1,0.85,6.5,28.45,64.82,58.75,53.59,28.02,47.26,0.6,59.54,17.01,32.68,26.75
SF16-BE-r1-p0939,34.86,0.57,10.45,61.57,2.98,8.31,27.28,92.16,0.9,5.14,33.1,68.7,61.15,57.87,25.27,68.46,0.73,65.28,15.92,29.72,28.1
SF16-BE-r1-p0943,38.47,0.66,11.78,65.01,3.13,8.89,21.15,91.58,0.99,5.37,31.69,74.98,59.61,55.72,20.03,51.91,0.54,68.52,14.04,33.1,28.06
SF16-BE-r1-p0947,37.47,0.59,10.94,62.68,4.05,9.59,21.85,91.8,1.01,4.91,32.27,68.17,60.09,57.09,23.47,91.89,0.34,63.74,13.7,32.56,26.82
SF16-BE-r1-p0951,38.61,0.62,10.82,65.51,3.36,9.1,21.9,92.09,0.97,5.63,30.57,68.13,58.7,54.85,21.7,80.45,0.64,63,13.08,32.98,28.67
SF16-BE-r1-p0955,31.44,0.48,5.48,57.13,3.21,6.03,26.25,91.04,0.84,5.14,34.81,67.11,63.07,59.5,33.09,54.02,0.61,65.27,22.75,26.3,27.34
SF16-BE-r1-p0959,34.68,0.58,12.89,60.73,2.86,12.15,24.85,91,1.01,4.45,36.11,71.32,62.3,61.25,25.48,114.14,0.49,66.61,14.19,30.23,27.83
SF16-BE-r1-p0963,47.57,0.79,9.15,74.7,1.72,6.16,17.47,92.24,1,4.57,28.72,72.38,58,52.34,13.24,-8.27,0.28,63.34,8.91,43,28.91
SF16-BE-r1-p0971,32.18,0.5,4.72,53.19,1.77,5.66,13.55,91.87,0.78,5.85,34.92,67.97,63.87,60.72,38.04,44.42,0.81,65.18,27.48,26.33,24.59
SF16-BE-r1-p0975,45.56,0.79,6.07,73.01,4.12,2.84,26.97,91.75,1.02,6.58,22.44,75.55,53.48,45.14,17.82,-44.32,-0.28,60.63,9.56,38.98,28.82
SF16-BE-r1-p0979,37.18,0.59,7.33,62.78,1.77,4.85,26.48,91.62,0.87,7.48,29.46,67.88,58.44,52.76,29.81,16.83,0.08,63.56,19.53,29.7,25.51
SF16-BE-r1-p0983,38.33,0.64,6.04,61.57,2.95,7.56,15.41,93.09,0.83,5.78,30.38,67.25,59.98,55.82,29.46,44.19,0.62,59.62,19.74,32.55,26.83
SF16-BE-r1-p0987,41.42,0.72,12.63,66.8,2.51,10.78,6.24,91.31,1.1,4.31,34.17,77.71,60.57,57.87,17.96,79.18,0.71,68.46,10.87,37.11,27.69
SF16-BE-r1-p0991,33.42,0.61,5.38,59.59,3.31,3.12,26.58,91.31,0.85,6.71,29.88,67.11,59.14,54.79,34.26,-14.01,0.28,62.5,24.12,26.71,26.87
SF16-BE-r1-p0995,39.83,0.72,12.68,64.98,2.54,10.58,0.71,91.14,1.11,4.55,34.9,76.55,60.8,59.45,21.14,79.51,0.72,68.52,14.25,35.28,27.85
SF16-BE-r1-p0999,43.77,0.76,12.85,68.36,1.47,9.71,-5.84,90.8,1.13,3.51,36.1,79.86,62.4,60.31,17.56,53.8,0.65,71.57,14.62,40.26,27.29
SF16-BE-r1-p1003,41.71,0.72,13.34,67.12,1.14,8.8,0.48,91.3,1.09,4.89,34.38,89.31,60.58,57.21,17.53,43.1,0.68,76.06,12.24,36.82,28.15
SF16-BE-r1-p1007,38.29,0.51,6.44,65.4,3.48,4.77,22.41,92.74,0.84,6.27,27.9,63.15,58.12,53.13,27.26,40.94,0.38,58.8,16.18,32.02,28.83
SF16-BE-r1-p1011,27.65,0.49,5.12,49.35,2.28,3.65,24.17,91.48,0.78,4.71,38.3,69.41,66.08,64.38,39.84,31.41,1.02,67.15,29.68,22.94,24.33
SF16-BE-r1-p1015,41.12,0.69,7.85,68.19,2.9,5.7,23.52,92.05,0.92,6.3,27.51,67.71,57.13,51.33,20.96,10.65,0.45,61.27,13.57,34.82,28.35
SF16-BE-r1-p1019,34.68,0.51,6.93,60.52,1.77,5.18,18.11,92.17,0.8,5.8,33.34,66.12,62.16,59.16,32.19,44.86,0.74,62.91,22.65,28.88,27.03
SF16-BE-r1-p1023,33.17,0.63,5.64,56.3,1.92,6.1,14.11,91.06,0.81,6.57,32.72,70.27,61.25,58.3,36.73,14.36,0.52,64.87,27.06,26.6,26.77
SF16-BE-r1-p1027,37.08,0.66,11.43,58.19,3.17,11.89,22.95,91.84,0.96,4.66,33.81,69.4,60.91,59.53,26.01,103.11,0.88,62.29,14.87,32.42,25.03
SF16-BE-r1-p1031,32.87,0.52,7.31,56.17,2.06,5.15,26.3,92.05,0.81,6.89,32.31,66.35,61.15,56.88,34.58,34.69,0.72,63.42,23.99,25.98,22.73
SF16-BE-r1-p1035,32.14,0.53,6.99,57.11,1.98,4.99,19.01,91.98,0.8,6.17,34.1,67.79,62.15,58.99,33,40.35,0.81,65.84,24.86,25.97,25.98
SF16-BE-r1-p1039,37.18,0.54,7.77,63.06,2.56,6.27,20.68,92.83,0.83,6.17,29.98,64.57,59.34,55.27,27.01,58.81,0.92,60.52,16.82,31.01,27.61
SF16-BE-r1-p1043,43.34,0.69,11.14,69.82,2.21,8.01,14.52,92.26,1.01,6.27,28.75,75.47,57.21,52.01,18.14,45.89,0.37,66.48,10.29,37.07,28.07
SF16-BE-r1-p1047,40.39,0.68,11.77,66.83,2.2,9,11.51,92.13,1.02,5.8,31.77,75.38,58.7,55.72,19.46,67.15,0.73,67.46,12.38,34.59,28.63
SF16-BE-r1-p1051,35.94,0.65,11.78,61.09,2.72,9.26,13.97,91.7,0.95,4.84,34.28,69.24,61.58,60.06,24.64,72.55,1.05,65.97,18.08,31.1,27.11
SF16-BE-r1-p1055,41.37,0.67,13.08,68.08,1.93,9.75,13.4,91.08,1.09,2.93,35.78,84.78,62.4,58.99,16.36,51.48,0.47,72.59,10.16,38.44,29.27
SF16-BE-r1-p1063,31.41,0.54,6.77,56.46,1.48,4.88,19.18,91.44,0.8,6.51,34.8,67.85,62.43,58.94,34.82,29.84,0.83,66.52,26.46,24.9,25.91
SF16-BE-r1-p1067,31.25,0.44,1.5,51.79,2.07,3.33,14.3,90.88,0.76,5.32,37.67,67.19,65.86,61.31,39.35,41.18,1.03,66.14,32.39,25.93,22.27
SF16-BE-r1-p1071,40.46,0.55,9.21,66.1,2.41,7.86,19.69,91.92,0.95,5.31,31.04,69.69,59.68,54.65,22.75,54.64,0.46,65.51,14.9,35.15,27.46
SF16-BE-r1-p1075,39.5,0.67,11.45,60.74,3.21,10.31,6.24,93.03,0.99,5.66,32.05,70.92,59.18,57.44,25.28,99.07,1.07,63.66,16.97,33.84,23.6
SF16-BE-r1-p1079,32.65,0.6,8.43,57.65,1.92,6.04,28.57,91.12,0.87,5.51,34.81,71.94,62.51,58.8,32.1,7.61,0.68,68.79,21.76,27.14,25.21
SF16-BE-r1-p1083,40.8,0.67,12.16,67.16,1.2,9.45,6.37,92.39,0.98,5.4,33.82,76.21,60.91,57.85,18.53,78.06,0.96,69.64,13.54,35.4,28.42
SF16-BE-r1-p1087,40.87,0.66,12.3,67.51,2.89,8.92,12.87,92.41,0.99,6.48,29.06,74.63,57.15,52.86,18.74,70.44,0.69,66.26,11.76,34.39,28.88
SF16-BE-r1-p1091,32.76,0.51,7.05,57.37,3.03,7.56,28.83,91.25,0.88,5.15,35.03,69.19,62.44,58.76,30.32,68.75,0.81,66.03,19.07,27.61,26.18
SF16-BE-r1-p1095,37.92,0.61,12.34,65.72,2.51,8.52,27.29,90.94,1.03,4.4,32.78,85.77,60.42,55.98,20.62,42.61,-0.1,73.57,10.12,33.52,30.33
SF16-BE-r1-p1099,36.23,0.53,8.64,64.05,2.85,7.36,29.68,91.81,0.91,4.84,32.9,71.17,61.3,57.17,24.86,56.25,0.29,65.96,14.68,31.39,29.06
SF16-BE-r1-p1103,31.69,0.54,11.06,56.91,2.57,8.63,21.32,91.71,0.88,5.22,35.46,71.19,62.84,60.75,28.4,78.33,0.87,68.09,19.16,26.47,26.93
SF16-BE-r1-p1107,35.48,0.67,6.92,62.11,3.62,5.66,19.71,91.31,0.93,5.91,31.2,70.95,59.54,55.69,26.93,23.95,0.57,64.25,18.34,29.57,28.11
SF16-BE-r1-p1111,31.49,0.68,5.41,55.82,2.49,4.69,16.56,91.83,0.84,4,36.32,71.61,65.55,62.96,39.14,-0.46,0.77,64.13,30.65,27.49,26.37
SF16-BE-r1-p1115,31.3,0.62,5.53,54.83,2.85,4.93,22.26,91.39,0.84,5.4,33.73,74.03,62.09,59.52,37.64,-10.52,0.75,65.92,26.54,25.9,26.38
SF16-BE-r1-p1119,38.25,0.54,7.2,63.99,2.11,6.05,20.94,91.73,0.89,5.6,31.48,67.69,60.36,55.07,26.78,30.71,0.6,64.9,18.66,32.65,27.26
SF16-BE-r1-p1123,32.05,0.45,4.66,56.12,2.11,4.69,19.31,91.39,0.81,5.65,35.27,67.91,63.65,60.56,36.1,48.27,0.68,65.43,26,26.4,26.01
SF16-BE-r1-p1127,34.9,0.54,8.12,60.05,2.25,6.09,22.33,92.23,0.83,6.07,32.21,65.48,61.17,57.58,29.62,43.42,0.75,62.85,20.72,28.83,26.04
SF16-BE-r1-p1131,40.76,0.64,6.52,63.54,3.16,8.02,15.1,93.05,0.83,7.13,26.55,65.33,56.71,51.45,26.39,65.86,0.66,56.96,16.56,33.63,26.8
SF16-BE-r1-p1135,33.3,0.56,8.4,59.23,2.76,7.64,22.86,91.4,0.86,6.72,32.58,68.26,60.42,57.37,29.37,73.74,0.61,64.32,19.77,26.58,27.7
SF16-BE-r1-p1139,38.65,0.64,9.99,65.23,3.42,9.16,14.52,93.39,0.88,6.07,29.22,67.77,58.32,55.34,26.85,79.15,1,59.35,16.98,32.58,28.79
SF16-BE-r1-p1143,33.75,0.57,18.19,57.09,-0.84,16.51,26.23,90.85,1.03,0.29,48.38,71.1,70.73,75.36,27.97,172.68,0.7,73,17.44,33.46,25.2
SF16-BE-r1-p1147,38.61,0.75,13.88,61.3,2.42,11.95,2.29,92.07,0.96,4.09,35.25,72.24,61.73,61.16,22.22,89.35,1.52,66.88,15.82,34.52,25.58
SF16-BE-r1-p1151,34.48,0.57,7.58,61.22,3.65,7.68,26.97,93.4,0.76,6.12,30.99,67.66,60.47,56.43,28.84,80.97,0.87,59.05,18.07,28.36,28.63
SF16-BE-r1-p1155,46.79,0.88,11.58,70.65,1.6,7.62,-2.84,90.05,1.08,4.95,30.81,79.82,59.36,56.09,16.98,-3.97,0.16,68.76,12.47,41.84,26.53
SF16-BE-r1-p1159,36.18,0.6,5.65,59.22,2.84,5.04,19.25,91.9,0.89,5.98,31.46,67.19,59.95,56.68,32.24,33.13,0.62,61.61,21.66,30.2,25.78
