PlotID,PI,Ra,Rw,XofY,TAG,Con,Barcode,End
SF-BE-r2-p1915,PI_329506,9,71,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1915,ANTHESIS
SF-BE-r2-p1915,PI_329506,9,71,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1915,MATURITY
SF-BE-r2-p1915,PI_329506,9,71,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1915,
SF-BE-r2-p1917,PI_330169,9,73,1 of 4,,,SF-BE-r2-p1917,
SF-BE-r2-p1919,PI_330169,9,75,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1919,ANTHESIS
SF-BE-r2-p1919,PI_330169,9,75,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1919,MATURITY
SF-BE-r2-p1919,PI_330169,9,75,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1919,
SF-BE-r2-p1921,PI_329256,9,77,1 of 4,,,SF-BE-r2-p1921,
SF-BE-r2-p1923,PI_329256,9,79,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1923,ANTHESIS
SF-BE-r2-p1923,PI_329256,9,79,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1923,MATURITY
SF-BE-r2-p1923,PI_329256,9,79,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1923,
SF-BE-r2-p1925,PI_651493,9,81,1 of 4,,,SF-BE-r2-p1925,
SF-BE-r2-p1927,PI_651493,9,83,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1927,ANTHESIS
SF-BE-r2-p1927,PI_651493,9,83,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1927,MATURITY
SF-BE-r2-p1927,PI_651493,9,83,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1927,
SF-BE-r2-p1929,PI_35038,9,85,1 of 4,,,SF-BE-r2-p1929,
SF-BE-r2-p1931,PI_35038,9,87,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1931,ANTHESIS
SF-BE-r2-p1931,PI_35038,9,87,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1931,MATURITY
SF-BE-r2-p1931,PI_35038,9,87,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1931,
SF-BE-r2-p1933,PI_586443,9,89,1 of 4,,,SF-BE-r2-p1933,
SF-BE-r2-p1935,PI_586443,9,91,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1935,ANTHESIS
SF-BE-r2-p1935,PI_586443,9,91,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1935,MATURITY
SF-BE-r2-p1935,PI_586443,9,91,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1935,
SF-BE-r2-p1937,PI_181083,9,93,1 of 4,,,SF-BE-r2-p1937,
SF-BE-r2-p1939,PI_181083,9,95,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1939,ANTHESIS
SF-BE-r2-p1939,PI_181083,9,95,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1939,MATURITY
SF-BE-r2-p1939,PI_181083,9,95,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1939,
SF-BE-r2-p1941,FILL,9,97,1 of 4,,,SF-BE-r2-p1941,
SF-BE-r2-p1943,FILL,9,99,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1943,ANTHESIS
SF-BE-r2-p1943,FILL,9,99,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1943,MATURITY
SF-BE-r2-p1943,FILL,9,99,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1943,
SF-BE-r1-p0433,PI_593916,10,1,1 of 4,,,SF-BE-r1-p0433,
SF-BE-r1-p0435,PI_593916,10,3,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0435,ANTHESIS
SF-BE-r1-p0435,PI_593916,10,3,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0435,MATURITY
SF-BE-r1-p0435,PI_593916,10,3,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0435,
SF-BE-r1-p0437,PI_651495,10,5,1 of 4,,,SF-BE-r1-p0437,
SF-BE-r1-p0439,PI_651495,10,7,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0439,ANTHESIS
SF-BE-r1-p0439,PI_651495,10,7,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0439,MATURITY
SF-BE-r1-p0439,PI_651495,10,7,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0439,
SF-BE-r1-p0441,PI_562730,10,9,1 of 4,,,SF-BE-r1-p0441,
SF-BE-r1-p0443,PI_562730,10,11,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0443,ANTHESIS
SF-BE-r1-p0443,PI_562730,10,11,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0443,MATURITY
SF-BE-r1-p0443,PI_562730,10,11,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0443,
SF-BE-r1-p0445,PI_641850,10,13,1 of 4,,,SF-BE-r1-p0445,
SF-BE-r1-p0447,PI_641850,10,15,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0447,ANTHESIS
SF-BE-r1-p0447,PI_641850,10,15,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0447,MATURITY
SF-BE-r1-p0447,PI_641850,10,15,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0447,
SF-BE-r1-p0449,PI_156393,10,17,1 of 4,,,SF-BE-r1-p0449,
SF-BE-r1-p0451,PI_156393,10,19,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0451,ANTHESIS
SF-BE-r1-p0451,PI_156393,10,19,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0451,MATURITY
SF-BE-r1-p0451,PI_156393,10,19,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0451,
SF-BE-r1-p0453,PI_562897,10,21,1 of 4,,,SF-BE-r1-p0453,
SF-BE-r1-p0455,PI_562897,10,23,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0455,ANTHESIS
SF-BE-r1-p0455,PI_562897,10,23,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0455,MATURITY
SF-BE-r1-p0455,PI_562897,10,23,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0455,
SF-BE-r1-p0457,PI_563355,10,25,1 of 4,,,SF-BE-r1-p0457,
SF-BE-r1-p0459,PI_563355,10,27,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0459,ANTHESIS
SF-BE-r1-p0459,PI_563355,10,27,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0459,MATURITY
SF-BE-r1-p0459,PI_563355,10,27,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0459,
SF-BE-r1-p0461,PI_329585,10,29,1 of 4,,,SF-BE-r1-p0461,
SF-BE-r1-p0463,PI_329585,10,31,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0463,ANTHESIS
SF-BE-r1-p0463,PI_329585,10,31,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0463,MATURITY
SF-BE-r1-p0463,PI_329585,10,31,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0463,
SF-BE-r1-p0465,PI_569465,10,33,1 of 4,,,SF-BE-r1-p0465,
SF-BE-r1-p0467,PI_569465,10,35,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0467,ANTHESIS
SF-BE-r1-p0467,PI_569465,10,35,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0467,MATURITY
SF-BE-r1-p0467,PI_569465,10,35,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0467,
SF-BE-r1-p0469,PI_155516,10,37,1 of 4,,,SF-BE-r1-p0469,
SF-BE-r1-p0471,PI_155516,10,39,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0471,ANTHESIS
SF-BE-r1-p0471,PI_155516,10,39,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0471,MATURITY
SF-BE-r1-p0471,PI_155516,10,39,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0471,
SF-BE-r1-p0473,PI_585406,10,41,1 of 4,,,SF-BE-r1-p0473,
SF-BE-r1-p0475,PI_585406,10,43,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0475,ANTHESIS
SF-BE-r1-p0475,PI_585406,10,43,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0475,MATURITY
SF-BE-r1-p0475,PI_585406,10,43,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0475,
SF-BE-r1-p0477,PI_273969,10,45,1 of 4,,,SF-BE-r1-p0477,
SF-BE-r1-p0479,PI_273969,10,47,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0479,ANTHESIS
SF-BE-r1-p0479,PI_273969,10,47,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0479,MATURITY
SF-BE-r1-p0479,PI_273969,10,47,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0479,
SF-BE-r2-p1945,PI_569447,10,49,1 of 4,,,SF-BE-r2-p1945,
SF-BE-r2-p1947,PI_569447,10,51,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1947,ANTHESIS
SF-BE-r2-p1947,PI_569447,10,51,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1947,MATURITY
SF-BE-r2-p1947,PI_569447,10,51,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1947,
SF-BE-r2-p1949,PI_452542,10,53,1 of 4,,,SF-BE-r2-p1949,
SF-BE-r2-p1951,PI_452542,10,55,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1951,ANTHESIS
SF-BE-r2-p1951,PI_452542,10,55,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1951,MATURITY
SF-BE-r2-p1951,PI_452542,10,55,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1951,
SF-BE-r2-p1953,PI_152728,10,57,1 of 4,,,SF-BE-r2-p1953,
SF-BE-r2-p1955,PI_152728,10,59,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1955,ANTHESIS
SF-BE-r2-p1955,PI_152728,10,59,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1955,MATURITY
SF-BE-r2-p1955,PI_152728,10,59,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1955,
SF-BE-r2-p1957,PI_152967,10,61,1 of 4,,,SF-BE-r2-p1957,
SF-BE-r2-p1959,PI_152967,10,63,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1959,ANTHESIS
SF-BE-r2-p1959,PI_152967,10,63,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1959,MATURITY
SF-BE-r2-p1959,PI_152967,10,63,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1959,
SF-BE-r2-p1961,PI_570110,10,65,1 of 4,,,SF-BE-r2-p1961,
SF-BE-r2-p1963,PI_570110,10,67,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1963,ANTHESIS
SF-BE-r2-p1963,PI_570110,10,67,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1963,MATURITY
SF-BE-r2-p1963,PI_570110,10,67,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1963,
SF-BE-r2-p1965,PI_570114,10,69,1 of 4,,,SF-BE-r2-p1965,
SF-BE-r2-p1967,PI_570114,10,71,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1967,ANTHESIS
SF-BE-r2-p1967,PI_570114,10,71,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1967,MATURITY
SF-BE-r2-p1967,PI_570114,10,71,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1967,
SF-BE-r2-p1969,PI_563021,10,73,1 of 4,,,SF-BE-r2-p1969,
SF-BE-r2-p1971,PI_563021,10,75,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1971,ANTHESIS
SF-BE-r2-p1971,PI_563021,10,75,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1971,MATURITY
SF-BE-r2-p1971,PI_563021,10,75,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1971,
SF-BE-r2-p1973,PI_156463,10,77,1 of 4,,,SF-BE-r2-p1973,
SF-BE-r2-p1975,PI_156463,10,79,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1975,ANTHESIS
SF-BE-r2-p1975,PI_156463,10,79,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1975,MATURITY
SF-BE-r2-p1975,PI_156463,10,79,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1975,
SF-BE-r2-p1977,PI_535795,10,81,1 of 4,,,SF-BE-r2-p1977,
SF-BE-r2-p1979,PI_535795,10,83,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1979,ANTHESIS
SF-BE-r2-p1979,PI_535795,10,83,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1979,MATURITY
SF-BE-r2-p1979,PI_535795,10,83,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1979,
SF-BE-r2-p1981,PI_156890,10,85,1 of 4,,,SF-BE-r2-p1981,
SF-BE-r2-p1983,PI_156890,10,87,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1983,ANTHESIS
SF-BE-r2-p1983,PI_156890,10,87,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1983,MATURITY
SF-BE-r2-p1983,PI_156890,10,87,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1983,
SF-BE-r2-p1985,PI_92270,10,89,1 of 4,,,SF-BE-r2-p1985,
SF-BE-r2-p1987,PI_92270,10,91,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1987,ANTHESIS
SF-BE-r2-p1987,PI_92270,10,91,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1987,MATURITY
SF-BE-r2-p1987,PI_92270,10,91,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1987,
SF-BE-r2-p1989,PI_656065,10,93,1 of 4,,,SF-BE-r2-p1989,
SF-BE-r2-p1991,PI_656065,10,95,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1991,ANTHESIS
SF-BE-r2-p1991,PI_656065,10,95,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1991,MATURITY
SF-BE-r2-p1991,PI_656065,10,95,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1991,
SF-BE-r2-p1993,FILL,10,97,1 of 4,,,SF-BE-r2-p1993,
SF-BE-r2-p1995,FILL,10,99,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1995,ANTHESIS
SF-BE-r2-p1995,FILL,10,99,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1995,MATURITY
SF-BE-r2-p1995,FILL,10,99,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1995,
SF-BE-r1-p0481,PI_550604,11,1,1 of 4,,,SF-BE-r1-p0481,
SF-BE-r1-p0483,PI_550604,11,3,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0483,ANTHESIS
SF-BE-r1-p0483,PI_550604,11,3,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0483,MATURITY
SF-BE-r1-p0483,PI_550604,11,3,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0483,
SF-BE-r1-p0485,PI_226096,11,5,1 of 4,,,SF-BE-r1-p0485,
SF-BE-r1-p0487,PI_226096,11,7,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0487,ANTHESIS
SF-BE-r1-p0487,PI_226096,11,7,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0487,MATURITY
SF-BE-r1-p0487,PI_226096,11,7,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0487,
SF-BE-r1-p0489,PI_653616,11,9,1 of 4,,,SF-BE-r1-p0489,
SF-BE-r1-p0491,PI_653616,11,11,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0491,ANTHESIS
SF-BE-r1-p0491,PI_653616,11,11,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0491,MATURITY
SF-BE-r1-p0491,PI_653616,11,11,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0491,
SF-BE-r1-p0493,PI_22913,11,13,1 of 4,,,SF-BE-r1-p0493,
SF-BE-r1-p0495,PI_22913,11,15,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0495,ANTHESIS
SF-BE-r1-p0495,PI_22913,11,15,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0495,MATURITY
SF-BE-r1-p0495,PI_22913,11,15,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0495,
SF-BE-r1-p0497,PI_562971,11,17,1 of 4,,,SF-BE-r1-p0497,
SF-BE-r1-p0499,PI_562971,11,19,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0499,ANTHESIS
SF-BE-r1-p0499,PI_562971,11,19,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0499,MATURITY
SF-BE-r1-p0499,PI_562971,11,19,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0499,
SF-BE-r1-p0501,PI_156217,11,21,1 of 4,,,SF-BE-r1-p0501,
SF-BE-r1-p0503,PI_156217,11,23,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0503,ANTHESIS
SF-BE-r1-p0503,PI_156217,11,23,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0503,MATURITY
SF-BE-r1-p0503,PI_156217,11,23,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0503,
SF-BE-r1-p0505,PI_569460,11,25,1 of 4,,,SF-BE-r1-p0505,
SF-BE-r1-p0507,PI_569460,11,27,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0507,ANTHESIS
SF-BE-r1-p0507,PI_569460,11,27,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0507,MATURITY
SF-BE-r1-p0507,PI_569460,11,27,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0507,
SF-BE-r1-p0509,PI_569453,11,29,1 of 4,,,SF-BE-r1-p0509,
SF-BE-r1-p0511,PI_569453,11,31,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0511,ANTHESIS
SF-BE-r1-p0511,PI_569453,11,31,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0511,MATURITY
SF-BE-r1-p0511,PI_569453,11,31,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0511,
SF-BE-r1-p0513,PI_506030,11,33,1 of 4,,,SF-BE-r1-p0513,
SF-BE-r1-p0515,PI_506030,11,35,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0515,ANTHESIS
SF-BE-r1-p0515,PI_506030,11,35,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0515,MATURITY
SF-BE-r1-p0515,PI_506030,11,35,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0515,
SF-BE-r1-p0517,PI_329338,11,37,1 of 4,,,SF-BE-r1-p0517,
SF-BE-r1-p0519,PI_329338,11,39,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0519,ANTHESIS
SF-BE-r1-p0519,PI_329338,11,39,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0519,MATURITY
SF-BE-r1-p0519,PI_329338,11,39,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0519,
SF-BE-r1-p0521,PI_329569,11,41,1 of 4,,,SF-BE-r1-p0521,
SF-BE-r1-p0523,PI_329569,11,43,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0523,ANTHESIS
SF-BE-r1-p0523,PI_329569,11,43,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0523,MATURITY
SF-BE-r1-p0523,PI_329569,11,43,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0523,
SF-BE-r1-p0525,PI_152816,11,45,1 of 4,,,SF-BE-r1-p0525,
SF-BE-r1-p0527,PI_152816,11,47,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0527,ANTHESIS
SF-BE-r1-p0527,PI_152816,11,47,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0527,MATURITY
SF-BE-r1-p0527,PI_152816,11,47,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0527,
SF-BE-r2-p1997,PI_562781,11,49,1 of 4,,,SF-BE-r2-p1997,
SF-BE-r2-p1999,PI_562781,11,51,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1999,ANTHESIS
SF-BE-r2-p1999,PI_562781,11,51,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1999,MATURITY
SF-BE-r2-p1999,PI_562781,11,51,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1999,
SF-BE-r2-p2001,PI_570109,11,53,1 of 4,,,SF-BE-r2-p2001,
SF-BE-r2-p2003,PI_570109,11,55,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2003,ANTHESIS
SF-BE-r2-p2003,PI_570109,11,55,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2003,MATURITY
SF-BE-r2-p2003,PI_570109,11,55,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2003,
SF-BE-r2-p2005,PI_570038,11,57,1 of 4,,,SF-BE-r2-p2005,
SF-BE-r2-p2007,PI_570038,11,59,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2007,ANTHESIS
SF-BE-r2-p2007,PI_570038,11,59,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2007,MATURITY
SF-BE-r2-p2007,PI_570038,11,59,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2007,
SF-BE-r2-p2009,PI_455280,11,61,1 of 4,,,SF-BE-r2-p2009,
SF-BE-r2-p2011,PI_455280,11,63,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2011,ANTHESIS
SF-BE-r2-p2011,PI_455280,11,63,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2011,MATURITY
SF-BE-r2-p2011,PI_455280,11,63,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2011,
SF-BE-r2-p2013,PI_569416,11,65,1 of 4,,,SF-BE-r2-p2013,
SF-BE-r2-p2015,PI_569416,11,67,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2015,ANTHESIS
SF-BE-r2-p2015,PI_569416,11,67,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2015,MATURITY
SF-BE-r2-p2015,PI_569416,11,67,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2015,
SF-BE-r2-p2017,PI_152923,11,69,1 of 4,,,SF-BE-r2-p2017,
SF-BE-r2-p2019,PI_152923,11,71,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2019,ANTHESIS
SF-BE-r2-p2019,PI_152923,11,71,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2019,MATURITY
SF-BE-r2-p2019,PI_152923,11,71,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2019,
SF-BE-r2-p2021,PI_569419,11,73,1 of 4,,,SF-BE-r2-p2021,
SF-BE-r2-p2023,PI_569419,11,75,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2023,ANTHESIS
SF-BE-r2-p2023,PI_569419,11,75,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2023,MATURITY
SF-BE-r2-p2023,PI_569419,11,75,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2023,
SF-BE-r2-p2025,PI_329519,11,77,1 of 4,,,SF-BE-r2-p2025,
SF-BE-r2-p2027,PI_329519,11,79,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2027,ANTHESIS
SF-BE-r2-p2027,PI_329519,11,79,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2027,MATURITY
SF-BE-r2-p2027,PI_329519,11,79,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2027,
SF-BE-r2-p2029,PI_251672,11,81,1 of 4,,,SF-BE-r2-p2029,
SF-BE-r2-p2031,PI_251672,11,83,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2031,ANTHESIS
SF-BE-r2-p2031,PI_251672,11,83,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2031,MATURITY
SF-BE-r2-p2031,PI_251672,11,83,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2031,
SF-BE-r2-p2033,PI_255744,11,85,1 of 4,,,SF-BE-r2-p2033,
SF-BE-r2-p2035,PI_255744,11,87,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2035,ANTHESIS
SF-BE-r2-p2035,PI_255744,11,87,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2035,MATURITY
SF-BE-r2-p2035,PI_255744,11,87,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2035,
SF-BE-r2-p2037,PI_221548,11,89,1 of 4,,,SF-BE-r2-p2037,
SF-BE-r2-p2039,PI_221548,11,91,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2039,ANTHESIS
SF-BE-r2-p2039,PI_221548,11,91,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2039,MATURITY
SF-BE-r2-p2039,PI_221548,11,91,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2039,
SF-BE-r2-p2041,PI_526905,11,93,1 of 4,,,SF-BE-r2-p2041,
SF-BE-r2-p2043,PI_526905,11,95,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2043,ANTHESIS
SF-BE-r2-p2043,PI_526905,11,95,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2043,MATURITY
SF-BE-r2-p2043,PI_526905,11,95,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2043,
SF-BE-r2-p2045,FILL,11,97,1 of 4,,,SF-BE-r2-p2045,
SF-BE-r2-p2047,FILL,11,99,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p2047,ANTHESIS
SF-BE-r2-p2047,FILL,11,99,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p2047,MATURITY
SF-BE-r2-p2047,FILL,11,99,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p2047,
SF-BE-r1-p0529,PI_534165,12,1,1 of 4,,,SF-BE-r1-p0529,
SF-BE-r1-p0531,PI_534165,12,3,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0531,ANTHESIS
SF-BE-r1-p0531,PI_534165,12,3,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0531,MATURITY
SF-BE-r1-p0531,PI_534165,12,3,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0531,
SF-BE-r1-p0533,PI_176766,12,5,1 of 4,,,SF-BE-r1-p0533,
SF-BE-r1-p0535,PI_176766,12,7,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0535,ANTHESIS
SF-BE-r1-p0535,PI_176766,12,7,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0535,MATURITY
SF-BE-r1-p0535,PI_176766,12,7,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0535,
SF-BE-r1-p0537,PI_656035,12,9,1 of 4,,,SF-BE-r1-p0537,
SF-BE-r1-p0539,PI_656035,12,11,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0539,ANTHESIS
SF-BE-r1-p0539,PI_656035,12,11,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0539,MATURITY
