PlotID,PI,Ra,Rw,XofY,TAG,Con,Barcode,End
SF-BE-r1-p0047,PI_620072,1,47,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0047,
SF-BE-r2-p1537,PI_455307,1,49,1 of 4,,,SF-BE-r2-p1537,
SF-BE-r2-p1539,PI_455307,1,51,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1539,ANTHESIS
SF-BE-r2-p1539,PI_455307,1,51,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1539,MATURITY
SF-BE-r2-p1539,PI_455307,1,51,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1539,
SF-BE-r2-p1541,PI_329550,1,53,1 of 4,,,SF-BE-r2-p1541,
SF-BE-r2-p1543,PI_329550,1,55,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1543,ANTHESIS
SF-BE-r2-p1543,PI_329550,1,55,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1543,MATURITY
SF-BE-r2-p1543,PI_329550,1,55,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1543,
SF-BE-r2-p1545,PI_563330,1,57,1 of 4,,,SF-BE-r2-p1545,
SF-BE-r2-p1547,PI_563330,1,59,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1547,ANTHESIS
SF-BE-r2-p1547,PI_563330,1,59,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1547,MATURITY
SF-BE-r2-p1547,PI_563330,1,59,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1547,
SF-BE-r2-p1549,PI_570431,1,61,1 of 4,,,SF-BE-r2-p1549,
SF-BE-r2-p1551,PI_570431,1,63,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1551,ANTHESIS
SF-BE-r2-p1551,PI_570431,1,63,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1551,MATURITY
SF-BE-r2-p1551,PI_570431,1,63,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1551,
SF-BE-r2-p1553,PI_506030,1,65,1 of 4,,,SF-BE-r2-p1553,
